factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 20-,,,,,,,,,False,Defense Response To Virus (GO:0051607),3.396654775203687e-24,negative regulation of viral genome replication,5.129867968029071e-05,KLF4,0.0026146099284781337,3,"CXCL10, CXCL11, IDO1, IFIT2, IFIT3, CXCL9, IFNL1, IFIT1",16.713465,True
DR 51-,,,,,,,,,False,Cellular Heat Acclimation (GO:0070370),8.516703640318264e-06,protein refolding,2.04071483856406e-05,SATB1,1.9026635931753903e-17,3,"HSPA6, HSPA1B, HSPA1A, HSPB1, CRYAB, DEPP1, CYR61, ID1",12.097817,True
DR 12-,,,,,,,,,False,DNA Metabolic Process (GO:0006259),1.395685200550492e-13,chromosome segregation,0.032765017218631495,,,2,"TK1, PKMYT1, ASF1B, TYMS, RRM2, PCLAF, HIST1H1B, HIST1H1A",2.246344,True
DR 15-,,,,,,,,,False,Intermediate Filament Organization (GO:0045109),3.5973531198296616e-09,,,NFATC4,3.604141969219631e-10,2,"KLK7, KLK5, KLK6, CST6, LCN2, KRT81, KLK10, KRT16",5.15629,True
DR 17-,,,,,,,,,False,Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922),0.027266471378385428,,,ATF4,0.0025037765616468467,2,"PSAT1, TRIB3, ASNS",0.2966722,True
DR 19-,,,,,,,,,False,Cellular Response To cAMP (GO:0071320),0.027466761321863865,,,PBX1,0.01612612817459218,2,"IGFBP2, MEST, IGFBP5, NES, NPPC, PCSK1N, AQP1, WIF1",0.30757254,True
DR 24-,,,,,,,,,False,Cellular Response To Hypoxia (GO:0071456),9.282275420280856e-05,,,ETS1,0.044624523984633555,2,"NDUFA4L2, CA9, NDRG1, NRN1, CASP14, ADM, HILPDA, BNIP3",1.893973,True
DR 25+,,,,,,,,,False,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),1.3862296255258585e-15,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,1.2200809114300248e-09,,,2,"CD74, HLA-DRB1, HLA-DRB5, HLA-DQA1, HLA-DRA, HLA-DMA, CFB, HLA-DQA2",0.5568526,True
DR 29+,,,,,,,,,False,Cholesterol Transport (GO:0030301),0.03250827083514313,,,NR4A2,0.0006109977132748738,2,"MMP3, MMP7, MMP1, GPX2, KRT17, CHI3L1, TIMP1, CCL2",13.985663,True
DR 32+,,,,,,,,,False,Regulation Of Interleukin-1 Production (GO:0032652),0.04039384708601044,,,CEBPE,0.0019250801319800478,2,"S100A8, S100A7, S100A9, SBSN, PI3, SERPINB4, LCN2, S100P",32.368656,True
DR 35-,,,,,,,,,False,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.006728785596348745,,,HES1,5.9746109941176063e-05,2,"RCAN1, EDN1, CYR61, CTGF, ATF3, CXCL2, CLDN1, KLF4",1.7287018,True
DR 39-,,,,,,,,,False,Epidermis Development (GO:0008544),3.392818827273312e-08,,,TAF1,1.4933095487651147e-15,2,"KRT6A, LGALS7B, KRT16, IGFL1, S100A2, LGALS7, KRT6B, KRTDAP",7.686308,True
DR 44+,,,,,,,,,False,Epithelial Structure Maintenance (GO:0010669),0.024390563246650794,,,HNF1B,0.0004199183251114608,2,"CPB1, SERPINA6, PIP, SCGB1B2P, SERPINA1, FGB, TFF3, CA2",20.281942,True
DR 45-,,,,,,,,,False,Positive Regulation Of Response To Wounding (GO:1903036),0.0001950230122395345,,,TFAP4,0.0024382402831454207,2,"TM4SF1, CLDN4, TACSTD2, CLDN1, TNFRSF11B, CLDN3, EDN1",0.38428232,True
DR 2-,,,,,,,,,False,Intermediate Filament Organization (GO:0045109),3.1928320428640825e-05,,,,,1,"S100A10, S100A2, S100A6, CDKN2A, S100A16, LGALS1, LAMB3, GAL",0.466588,True
DR 3-,,,,,,,,,False,Gland Development (GO:0048732),0.030805311839101956,,,,,1,"SLC40A1, PMP22, XBP1, AK5, GMNN, PLAT, ANKRD30A, TMC5",2.107074,True
DR 9+,,,,,,,,,False,Regulation Of Blood Circulation (GO:1903522),0.020926338148553453,,,,,1,"S100A1, SCRG1, VGLL1",0.7553561,True
DR 9-,,,,,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.0006363857735035291,,,,,1,"TCIM, RND1, EFNA1, ATF3, MAFF, BTG2, GPRC5A, BAMBI",2.4851708,True
DR 11-,,,,,,,,,False,Fatty Acid Transport (GO:0015908),0.025783152758926373,,,,,1,"TMSB15A, UCHL1, CRABP1, ACTL8, STMN1, PYCR1, TUBB3, CALML5",0.90401965,True
DR 13+,,,,,,,,,False,,,,,RUNX2,9.4881779234116e-13,1,"FDCSP, ODAM, CSN3, WFDC2, TCN1, TMEM45A, RARRES1, FRZB",16.852537,True
DR 14+,,,,,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),2.3656629335713366e-06,,,,,1,"JUN, EGR1, FOS, ATF3, RHOB, ZFP36, IER2, GADD45B",0.58986664,True
DR 15+,,,,,,,,,False,,,,,FOSB,0.0006442786257060141,1,"SPINK1, ALB, UGT2B15, ZNF385B, CDH2, HSD17B2, SPON1, CLEC3A",10.034164,True
DR 16-,,,,,,,,,False,,,,,FOSL2,1.0776402264491687e-08,1,"DIO2, PTHLH, PNMT, TNFSF11, CXCL13, SLC7A2, EFHD1, FASN",7.015579,True
DR 17+,,,,,,,,,False,Regulation Of DNA-templated Transcription (GO:0006355),4.131596148405285e-06,,,,,1,"JUND, CEBPD, FOSB, FASN, TRIB1, SOX4, KLF4, PGR",1.5642574,True
DR 29-,,,,,,,,,False,,,,,HES1,4.436606057563203e-08,1,,0.013390551,False
DR 30-,,,,,,,,,False,Defense Response To Bacterium (GO:0042742),0.00022935534407822207,,,,,1,"SLPI, LYZ, CXCL17, TCN1, PI3, FAM3D, WFDC2, BPIFB1",0.41045013,True
DR 31-,,,,,,,,,False,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),0.029268675895980954,,,,,1,"GDF15, CLCA2, LY6D, PVALB, DHRS2, MDM2, FRMD6, PLK2",2.8780932,True
DR 34-,,,,,,,,,False,Lipid Transport (GO:0006869),0.019833118361658818,,,,,1,FABP7,0.4309026,True
DR 37+,,,,,,,,,False,Intermediate Filament Organization (GO:0045109),5.459181269687933e-07,,,,,1,"ACTG2, ACTA1, TAGLN, KRT17, KRT81, MYL9, PCP4, CNN1",7.159654,True
DR 42+,,,,,,,,,False,,,,,PGR,4.614719813942867e-06,1,"LTF, FABP7, RARRES1, SLC38A3, CLU, SLC34A2, C3, CFB",3.447314,True
