title,variable,value
DR 23+,CD8-Tem,0.8210003250197689
DR 18+,Lumsec-HLA,0.7763886508358536
DR 1-,Vas-arterial,0.6823081606151458
DR 23+,CD4-Treg,0.6584452605892499
DR 23+,NK-ILCs,0.638673665672523
DR 23+,Macro-IFN,0.5805119404350416
DR 23+,CD4-Th,0.5659047889494798
DR 46+,mDC,0.5497648876167105
DR 5-,basal,0.5483762155812485
DR 23+,NK,0.5418965700564509
DR 28-,CD8-Trm,0.5295782468037777
DR 4+,Lumsec-myo,0.527553658916539
DR 7+,Macro-IFN,0.5151760281193772
DR 28-,CD8-Tem,0.49123548708639897
DR 7+,Macro-m1,0.46314169557416046
DR 6-,Lumsec-KIT,0.4616895405326495
DR 36+,mDC,0.4432091527585876
DR 8-,T_prol,0.4284141125541454
DR 28-,CD4-Treg,0.42323152486536025
DR 5-,Lumsec-myo,0.41496692140885677
DR 28-,NK-ILCs,0.4144487367091563
DR 21+,pericytes,0.4043077869458929
