title,variable,value
DR 18+,23,0.8521994120988376
DR 21+,21,0.7857028887133244
DR 43-,19,0.7761854894299873
DR 36+,24,0.7581362746528291
DR 26+,18,0.7145807652277155
DR 5-,4,0.699702391179005
DR 1-,27,0.6799062656045802
DR 10-,26,0.6306442893008237
DR 18+,28,0.5463074972785912
DR 4+,2,0.5326192324346136
DR 18+,25,0.5285833164913718
DR 26-,20,0.5212891532725309
DR 4+,1,0.498691367745124
DR 40-,18,0.4825373992251468
DR 23+,19,0.47446566861166517
DR 23-,5,0.47107730979079626
DR 38-,28,0.4549680881536906
DR 27-,12,0.4515838496892293
DR 55-,1,0.44568513686425576
DR 5-,29,0.4248343063482152
DR 43+,5,0.42221046498645143
DR 2+,6,0.4096316697899662
