factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 5-,,,,,False,DNA Metabolic Process (GO:0006259),2.794631752443434e-18,DNA replication,0.0005736119634816033,E2F1,0.026563273883688558,3,"HIST1H4C, TYMS, GINS2, CDC45, HIST1H1B, CLSPN, FAM111B, TK1",7.1959543,True
DR 14+,,,,,False,Actin Filament Organization (GO:0007015),0.0002724676815716997,mesenchyme migration,0.03872228270116444,SRF,0.0004199955764779242,3,"ACTG2, TAGLN, MYL9, ACTA1, CNN1, MYLK, TPM1, COTL1",10.761212,True
DR 19+,,,,,False,Response To Unfolded Protein (GO:0006986),2.1304164921021716e-05,protein refolding,2.082722362721927e-05,HSF2,3.5715060839379976e-13,3,"HSPA6, HSPA1A, HSPA1B, HSPA5, PARD6G-AS1, RGS2, AC015912.3, SDF2L1",16.386946,True
DR 20-,,,,,False,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.0029047629805264287,acute-phase response,0.01493226881109291,NR5A2,4.874708730923721e-07,3,"SAA2, SAA1, LBP, CHI3L1, RARRES1, CCL20, SLPI, CFB",13.2925415,True
DR 23+,,,,,False,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),1.482333897039326e-10,antigen processing and presentation of exogenous peptide antigen,1.6348413938895574e-10,RFXAP,0.003099011780004179,3,"HLA-DRB5, HLA-DRB1, HLA-DQB1, HLA-DQA1, HLA-DRA, HLA-DPA1, HLA-DQA2, HLA-DPB1",6.5660095,True
DR 25+,,,,,False,B Cell Receptor Signaling Pathway (GO:0050853),1.5227128946885618e-07,adaptive immune response,5.473867076727817e-14,NOTCH1,0.014066521873822091,3,"IGLV3-21, IGKV3-20, IGLV1-44, IGHV4-39, IGHV3-21, IGHV3-7, IGLV3-1, IGLV3-19",90.777084,True
DR 4+,,,,,False,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),0.003398589294115883,,,TFE3,0.04988843988121612,2,"UPP1, PPIF, PMAIP1, IER3, PHLDA1, SFN, HMOX1, TNFRSF12A",2.7152617,True
DR 7+,,,,,False,Regulation Of DNA-templated Transcription (GO:0006355),0.025073571733475023,response to corticotropin-releasing hormone,0.01616035513804854,,,2,"CTGF, RBKS, AREG, RCAN1, NR4A3, CYR61, NR4A2, NR4A1",1.0718963,True
DR 7-,,,,,False,Mitotic Sister Chromatid Segregation (GO:0000070),1.5049606773359915e-21,mitotic sister chromatid segregation,4.7545773265195154e-11,,,2,"CCNB1, CDC20, CCNB2, PLK1, UBE2C, KIF20A, PTTG1, KPNA2",7.669688,True
DR 12-,,,,,False,Cytokine-Mediated Signaling Pathway (GO:0019221),3.6821846197692456e-06,,,HSF1,0.04206529067031622,2,"CXCL1, CXCL3, CXCL8, CXCL2, TNF, CCL20, NFKBIA, PTX3",8.364846,True
DR 16+,,,,,False,Defense Response To Virus (GO:0051607),2.28021733691975e-08,,,KLF4,0.003099011780004179,2,"CXCL10, CXCL11, IDO1, CXCL9, GBP1, GBP4, GBP5, ICAM1",23.584032,True
DR 16-,,,,,False,Epithelial Structure Maintenance (GO:0010669),0.010207032440910414,,,STAT1,0.0010258301648652416,2,"SCGB3A1, TFF3, TFF1, CLEC3A, PIP, SCGB2A2, TAT, LYZ",6.245607,True
DR 17-,,,,,False,Protein Deubiquitination (GO:0016579),0.029267015400783636,,,MYBL2,0.011381025014349866,2,"HIST1H1C, HIST1H2BC, UCHL1, HIST1H4H",0.18363431,True
DR 21-,,,,,False,Defense Response To Bacterium (GO:0042742),0.012421865256715918,,,MBD2,0.03979757947895468,2,"S100A7, SBSN, S100A8, S100A9, LCN2, CST6, CDSN, PI3",32.974747,True
DR 26-,,,,,False,Hydrogen Peroxide Catabolic Process (GO:0042744),7.186526093576946e-06,,,NR2F2,0.00010670565779037679,2,"HBB, HBA2, HBA1, HBM, TRIM58, CA1, AHSP, SNCA",57.50374,True
DR 28+,,,,,False,Mitotic Sister Chromatid Segregation (GO:0000070),6.005356120311063e-18,chromosome segregation,6.758299831136482e-08,,,2,"CENPF, ASPM, MKI67, TOP2A, NEURL1B, KIF14, CENPA, TPX2",5.6068244,True
DR 29+,,,,,False,Defense Response To Symbiont (GO:0140546),2.0171837503392716e-24,negative regulation of viral genome replication,2.5087305397442376e-11,,,2,"IFIT1, OASL, RSAD2, ISG15, IFIT2, IFIT3, IFI6, MX1",9.657199,True
DR 30-,,,,,False,Intermediate Filament Organization (GO:0045109),7.703348748134023e-10,intermediate filament organization,2.0550250751921594e-06,,,2,"KRT16, KRT6A, KRT14, AQP3, KRT17, KRT6B, KRT5, PKP1",16.848837,True
DR 31-,,,,,False,Cellular Response To Zinc Ion (GO:0071294),7.108780374957737e-19,stress response to copper ion,4.198983494379295e-14,,,2,"MT1G, MT1E, MT1X, MT2A, MT1M, MT1F, MT1H, MT1A",12.114888,True
DR 2+,,,,,False,T Cell Activation (GO:0042110),6.051739962590727e-07,,,,,1,"GNLY, TYROBP, PTPRC, CD53, NKG7, CD52, CCL4, C1QC",14.988213,True
DR 2-,,,,,False,Negative Regulation Of Cell Differentiation (GO:0045596),0.011205618268813498,,,,,1,"BRI3, SFRP1, CEBPD, C4orf48, BAMBI, MT-ND4, PCSK1N, MT-ND1",0.62780714,True
DR 3+,,,,,False,Cellular Component Disassembly (GO:0022411),0.027934451351706604,,,,,1,"S100A6, S100A2, S100A4, MALL, ADIRF, SPTSSB, S100A16, S100A14",5.818525,True
DR 4-,,,,,False,Retina Homeostasis (GO:0001895),0.00511391278026621,,,,,1,"CSN3, PRR27, PIP, LRRC26, SLPI, PPP1R1B, KIAA1324, FAM3D",6.160179,True
DR 6-,,,,,False,Cytoskeleton-Dependent Intracellular Transport (GO:0030705),0.0011943333048943826,,,,,1,"TUBA1A, NQO1, EIF4A3, OAT, AKR1C3, MAGED1, ALDH7A1, ANXA1",0.4594428,True
DR 8+,,,,,False,,,oxidative phosphorylation,1.2473725496153427e-10,,,1,"MT-CO2, MT-CYB, MT-ATP8, MT-ND4L, MT-CO3, MT-ATP6, MT-CO1, MT-ND3",5.868071,True
DR 9+,,,,,False,,,,,HOXA10,5.537946136313608e-15,1,,0.030477079,False
DR 9-,,,,,False,Regulation Of Transcription By RNA Polymerase II (GO:0006357),1.0000035312552442e-12,,,,,1,"FOS, DUSP1, JUN, EGR1, ATF3, ZFP36, JUNB, IER2",4.092363,True
DR 10+,,,,,False,,,,,IRF1,0.02107106123121746,1,"RARRES3, WARS, IDO1, LAP3, UBE2L6, IFI35, UBD, PSMB9",1.3986108,True
DR 10-,,,,,False,Regulation Of DNA-templated Transcription (GO:0006355),0.011691817747325845,,,,,1,"JUND, FOSB, CD81, SFRP1, MT-ND4, MT-ND1, MT-CO3, MT-ND2",0.68143153,True
DR 11+,,,,,False,,,,,ZBTB16,0.007743637647962529,1,"CRABP1, ELFN1-AS1, SCGB1B2P, GSTM3, AL589182.1, PPP1R1B, TRGC1, SPINK8",5.9437103,True
DR 11-,,,,,False,Negative Regulation Of Cell Adhesion (GO:0007162),0.003434995139977818,,,,,1,"TNC, LAMB3, HLA-A, FN1, CTSD, LGALS3BP, MUC1, CD81",1.5135871,True
DR 12+,,,,,False,,,,,RUNX2,6.698005226586552e-05,1,"MGP, MUCL1, APOD, SCGB2A2, SCRG1, PLA2G2A, CLU, ALB",4.740424,True
DR 15+,,,,,False,,,,,ELK3,0.006409584093647931,1,"AQP5, AARD, SFRP1, TTYH1, SPDEF, PCSK1N, PEG10, PART1",0.6999402,True
