factor,term,p_value,p_adj
DR 1+,BRCA1,8.079457276572799e-07,0.0010470976630438348
DR 11-,SNAI2,8.423876803169238e-06,0.0072782295579382214
DR 12+,ZBTB16,8.176383536380916e-05,0.043633030260028044
DR 14+,HOXB7,9.141871251883312e-05,0.04739146056976309
DR 15+,PAX6,5.689688089003015e-06,0.005161685034343535
DR 15-,RUNX2,1.261893735055568e-15,7.631933309616075e-12
DR 17+,TAF1,4.038935190697413e-05,0.023639496806456085
DR 18+,NFATC4,2.7621324612640838e-14,1.2529032844293885e-10
DR 19-,SRF,9.542108500197402e-07,0.001154213444183878
DR 2-,TP53,2.6279298001727506e-05,0.017659688257160886
DR 21-,RUNX2,6.499865450294142e-14,2.3586711746027384e-10
DR 22+,RFXAP,3.91721129198009e-05,0.023639496806456085
DR 22-,ARNT,9.94819192048691e-06,0.00820454519115066
DR 23-,JDP2,5.757271399361722e-05,0.03165452493030881
DR 25+,SATB1,1.7390795202891844e-17,3.1553858816126964e-13
DR 25-,CEBPE,3.5612736655892107e-07,0.0004970442260650049
DR 26+,STAT1,1.6153135354598464e-11,4.186892683911922e-08
DR 27+,PAX5,1.1885200277912939e-05,0.008985211410102183
DR 29-,IRF1,1.2562734071924636e-07,0.0001899485391675005
DR 3+,SREBF1,1.1606219657018547e-05,0.008985211410102183
DR 30-,NFIL3,5.969761186975656e-13,1.8052557829414386e-09
DR 31+,NOTCH1,5.049253360588413e-05,0.028629266554536306
DR 31-,CIITA,4.4267887455513114e-08,8.0319654999283e-05
DR 32-,NR2F2,1.244248577467695e-07,0.0001899485391675005
DR 5-,TFE3,2.4286408568221666e-09,5.508157463272674e-06
DR 9+,KLF4,2.449533037971188e-05,0.017093972092672785
