factor,term,p_value,p_adj
DR 10-,FOSL1,1.8793427879161597e-07,0.0001959991106684562
DR 11+,ZBTB16,1.988390897162927e-05,0.01036859401092329
DR 11-,RUNX2,1.676337523357658e-08,2.872164869484296e-05
DR 12+,HOXB7,1.5265080811344938e-05,0.008136966520482911
DR 12-,TFE3,9.566875128205206e-06,0.00533675892326182
DR 13+,BACH1,1.2347225450509185e-06,0.000987242989604546
DR 14-,SNAI2,4.891392864130475e-09,9.77748671932481e-06
DR 16-,MYBL2,4.166383487401757e-05,0.019595890335746265
DR 18+,ESR2,2.9347160472307527e-09,6.399548529538552e-06
DR 19+,RFXAP,1.4808067197810024e-05,0.008072752451678843
DR 19-,CREM,1.596908241756258e-13,9.576259498751841e-10
DR 21+,POU5F1,6.15876224949341e-06,0.003887637633647327
DR 21-,KLF4,7.201196007579482e-07,0.0006169110308350323
DR 22+,NCOA1,7.4746752065592525e-06,0.00448237585449342
DR 23+,KDM5B,0.00011920058994207486,0.04929766467138879
DR 23-,CIITA,7.497798314822521e-09,1.38345913982806e-05
DR 24+,E2F1,2.2444371323377822e-07,0.0002243221395557766
DR 24-,FOXO4,2.9100995376447507e-06,0.0021152896245298374
DR 26+,POU5F1,3.870083758408754e-07,0.0003713267964518031
DR 29-,RUNX2,3.181057585609585e-12,1.0900575472288159e-08
DR 3-,CREM,1.1253564877912846e-16,8.997975357549848e-13
DR 30+,ELK1,2.1489860711932676e-06,0.0016497663736004754
DR 30-,NR2F1,5.678629969919965e-08,7.567405393803899e-05
DR 32+,IRF1,3.18179968179201e-05,0.015264365793428988
DR 33+,ZBTB7B,3.112494142225182e-05,0.01523661163052152
DR 33-,HOXA10,2.6559726482205395e-05,0.013272669981847101
DR 36-,SMAD4,2.1486403488422477e-05,0.010965837456952978
DR 38-,NFATC4,2.11919702107073e-13,1.016663578888472e-09
DR 39-,CEBPE,7.262704176846595e-08,8.710524254500963e-05
DR 43+,CTNNB1,1.2036389094566302e-06,0.000987242989604546
DR 43-,AR,5.222110323735126e-08,7.368397666790263e-05
DR 44-,IRF8,6.452450426247134e-10,1.5477492837438999e-06
DR 45+,HSF2,1.0317055209286139e-16,8.997975357549848e-13
DR 46+,NR2F2,9.655391782811e-08,0.00011028756318775594
DR 47+,POU5F1,6.701634100579617e-06,0.004121848645400084
DR 49-,PGR,5.626596616012586e-05,0.025465126986470545
DR 5+,ARNT,5.409799532893058e-05,0.024954781037597264
DR 50-,NCOR1,6.095505465212031e-06,0.003887637633647327
DR 6+,TAF1,5.927219416165328e-18,1.4217621213555771e-13
DR 6-,RARA,2.693341697746791e-11,8.075648412981534e-08
DR 7+,BRCA1,5.222703509911762e-07,0.00046398884848982753
DR 7-,THRA,2.1209997523912139e-10,5.652935673400894e-07
DR 8+,TP53,2.2008806418149502e-06,0.0016497663736004754
DR 9-,CREM,1.2239416554596625e-07,0.0001334485840432315
