factor,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
DR 1+,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),1.0431484073944315e-11,8.626837329151949e-09,0,0,13.214374740340673,334.1412243508838,POSTN;COL15A1;LUM;MMP1;MMP2;COL11A1;DPT;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;CTSK;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),5.509431036479775e-11,1.518766489056258e-08,0,0,17.020671834625322,402.06187886336653,POSTN;COL15A1;MMP1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),5.509431036479775e-11,1.518766489056258e-08,0,0,17.020671834625322,402.06187886336653,POSTN;COL15A1;MMP1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),4.323956934647214e-09,8.939780962383115e-07,0,0,54.98550724637681,1058.9711020082414,COL1A1;COL3A1;COL1A2;COL5A1;LUM;COL11A1;COL5A2;DPT
DR 1+,GO_Biological_Process_2023,Eye Morphogenesis (GO:0048592),1.4072596228396998e-05,0.0023276074161768636,0,0,33.280701754385966,371.78807721874773,MFAP5;COL5A1;COL5A2;MFAP2;FBN1
DR 1+,GO_Biological_Process_2023,Skeletal System Development (GO:0001501),0.00014482304599736508,0.017109808434260132,0,0,7.8697729988052565,69.56877704447882,COL1A1;COL1A2;OGN;COL10A1;IGF1;SULF1;FBN1
DR 1+,GO_Biological_Process_2023,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.00014482304599736508,0.017109808434260132,0,0,7.8697729988052565,69.56877704447882,COL1A1;SFRP4;SFRP2;IGFBP4;GPC3;IGFBP6;DKK3
DR 1+,GO_Biological_Process_2023,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),0.0002643629965231669,0.02732852476558238,0,0,12.447368421052632,102.5437538440271,COL1A1;SFRP4;SFRP2;GPC3;SULF1
DR 1+,GO_Biological_Process_2023,Positive Regulation Of Locomotion (GO:0040017),0.0003530788440695878,0.032261031153375794,0,0,19.75,156.9891786404046,PDGFRB;CCL21;RARRES2;CCL19
DR 1+,GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),0.0003957604671826692,0.032261031153375794,0,0,8.02127659574468,62.844307059300036,COL3A1;CCL21;ITGA1;FN1;THY1;CD34
DR 1+,GO_Biological_Process_2023,Regulation Of Glycoprotein Biosynthetic Process (GO:0010559),0.00046811653426905627,0.032261031153375794,0,0,58.7319587628866,450.2857872458315,CCL21;CCL19;IGF1
DR 1+,GO_Biological_Process_2023,Embryonic Eye Morphogenesis (GO:0048048),0.00046811653426905627,0.032261031153375794,0,0,58.7319587628866,450.2857872458315,MFAP5;MFAP2;FBN1
DR 1+,GO_Biological_Process_2023,Regulation Of Chemotaxis (GO:0050920),0.0006112157595893195,0.03888272562925902,0,0,15.791666666666666,116.85928929412923,PDGFRB;CCL21;RARRES2;CCL19
DR 1+,GO_Biological_Process_2023,Proteolysis (GO:0006508),0.0007162423158867382,0.04230945680273803,0,0,4.375196232339089,31.682948594755455,CFH;MMP1;CTSK;MMP2;ADAM12;HTRA1;PCOLCE;CPXM1;AEBP1
