factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 1+,GO:BP,GO:0030199,collagen fibril organization,0.0003846784574998972,True,"""Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix."" [GOC:mah, ISBN:0815316194]",23,10,7,1865,0.7,0.30434782608695654,query_1,['GO:0030198']
DR 4-,GO:BP,GO:0006119,oxidative phosphorylation,1.2473725496153427e-10,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",27,13,13,1865,1.0,0.48148148148148145,query_1,['GO:0009060']
DR 4-,GO:BP,GO:1902600,proton transmembrane transport,4.064742010459016e-09,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",19,13,13,1865,1.0,0.6842105263157895,query_1,['GO:0098655']
DR 4-,GO:BP,GO:0019646,aerobic electron transport chain,8.365198121698545e-09,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",16,13,11,1865,0.8461538461538461,0.6875,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
DR 4-,GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,1.732940305075737e-08,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",18,13,11,1865,0.8461538461538461,0.6111111111111112,query_1,['GO:0042773']
DR 4-,GO:BP,GO:0042773,ATP synthesis coupled electron transport,1.732940305075737e-08,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",18,13,11,1865,0.8461538461538461,0.6111111111111112,query_1,"['GO:0006119', 'GO:0022904']"
DR 4-,GO:BP,GO:0022904,respiratory electron transport chain,9.78827254015559e-08,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",20,13,11,1865,0.8461538461538461,0.55,query_1,"['GO:0022900', 'GO:0045333']"
DR 4-,GO:BP,GO:0022900,electron transport chain,2.788492359480767e-07,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",21,13,11,1865,0.8461538461538461,0.5238095238095238,query_1,['GO:0006091']
DR 4-,GO:BP,GO:0009060,aerobic respiration,1.3509042469459376e-06,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",47,13,13,1865,1.0,0.2765957446808511,query_1,['GO:0045333']
DR 4-,GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,1.8482758224109534e-06,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",13,13,9,1865,0.6923076923076923,0.6923076923076923,query_1,"['GO:0006119', 'GO:0015986']"
DR 4-,GO:BP,GO:0045333,cellular respiration,7.409796158807124e-06,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",52,13,13,1865,1.0,0.25,query_1,['GO:0015980']
DR 4-,GO:BP,GO:0015986,proton motive force-driven ATP synthesis,7.711427357426687e-06,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",13,13,9,1865,0.6923076923076923,0.6923076923076923,query_1,['GO:0006754']
DR 4-,GO:BP,GO:0006754,ATP biosynthetic process,8.430238719208445e-05,True,"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]",15,13,9,1865,0.6923076923076923,0.6,query_1,"['GO:0009152', 'GO:0009206', 'GO:0046034']"
DR 4-,GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,0.00019360053102543593,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",61,13,13,1865,1.0,0.21311475409836064,query_1,['GO:0006091']
DR 4-,GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.00021689926682196082,True,"""The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",17,13,9,1865,0.6923076923076923,0.5294117647058824,query_1,"['GO:0009145', 'GO:0009201', 'GO:0009205']"
DR 4-,GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.0002351890649718317,True,"""The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",17,13,9,1865,0.6923076923076923,0.5294117647058824,query_1,"['GO:0009142', 'GO:0009144']"
DR 4-,GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.0003486419240349978,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",17,13,9,1865,0.6923076923076923,0.5294117647058824,query_1,['GO:0009142']
