factor,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
DR 1+,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),1.277608052044757e-11,1.0629698993012378e-08,0,0,11.696864111498257,293.3976640187776,POSTN;COL15A1;LUM;COL14A1;MMP2;COL11A1;COL12A1;DPT;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;CTSK;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),1.497289211144394e-10,4.152482078907119e-08,0,0,15.30232558139535,346.17218788998093,POSTN;COL15A1;COL14A1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),1.497289211144394e-10,4.152482078907119e-08,0,0,15.30232558139535,346.17218788998093,POSTN;COL15A1;COL14A1;MMP2;COL11A1;COL1A1;MMP11;COL3A1;COL1A2;CCDC80;COL5A1;COL4A1;COL5A2;COL10A1
DR 1+,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),9.092173281523147e-10,1.8911720425568146e-07,0,0,30.047619047619047,625.5444631047501,COL1A1;COL3A1;COL1A2;COL5A1;COL14A1;LUM;COL11A1;COL12A1;COL5A2;DPT
DR 1+,GO_Biological_Process_2023,Positive Regulation Of Locomotion (GO:0040017),5.841428530078328e-05,0.009720137074050339,0,0,19.94736842105263,194.44595172999095,PDGFRB;CAVIN1;CCL21;RARRES2;CCL19
DR 1+,GO_Biological_Process_2023,Regulation Of Glycoprotein Biosynthetic Process (GO:0010559),0.00012145241724754159,0.014750413010155804,0,0,inf,inf,CCL21;CCL19;IGF1
DR 1+,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),0.00012410203253736854,0.014750413010155804,0,0,4.668883283650539,41.99383409662028,COL1A1;COL3A1;EFEMP2;COL1A2;COL5A1;LUM;COL14A1;COL11A1;COL5A2;COL12A1;DPT
DR 1+,GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),0.00016936810446428435,0.017614282864285572,0,0,14.233082706766917,123.59206388861277,COL11A1;MMP2;COL12A1;COL6A1;FN1
DR 1+,GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),0.00029450227477084115,0.021951513913065386,0,0,8.598784194528875,69.91004017360326,CDH5;CLDN5;CLEC3B;COL3A1;COL1A2;WNT2
DR 1+,GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),0.00032300951131971093,0.021951513913065386,0,0,4.478260869565218,35.99549413919941,COL1A1;PDGFRB;CDH5;CXCL12;CCL21;CAVIN1;PDPN;PECAM1;CCL19;IGF1
DR 1+,GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),0.0003530788440695878,0.021951513913065386,0,0,19.75,156.9891786404046,CDH5;CLDN5;PECAM1;ESAM
DR 1+,GO_Biological_Process_2023,Apical Junction Assembly (GO:0043297),0.0003950178597139277,0.021951513913065386,0,0,11.058479532163743,86.6606548833963,CDH5;CLDN5;RAMP2;PECAM1;ESAM
DR 1+,GO_Biological_Process_2023,Bicellular Tight Junction Assembly (GO:0070830),0.0003950178597139277,0.021951513913065386,0,0,11.058479532163743,86.6606548833963,CDH5;CLDN5;RAMP2;PECAM1;ESAM
DR 1+,GO_Biological_Process_2023,Tight Junction Assembly (GO:0120192),0.0003950178597139277,0.021951513913065386,0,0,11.058479532163743,86.6606548833963,CDH5;CLDN5;RAMP2;PECAM1;ESAM
DR 1+,GO_Biological_Process_2023,Regulation Of Cell Motility (GO:2000145),0.0003957604671826692,0.021951513913065386,0,0,8.02127659574468,62.844307059300036,FGF7;CCL21;CAVIN1;FBLN1;CCL19;LDB2
DR 1+,GO_Biological_Process_2023,Endothelium Development (GO:0003158),0.00046811653426905627,0.024342059781990926,0,0,58.7319587628866,450.2857872458315,PECAM1;CD34;FSTL1
DR 1+,GO_Biological_Process_2023,Eye Morphogenesis (GO:0048592),0.0006112157595893195,0.02991361835166552,0,0,15.791666666666666,116.85928929412923,MFAP5;COL5A1;COL5A2;FBN1
DR 1+,GO_Biological_Process_2023,Skin Development (GO:0043588),0.0007953202530924244,0.03676146947627206,0,0,9.038277511961722,64.50406884720583,COL1A1;COL3A1;COL1A2;COL5A1;COL5A2
DR 1+,GO_Biological_Process_2023,Regulation Of Chemotaxis (GO:0050920),0.0009797523443270978,0.04079531433429827,0,0,13.152777777777779,91.12521610440056,PDGFRB;CCL21;RARRES2;CCL19
DR 1+,GO_Biological_Process_2023,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),0.0011277550837606493,0.04079531433429827,0,0,29.350515463917525,199.217394861114,SFRP4;TMEM204;FSTL1
DR 1+,GO_Biological_Process_2023,Regulation Of Protein Modification Process (GO:0031399),0.0011277550837606493,0.04079531433429827,0,0,29.350515463917525,199.217394861114,CDH5;FN1;IGF1
DR 1+,GO_Biological_Process_2023,Eye Development (GO:0001654),0.0011277550837606493,0.04079531433429827,0,0,29.350515463917525,199.217394861114,COL5A1;COL5A2;FBN1
