factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 3+,,,,,False,Mitotic Sister Chromatid Segregation (GO:0000070),1.835375217498543e-23,mitotic sister chromatid segregation,5.700474691589405e-12,TP53,0.0004558699061839829,3,"PLK1, UBE2C, CDC20, CCNB1, DEPDC1, NEK2, CENPA, KIF20A",8.28457,True
DR 5+,,,,,False,DNA Metabolic Process (GO:0006259),4.3074631822471185e-19,DNA replication,0.026193660839964366,E2F4,0.03313578282537904,3,"TYMS, GINS2, FAM111B, PCNA, SPC25, TK1, ASF1B, ZWINT",4.91546,True
DR 10+,,,,,False,Negative Regulation Of Cell Population Proliferation (GO:0008285),1.5064321054254095e-05,negative regulation of viral process,0.0013072765892199502,DDIT3,0.01369620812062394,3,"APOBEC3A, CCL5, NUPR1, ISG15, OASL, AC015912.3, IL32, ISG20",1.4868891,True
DR 26-,,,,,False,Intermediate Filament Organization (GO:0045109),4.172058408392681e-08,mesenchyme migration,0.01570157397797549,SRF,8.940368451952782e-06,3,"TAGLN, CNN1, ACTG2, MYL9, ACTA2, MYLK, ACTA1, CSRP1",11.823708,True
DR 31-,,,,,False,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),1.1771040429003062e-09,antigen processing and presentation of endogenous peptide antigen via MHC class I,0.00013879256349021385,CIITA,2.1542701204221864e-08,3,"HLA-B, HLA-A, HLA-C, IFI6, HLA-F, LGALS3BP, TAP1, BST2",0.7430246,True
DR 33+,,,,,False,B Cell Receptor Signaling Pathway (GO:0050853),1.3783068083249635e-06,adaptive immune response,1.928803969192985e-15,NOTCH1,0.0003421710541962948,3,"IGKV3-20, IGHV1-2, IGHV4-34, IGHV4-39, IGKV2D-29, IGLV2-8, IGKC, IGHV3-7",65.87429,True
DR 35-,,,,,False,Cellular Response To Chemokine (GO:1990869),2.5898985229442566e-05,chemokine-mediated signaling pathway,0.047044438336266085,KLF4,3.0310251889648594e-05,3,"CXCL10, CXCL11, CXCL9, CCL8, IDO1, UBD, PLA2G2A, ICAM1",9.825914,True
DR 36-,,,,,False,Defense Response To Bacterium (GO:0042742),0.001040545041525975,neutrophil aggregation,0.028218248967353178,CEBPE,0.0003421710541962948,3,"S100A8, S100A9, S100A7, ORM1, PI3, S100P, S100A12, SPRR1B",24.027279,True
DR 40-,,,,,False,Intermediate Filament Organization (GO:0045109),7.712981807182463e-12,intermediate filament organization,0.00020338968317051126,POU3F1,0.00010179544943341192,3,"KRT16, KRT14, KRT6A, AQP3, KRT6B, KRT5, MMP7, KRT17",7.869636,True
DR 44-,,,,,False,Response To Unfolded Protein (GO:0006986),2.408969862490706e-10,protein refolding,0.00042358485690963105,SATB1,4.8550781329772625e-18,3,"HSPA6, HSPA1A, HSPA1B, DNAJB1, SERPINH1, HSPB1, CRYAB, PARD6G-AS1",24.553047,True
