dim	var	var_frac	pca_var_ratio	eta2_cohort	eta2_cohort_pca	rho_n_genes_by_counts	rho_n_genes_by_counts_pca	rho_total_counts	rho_total_counts_pca	rho_pct_counts_mt	rho_pct_counts_mt_pca	rho_pct_counts_ribo	rho_pct_counts_ribo_pca	rho_size_factors	rho_size_factors_pca	rho_cnv_score	rho_cnv_score_pca	rho_cnv_corr	rho_cnv_corr_pca
0	6.33566	0.04169	0.03938	0.07906	0.84685	0.44329	0.28115	0.46286	0.32805	0.15089	-0.04759	-0.22766	-0.23093	0.42407	0.26061	0.08548	0.36684	0.29556	0.23531
1	11.58179	0.07621	0.01827	0.03740	0.48778	-0.00932	0.07750	-0.01418	0.07313	-0.09873	0.03907	0.11598	0.03086	-0.00933	0.06427	0.02198	-0.00461	0.06157	0.15072
2	9.03377	0.05944	0.01376	0.04145	0.52645	0.67366	0.63609	0.64550	0.58695	0.37902	0.45848	-0.21831	-0.29794	0.65506	0.62610	0.06637	0.05602	0.38211	0.31199
3	6.64675	0.04374	0.01132	0.01837	0.52369	-0.33459	-0.15031	-0.32493	-0.12670	-0.19337	-0.10778	0.12862	0.03481	-0.32484	-0.14603	0.02160	0.13285	-0.14913	-0.08438
4	6.71813	0.04421	0.00895	0.03130	0.35759	-0.62114	-0.40271	-0.59670	-0.37414	-0.23666	-0.13993	0.06511	-0.12084	-0.61269	-0.40423	-0.17793	-0.13119	-0.45026	-0.28121
5	4.41627	0.02906	0.00779	0.01160	0.37583	0.05699	0.12967	0.10055	0.13976	-0.03258	-0.03500	0.08582	-0.11664	0.04821	0.12135	-0.04769	-0.00147	0.08544	0.09770
6	4.74184	0.03120	0.00703	0.02205	0.36988	0.40744	0.12568	0.39004	0.11005	0.17963	-0.07458	-0.12661	0.06034	0.38542	0.11526	0.00720	-0.13135	0.25545	0.09617
7	3.85176	0.02535	0.00639	0.01035	0.23066	-0.16544	-0.14800	-0.19850	-0.18036	0.12410	0.05735	-0.11024	-0.17217	-0.16534	-0.14743	0.02848	0.09460	-0.02046	0.05035
8	2.99595	0.01971	0.00604	0.00738	0.40314	0.15222	0.09522	0.17713	0.09572	-0.05801	-0.11264	0.07243	-0.01384	0.14658	0.09790	0.03061	0.13944	0.07709	-0.11825
9	1.82860	0.01203	0.00570	0.02165	0.67258	0.26497	0.11583	0.24367	0.10542	0.09864	0.02465	-0.06249	-0.07637	0.26595	0.12488	0.06009	0.05775	0.15754	0.13844
10	2.46559	0.01622	0.00523	0.01531	0.45871	-0.01644	0.03257	0.00789	0.03962	-0.17917	-0.10656	0.19961	0.17056	-0.00975	0.03012	-0.07133	-0.03518	-0.00539	0.15054
11	2.38962	0.01572	0.00502	0.01049	0.50988	-0.31039	-0.24704	-0.31330	-0.27426	-0.17679	-0.13312	-0.03130	-0.14052	-0.29773	-0.23400	-0.03738	0.02196	-0.16692	-0.04656
12	3.02660	0.01992	0.00459	0.01063	0.28085	-0.26963	-0.17662	-0.28749	-0.18884	0.13901	0.17633	-0.06065	-0.09108	-0.28073	-0.19497	-0.07200	-0.02552	-0.23218	-0.16965
13	3.13238	0.02061	0.00436	0.01212	0.23671	0.18049	-0.02918	0.17441	-0.01800	0.06688	-0.01683	-0.11823	0.00537	0.16889	-0.04218	0.00624	-0.25857	0.04246	-0.22863
14	2.41933	0.01592	0.00411	0.00818	0.45892	0.31306	0.09103	0.34369	0.13164	0.09541	0.12563	0.08778	0.24855	0.29693	0.06716	-0.07001	-0.18374	0.25449	0.17224
15	2.02879	0.01335	0.00356	0.01086	0.46950	0.17614	0.19890	0.12878	0.14727	0.06794	-0.01265	-0.04981	-0.14096	0.18590	0.21764	0.07827	0.14967	0.10875	0.08596
16	2.20731	0.01452	0.00351	0.01196	0.35346	0.13984	0.01727	0.15395	0.04911	0.10821	0.03236	0.17844	0.16242	0.11939	-0.00862	-0.11073	-0.10292	0.03965	-0.04602
17	2.73540	0.01800	0.00337	0.01784	0.30418	-0.00555	-0.03505	0.00379	-0.04454	-0.03548	-0.02912	-0.06923	-0.06225	-0.01054	-0.02463	-0.02814	0.00646	0.01082	-0.02501
