drvi_dim	drvi_title	vanished	best_harmony_dim	best_rho	best_abs_rho
37	DR 3	False	1	0.72847	0.72847
38	DR 5	False	1	0.62389	0.62389
27	DR 8	False	2	0.60722	0.60722
59	DR 2	False	4	-0.57017	0.57017
14	DR 62	True	3	-0.53789	0.53789
36	DR 6	False	2	0.46192	0.46192
34	DR 25	False	1	-0.45817	0.45817
3	DR 4	False	22	-0.42324	0.42324
6	DR 21	False	12	-0.40172	0.40172
63	DR 18	False	0	-0.39333	0.39333
2	DR 22	False	5	0.39198	0.39198
19	DR 9	False	1	0.38729	0.38729
45	DR 63	True	3	0.37800	0.37800
44	DR 1	False	8	-0.37578	0.37578
10	DR 32	False	8	0.36172	0.36172
20	DR 7	False	7	0.35322	0.35322
12	DR 48	False	27	-0.35219	0.35219
11	DR 19	False	8	0.35195	0.35195
50	DR 15	False	5	-0.35119	0.35119
18	DR 37	False	1	-0.35105	0.35105
41	DR 60	True	13	-0.34318	0.34318
60	DR 58	True	8	-0.34161	0.34161
42	DR 23	False	20	0.33870	0.33870
62	DR 26	False	7	0.32938	0.32938
21	DR 31	False	29	-0.32559	0.32559
54	DR 50	False	24	0.31890	0.31890
51	DR 52	False	37	-0.31604	0.31604
52	DR 20	False	9	-0.31552	0.31552
57	DR 61	True	25	0.31542	0.31542
25	DR 16	False	35	0.31415	0.31415
39	DR 40	False	31	-0.31156	0.31156
1	DR 29	False	5	0.30962	0.30962
28	DR 35	False	0	-0.30376	0.30376
29	DR 27	False	7	0.29887	0.29887
61	DR 10	False	14	-0.29700	0.29700
23	DR 57	True	16	0.29144	0.29144
49	DR 12	False	35	0.28984	0.28984
56	DR 13	False	24	-0.28907	0.28907
46	DR 53	False	34	0.28021	0.28021
13	DR 64	True	7	0.27974	0.27974
5	DR 14	False	11	0.27618	0.27618
26	DR 17	False	1	0.27520	0.27520
53	DR 42	False	35	0.27230	0.27230
24	DR 33	False	2	-0.26947	0.26947
43	DR 28	False	25	0.26828	0.26828
30	DR 43	False	22	0.26702	0.26702
40	DR 41	False	29	-0.26578	0.26578
7	DR 34	False	21	0.26386	0.26386
22	DR 51	False	0	-0.25529	0.25529
9	DR 11	False	7	-0.25279	0.25279
15	DR 30	False	16	-0.25012	0.25012
35	DR 36	False	34	0.24994	0.24994
33	DR 59	True	29	-0.24922	0.24922
17	DR 44	False	24	-0.24811	0.24811
48	DR 46	False	5	-0.24327	0.24327
8	DR 39	False	8	0.24067	0.24067
58	DR 47	False	28	-0.23822	0.23822
32	DR 45	False	31	0.21974	0.21974
31	DR 49	False	8	-0.19564	0.19564
0	DR 38	False	21	0.19413	0.19413
4	DR 24	False	44	-0.19206	0.19206
47	DR 56	False	6	0.19080	0.19080
55	DR 54	False	50	-0.15475	0.15475
16	DR 55	False	15	0.12645	0.12645
