# confounders | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
EMT_B_EPITHELIAL,epithelial,0.2973505217322031,0.0,0.1580890691128376,0.0,-0.16357990045638543,0.0,-0.22542999837679478,0.0
EMT_B_HYBRID,hybrid,0.18207374698251877,0.0,0.07841986813294363,8.640343737256119e-83,0.0988920641658126,9.521677431729138e-131,0.10316252881149963,3.618701446652402e-142
EMT_B_MESENCHYMAL,mesenchymal,0.0729655100164872,6.751979350378707e-72,0.028500323335611415,2.6348125845686484e-12,0.08068189086358958,1.538999149662967e-87,0.10861032010506323,1.8875299415831282e-157
EMT_A_EPITHELIAL,epithelial,0.31437969182622816,0.0,0.174362924464766,0.0,-0.13552594765693018,8.326824833225161e-245,-0.1902709406207238,0.0
EMT_A_HYBRID,hybrid,0.10332389088123552,1.3103911062411004e-142,0.09911934865645648,2.416984059191586e-131,-0.04353101026313654,1.1533787128486138e-26,-0.014572756497666827,0.0003480633709112683
EMT_A_MESENCHYMAL,mesenchymal,-0.09738030932762932,8.014277256606767e-127,-0.08085687370149021,6.518940585624291e-88,0.05698742581774744,1.6219362715119017e-44,0.14505202490811647,1.701102025132591e-280
EMT_C_EPITHELIAL,epithelial,0.2661286589806932,0.0,0.14626874761488265,3.0951208605111695e-285,-0.13483107867526656,2.663776320544769e-242,-0.2024099691459001,0.0
EMT_C_HYBRID,hybrid,0.14118304420485933,1.0704453535654532e-265,-0.014827315244520722,0.0002735868739852957,0.005192409483211053,0.20254837159969272,-0.03112988072782466,2.143439321735947e-14
EMT_C_MESENCHYMAL,mesenchymal,0.1584293003190451,0.0,0.05782814327770828,8.651258643185235e-46,0.03172613073963569,6.7993889424461145e-15,0.029307917802932165,6.279765631583639e-13
EMT_SCORE_B,emt_score,-0.1864625741192734,0.0,-0.0826536913774687,8.634306386197694e-92,0.119794702098695,2.3968065037960982e-191,0.17130288282648423,0.0
EMT_SCORE_A,emt_score,-0.2791843037143017,0.0,-0.15343918465768477,0.0,0.09998771121841786,1.2460660463262706e-133,0.17853280159665885,0.0
EMT_SCORE_C,emt_score,-0.12641770348140702,5.016625404915762e-213,-0.05826084945151503,1.88218461970584e-46,0.06544386095087557,3.615630480419365e-58,0.10678596646044138,3.041273171913802e-152
