# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,EMT_B_EPITHELIAL,0.0678,EMT_B_EPITHELIAL,0.0678,0.4269065426260702,-0.1634537,EMT_B_EPITHELIAL,0.2992,0.5021113054699536,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 1-,DR 1,-,EMT_A_MESENCHYMAL,0.201,EMT_A_MESENCHYMAL,0.201,0.5730934573739298,0.1634537,EMT_C_HYBRID,0.3531,0.44350651102530514,True,False,False,False,mesenchymal,hybrid,cell_only,above,False,mesenchymal_may_be_ambient_or_doublet
DR 2+,DR 2,+,EMT_A_MESENCHYMAL,0.2672,EMT_SCORE_A,0.3128,0.5282411804594604,0.18189968,EMT_B_MESENCHYMAL,1.3701,0.04264813065450335,True,True,False,True,mesenchymal,mesenchymal,convergent,above,False,mesenchymal_may_be_ambient_or_doublet
DR 2-,DR 2,-,EMT_A_EPITHELIAL,0.2028,EMT_A_EPITHELIAL,0.2028,0.47175881954053955,-0.18189968,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,True,False,False,False,epithelial,epithelial,cell_only,above,False,depth
DR 3+,DR 3,+,EMT_A_MESENCHYMAL,0.1498,EMT_SCORE_B,0.1629,0.5203967981742399,0.07048717,EMT_B_MESENCHYMAL,0.1802,0.6603892574785455,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 3-,DR 3,-,EMT_B_EPITHELIAL,0.1091,EMT_B_EPITHELIAL,0.1091,0.4796032018257601,-0.07048717,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 4+,DR 4,+,EMT_A_HYBRID,0.0888,EMT_SCORE_A,0.1168,0.4544280588234192,-0.096116655,EMT_A_MESENCHYMAL,0.3531,0.44350651102530514,False,False,False,False,hybrid,mesenchymal,neither,below,False,none
DR 4-,DR 4,-,EMT_A_EPITHELIAL,0.1092,EMT_A_EPITHELIAL,0.1092,0.5455719411765808,0.096116655,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 5+,DR 5,+,EMT_A_EPITHELIAL,0.2107,EMT_A_EPITHELIAL,0.2107,0.4993168823039103,-0.068866886,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,True,False,False,False,epithelial,epithelial,cell_only,above,False,depth
DR 5-,DR 5,-,EMT_A_MESENCHYMAL,0.177,EMT_SCORE_A,0.2548,0.5006831176960898,0.068866886,EMT_C_HYBRID,2.0371,0.009181211669315341,False,True,False,False,mesenchymal,hybrid,factor_only,below,False,none
DR 6+,DR 6,+,EMT_C_EPITHELIAL,-0.0296,EMT_C_EPITHELIAL,-0.0296,0.3908912977450891,-0.3301354,EMT_B_EPITHELIAL,0.0,1.0,False,False,False,False,epithelial,epithelial,neither,below,False,none
DR 6-,DR 6,-,EMT_A_HYBRID,0.2302,EMT_A_HYBRID,0.2302,0.6091087022549109,0.3301354,EMT_C_MESENCHYMAL,0.1584,0.6943844712409819,True,False,False,False,hybrid,mesenchymal,cell_only,above,False,none
DR 7+,DR 7,+,EMT_B_HYBRID,0.0123,EMT_SCORE_B,0.1648,0.3820984575443632,-0.38516453,EMT_B_HYBRID,0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 7-,DR 7,-,EMT_B_EPITHELIAL,0.2323,EMT_B_EPITHELIAL,0.2323,0.6179015424556368,0.38516453,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,True,False,False,False,epithelial,epithelial,cell_only,above,False,none
DR 8+,DR 8,+,EMT_C_MESENCHYMAL,0.1813,EMT_C_MESENCHYMAL,0.1813,0.6333817502576384,0.39778557,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 8-,DR 8,-,EMT_B_HYBRID,-0.1216,EMT_SCORE_A,0.0332,0.36661824974236157,-0.39778557,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,hybrid,hybrid,neither,below,False,none
DR 9+,DR 9,+,EMT_B_MESENCHYMAL,0.0646,EMT_SCORE_B,0.2164,0.3874364106681687,-0.4353659,EMT_A_MESENCHYMAL,0.7815,0.16538647847713284,False,False,False,False,mesenchymal,mesenchymal,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,EMT_B_EPITHELIAL,0.2545,EMT_B_EPITHELIAL,0.2545,0.6125635893318313,0.4353659,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,True,False,False,False,epithelial,epithelial,cell_only,above,False,none
DR 10+,DR 10,+,EMT_B_EPITHELIAL,0.2289,EMT_B_EPITHELIAL,0.2289,0.5867945355842716,0.22581305,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,True,False,False,False,epithelial,epithelial,cell_only,above,False,none
DR 10-,DR 10,-,EMT_A_MESENCHYMAL,0.0181,EMT_SCORE_B,0.1723,0.41320546441572836,-0.22581305,EMT_B_HYBRID,0.0,1.0,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 11+,DR 11,+,EMT_C_HYBRID,0.0086,EMT_C_HYBRID,0.0086,0.4341319736766992,-0.29251283,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 11-,DR 11,-,EMT_A_MESENCHYMAL,0.0964,EMT_A_MESENCHYMAL,0.0964,0.5658680263233008,0.29251283,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,mesenchymal,epithelial,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 12+,DR 12,+,EMT_A_EPITHELIAL,0.1356,EMT_A_EPITHELIAL,0.1356,0.569893211126627,0.14474757,EMT_A_EPITHELIAL,0.9059,0.12419382415199219,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 12-,DR 12,-,EMT_A_HYBRID,0.0418,EMT_SCORE_A,0.1116,0.43010678887337295,-0.14474757,EMT_B_MESENCHYMAL,0.1802,0.6603892574785455,False,False,False,False,hybrid,mesenchymal,neither,below,False,none
DR 13+,DR 13,+,EMT_B_MESENCHYMAL,0.1849,EMT_SCORE_B,0.2416,0.4920206354347351,-0.039630245,EMT_B_HYBRID,0.3771,0.41966234203983155,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 13-,DR 13,-,EMT_A_EPITHELIAL,0.1756,EMT_A_EPITHELIAL,0.1756,0.5079793645652648,0.039630245,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,epithelial,epithelial,neither,below,False,depth
DR 14+,DR 14,+,EMT_A_HYBRID,0.1357,EMT_A_HYBRID,0.1357,0.5230019817407793,0.07217676,EMT_A_EPITHELIAL,0.1755,0.6675749009643063,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 14-,DR 14,-,EMT_C_HYBRID,0.021,EMT_SCORE_A,0.0394,0.4769980182592207,-0.07217676,EMT_C_EPITHELIAL,0.9442,0.11371035097106504,False,False,False,False,hybrid,epithelial,neither,below,False,none
DR 15+,DR 15,+,EMT_A_MESENCHYMAL,0.0817,EMT_SCORE_A,0.2252,0.4350965155337412,-0.21575773,EMT_A_HYBRID,0.0558,0.8794274148836828,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,EMT_B_EPITHELIAL,0.2646,EMT_B_EPITHELIAL,0.2646,0.5649034844662588,0.21575773,EMT_B_EPITHELIAL,1.5536,0.02795117053991844,True,True,True,True,epithelial,epithelial,convergent,above,False,none
DR 16+,DR 16,+,EMT_A_MESENCHYMAL,0.0415,EMT_SCORE_A,0.096,0.4662416956236262,-0.034405675,EMT_C_HYBRID,0.7815,0.16538647847713284,False,False,False,False,mesenchymal,hybrid,neither,below,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,EMT_A_EPITHELIAL,0.1006,EMT_A_EPITHELIAL,0.1006,0.5337583043763738,0.034405675,EMT_C_EPITHELIAL,0.3771,0.41966234203983155,False,False,False,False,epithelial,epithelial,neither,below,False,depth
