# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 22,-0.0165,-0.1755,-0.0247,0.3771,0.4457,1.3067,0.4452,0.3531,0.4067
DR 30,-0.0165,-0.1755,-0.0247,-0.0247,-0.0558,-0.3531,-0.1802,-0.3531,-0.4067
DR 64,0.2992,0.1755,0.3771,0.0,0.0,-0.0,0.0165,0.0792,-0.1584
DR 41,0.0165,0.1755,0.0247,0.0,0.0,-0.0792,-1.3701,-1.3067,-1.2805
DR 37,0.2992,0.1755,0.3771,0.0,0.0,0.0,0.0165,0.0792,0.0165
DR 2,-0.2992,-0.1755,-0.3771,0.3771,0.4457,0.3531,1.3701,1.3067,1.2805
DR 7,-0.2992,-0.1755,-0.3771,0.0,0.0,0.0,-0.0165,0.0,-0.1584
DR 26,-0.2992,-0.9059,0.0247,-0.0247,-0.0558,-0.0792,0.0,0.0,0.0
DR 11,0.2992,-0.9059,0.3771,-0.3771,-0.4457,-0.3531,-0.858,-0.7815,-0.8131
DR 39,-0.2992,-0.1755,-0.3771,0.0,0.0,-0.0,0.0165,0.0792,0.0165
DR 54,-0.0165,-0.1755,-0.0247,0.0247,0.0558,-0.0,-0.0,0.0,0.0165
DR 56,-0.2992,-0.1755,-0.3771,0.0,0.0,0.0,0.0,0.0,0.0
DR 63,0.0165,0.1755,0.0247,0.0,0.0,-0.0,0.0,0.0,0.0
