# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
DR 22,-0.028,0.135,0.2403,-0.0061,0.1859,0.243,-0.0277,0.1238,0.2347,0.1755,0.1538,0.1774
DR 30,-0.0655,0.0162,-0.0472,-0.0469,0.0003,-0.0424,-0.0582,-0.0139,-0.0944,0.0175,0.0102,-0.0209
DR 64,0.0422,-0.0564,-0.0297,0.0374,-0.0122,-0.0275,0.0453,-0.0045,-0.0265,-0.0418,-0.0355,-0.043
DR 41,0.143,0.0549,-0.0079,0.1379,0.0249,-0.0322,0.1324,0.065,0.0212,-0.1057,-0.1182,-0.079
DR 37,0.1307,0.0372,0.0271,0.1344,-0.0446,-0.0251,0.1271,0.0471,0.0361,-0.076,-0.1108,-0.0691
DR 2,-0.1961,0.0036,0.1912,-0.2028,0.0579,0.2672,-0.1799,0.084,0.1527,0.2679,0.3128,0.2383
DR 7,-0.2323,0.0123,-0.0009,-0.2162,-0.0948,-0.0217,-0.1859,-0.066,-0.0678,0.1648,0.1367,0.091
DR 26,-0.0886,-0.0046,0.0048,-0.079,-0.0778,0.0243,-0.0667,-0.0417,-0.0365,0.0627,0.0678,0.0207
DR 11,-0.0013,-0.0455,-0.0838,-0.0314,-0.0598,-0.0964,-0.0147,0.0086,-0.0797,-0.0599,-0.0429,-0.0524
DR 39,-0.1081,0.0027,0.0049,-0.0951,0.0265,0.0391,-0.0965,-0.0124,-0.0221,0.0756,0.0872,0.0514
DR 54,-0.0327,-0.0113,0.0172,-0.0431,0.0386,0.0186,-0.0432,0.0203,0.0445,0.0333,0.0424,0.0605
DR 56,-0.1543,-0.0365,0.0247,-0.1537,-0.0326,0.0944,-0.1261,-0.0196,0.0084,0.1265,0.1653,0.0992
DR 63,-0.1044,-0.0394,-0.0301,-0.0926,-0.0461,-0.0378,-0.0738,-0.1228,-0.0526,0.0563,0.0429,0.0197
DR 40,-0.0179,-0.075,-0.0779,-0.0117,-0.0606,-0.0407,-0.0268,-0.0636,-0.0992,-0.0389,-0.017,-0.0493
DR 38,-0.0127,-0.0004,-0.0452,-0.0245,0.0101,-0.0156,-0.0063,0.0494,-0.0233,-0.0183,0.0093,-0.0081
DR 58,0.2555,0.0225,-0.067,0.2492,-0.0138,-0.1032,0.2212,-0.0119,-0.0256,-0.2208,-0.2369,-0.1741
DR 10,0.2289,-0.0096,-0.0138,0.1983,0.0695,-0.0181,0.1894,0.0497,0.0552,-0.1723,-0.1488,-0.1022
DR 51,0.0397,-0.0199,-0.0437,0.0247,0.0125,-0.0633,0.0316,-0.0055,-0.013,-0.0573,-0.0569,-0.0335
DR 3,-0.1091,0.086,0.1345,-0.0748,0.0144,0.1498,-0.0807,0.0532,0.0964,0.1629,0.1432,0.1214
DR 12,0.127,0.0286,0.0072,0.1356,-0.0418,-0.032,0.1248,0.0371,0.0158,-0.0815,-0.1116,-0.0759
DR 60,-0.2806,-0.0023,0.0146,-0.27,-0.0321,0.0188,-0.267,-0.1016,-0.0082,0.2056,0.1959,0.1862
DR 9,-0.2545,0.0337,0.0646,-0.2396,0.0395,0.0425,-0.2462,-0.0362,0.0571,0.2164,0.1906,0.2099
DR 62,0.0534,0.007,-0.0019,0.0308,-0.0299,-0.0273,0.0643,0.0401,0.0052,-0.0341,-0.0333,-0.0372
DR 61,0.1383,0.0727,0.0546,0.109,0.1186,0.0352,0.1075,0.0638,0.1076,-0.0628,-0.0542,-0.0064
DR 57,-0.0207,-0.1175,-0.1227,-0.0205,-0.0914,-0.1321,-0.0011,-0.0894,-0.1164,-0.0607,-0.0586,-0.0742
DR 19,-0.1809,0.0222,0.025,-0.1434,-0.0745,0.0205,-0.16,-0.0441,-0.0462,0.144,0.1094,0.085
DR 23,0.12,-0.0642,-0.2238,0.1353,0.0179,-0.2882,0.0975,-0.1118,-0.1981,-0.2244,-0.2631,-0.1991
DR 27,-0.1323,-0.0469,-0.0013,-0.1457,-0.1273,0.0559,-0.1021,0.0115,-0.0436,0.0934,0.1349,0.0466
DR 15,-0.2646,-0.0428,0.0209,-0.2546,-0.1082,0.0817,-0.1929,0.0047,-0.0329,0.2003,0.2252,0.1201
DR 34,0.0032,0.0525,0.0361,0.0067,0.0031,0.0191,0.0185,0.0421,0.0235,0.0196,0.0052,0.0019
DR 5,0.1722,-0.0418,-0.1535,0.2107,-0.1117,-0.177,0.1682,-0.1043,-0.1556,-0.2185,-0.2548,-0.2252
DR 50,-0.0236,0.0082,0.0506,-0.0486,-0.0106,0.0757,-0.0274,-0.0273,0.0715,0.0439,0.0731,0.0629
DR 29,0.1939,-0.1046,-0.1542,0.1778,-0.06,-0.1345,0.1773,-0.0291,-0.1272,-0.2338,-0.2,-0.2107
DR 36,-0.053,0.043,0.0927,-0.0512,0.0394,0.0958,-0.0504,0.0269,0.0528,0.0927,0.0912,0.0667
DR 46,0.1385,0.0194,0.0272,0.1298,0.0717,0.0284,0.1137,-0.015,0.0555,-0.0772,-0.0692,-0.0436
DR 28,-0.0035,-0.0296,-0.0412,-0.0165,-0.0859,-0.0095,0.0021,-0.0006,-0.0559,-0.0285,-0.0008,-0.0433
DR 48,-0.0054,-0.016,-0.0369,0.0041,-0.0631,-0.0554,0.012,-0.0599,-0.0744,-0.0225,-0.0385,-0.0628
DR 52,0.0157,-0.017,0.0061,-0.0032,-0.0743,0.0054,0.0356,0.0014,0.0027,-0.0074,0.0029,-0.0246
DR 18,0.221,0.024,0.0354,0.2021,0.1968,0.0012,0.1816,0.0612,0.1179,-0.1287,-0.1309,-0.0495
DR 43,-0.0627,-0.0467,-0.0592,-0.0298,-0.0742,-0.1003,-0.0567,-0.0718,-0.0667,0.0064,-0.0414,-0.0041
DR 33,-0.2852,-0.0145,-0.0257,-0.2902,-0.0479,-0.0108,-0.2443,-0.0519,-0.0289,0.1828,0.1929,0.1574
DR 55,0.14,0.0209,0.0366,0.1387,0.0317,0.0387,0.1285,0.0651,0.0668,-0.0739,-0.071,-0.0463
DR 1,0.0678,-0.1114,-0.1519,0.0432,-0.0006,-0.201,0.0446,-0.1131,-0.1052,-0.144,-0.1444,-0.103
DR 17,-0.0325,-0.0533,-0.1863,-0.0011,-0.0711,-0.2347,-0.0412,-0.071,-0.1854,-0.101,-0.1447,-0.0995
DR 53,-0.0037,-0.033,0.0902,-0.0342,-0.0322,0.1333,-0.0089,-0.0091,0.1114,0.0598,0.1067,0.0815
DR 8,0.1736,0.1216,0.1673,0.1685,0.1551,0.1288,0.1625,0.1674,0.1813,-0.0132,-0.0332,0.0019
DR 45,0.0701,-0.0065,0.0343,0.053,0.0132,0.0116,0.0604,0.0179,0.0549,-0.0267,-0.0269,-0.0076
DR 25,-0.0505,0.0982,0.1139,-0.0408,0.0413,0.1161,-0.0383,0.0994,0.0917,0.1075,0.0978,0.0883
DR 44,-0.0811,-0.015,0.008,-0.0957,-0.0632,-0.0086,-0.0743,-0.0401,-0.0046,0.065,0.0628,0.0548
DR 49,-0.0552,-0.0393,-0.0255,-0.0537,-0.016,-0.0232,-0.0624,-0.0277,-0.0319,0.0228,0.024,0.0245
DR 14,0.0389,0.0057,-0.001,0.0583,0.1357,-0.0143,0.0208,-0.021,0.029,-0.0248,-0.0394,0.0077
DR 4,-0.0996,-0.017,0.0062,-0.1092,0.0888,0.0622,-0.0972,0.013,-0.0047,0.0749,0.1168,0.0669
DR 6,-0.0349,-0.1469,-0.1601,-0.0403,-0.2302,-0.1095,-0.0296,-0.0594,-0.1822,-0.0832,-0.0431,-0.1055
DR 42,0.052,-0.0142,-0.0499,0.0364,0.0774,-0.051,0.0298,0.0074,-0.009,-0.0689,-0.0541,-0.0268
DR 16,-0.0927,-0.0381,-0.0159,-0.1006,-0.0102,0.0415,-0.0796,-0.0153,-0.0124,0.056,0.096,0.0511
DR 35,-0.0551,-0.0844,-0.0594,-0.0694,-0.1239,-0.0684,-0.0214,-0.0973,-0.0506,0.0028,0.0083,-0.0148
DR 32,-0.058,-0.0265,-0.0926,-0.0429,-0.0375,-0.0448,-0.0448,-0.0534,-0.1026,-0.0157,0.0005,-0.0316
DR 24,0.0521,-0.0102,0.0038,0.0422,-0.0207,-0.0214,0.0647,-0.0077,0.0019,-0.0354,-0.0404,-0.0469
DR 21,-0.1553,0.0864,0.091,-0.1646,0.0158,0.0894,-0.1402,0.0427,0.0641,0.1607,0.1622,0.1337
DR 31,0.0164,0.0305,0.0961,0.0391,-0.0167,0.1126,0.0107,0.0083,0.081,0.05,0.0362,0.0475
DR 59,0.0571,0.0262,-0.0132,0.0467,0.0075,-0.0263,0.05,0.0162,-0.0039,-0.0468,-0.048,-0.0355
DR 47,-0.0372,-0.0093,0.0235,-0.0402,0.0041,0.0463,-0.0259,-0.0085,0.0338,0.0458,0.06,0.0464
DR 20,0.1004,-0.0476,-0.1177,0.0839,0.0515,-0.1651,0.0828,-0.0148,-0.0755,-0.1469,-0.1522,-0.1124
DR 13,-0.1744,0.0761,0.1849,-0.1756,-0.0596,0.1524,-0.1253,0.0344,0.1356,0.2416,0.208,0.1817
