# dim_target_effect_size | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 33,0.3375324781089422,-0.63291407,0.1624675218910578
DR 17,0.35644092576418773,-0.64000267,0.14355907423581227
DR 8,0.6333817502576384,0.39778557,0.13338175025763843
DR 60,0.36871705306657,-0.48127082,0.13128294693343
DR 18,0.6305583728365339,0.4742534,0.13055837283653393
DR 22,0.6225799676642729,0.4531304,0.12257996766427293
DR 7,0.3820984575443632,-0.38516453,0.11790154245563678
DR 9,0.3874364106681687,-0.4353659,0.1125635893318313
DR 6,0.39089129774508913,-0.3301354,0.10910870225491087
DR 61,0.5918707271241569,0.3149318,0.09187072712415689
DR 43,0.41076170121187466,-0.35191676,0.08923829878812534
DR 10,0.5867945355842716,0.22581305,0.08679453558427164
DR 55,0.5842784626973327,0.24116303,0.08427846269733275
DR 1,0.4269065426260702,-0.1634537,0.0730934573739298
DR 23,0.42728020462305794,-0.28866217,0.07271979537694206
DR 35,0.42755945106148235,-0.28682908,0.07244054893851765
DR 46,0.5711561142487948,0.2653389,0.07115611424879476
DR 25,0.5706258022965491,0.27289942,0.07062580229654913
DR 12,0.569893211126627,0.14474757,0.06989321112662705
DR 53,0.5696664225714141,0.31973004,0.06966642257141409
DR 31,0.56957849038495,-0.048526052,0.06957849038495001
DR 19,0.43191750872048407,-0.17520325,0.06808249127951593
DR 57,0.4335054302905508,-0.2285584,0.06649456970944922
DR 32,0.43403998813778605,-0.24212983,0.06596001186221395
DR 11,0.4341319736766992,-0.29251283,0.0658680263233008
DR 15,0.4350965155337412,-0.21575773,0.06490348446625882
DR 30,0.436766277642652,-0.2660848,0.06323372235734798
DR 37,0.5550762094662598,0.16306098,0.055076209466259796
DR 58,0.5544158815036372,0.17211287,0.05441588150363719
DR 41,0.5544128307002787,0.17914803,0.05441283070027869
DR 63,0.44962026826540535,-0.21022384,0.050379731734594646
DR 21,0.4500395097293273,-0.14108476,0.049960490270672675
DR 45,0.5494561881599005,0.1677233,0.049456188159900494
DR 27,0.45411891185632214,-0.11351191,0.04588108814367786
DR 4,0.45442805882341925,-0.096116655,0.045571941176580755
DR 49,0.457832423401631,-0.12696037,0.042167576598369005
DR 44,0.4584874664034844,-0.15055309,0.04151253359651558
DR 40,0.4623360432213121,-0.12088721,0.03766395677868789
DR 24,0.5347498121481942,0.0794948,0.03474981214819417
DR 16,0.4662416956236262,-0.034405675,0.03375830437637378
DR 29,0.5325516933897344,0.1529276,0.032551693389734404
DR 56,0.468737840357615,-0.070882685,0.03126215964238499
DR 39,0.4705276593799761,-0.1216244,0.029472340620023907
DR 2,0.5282411804594604,0.18189968,0.028241180459460447
DR 62,0.527959752978809,0.1016103,0.027959752978809038
DR 34,0.5276429541055733,0.041972123,0.02764295410557327
DR 48,0.47372595364428116,-0.123051874,0.02627404635571884
DR 28,0.4766876795201914,-0.058641687,0.02331232047980858
DR 14,0.5230019817407793,0.07217676,0.023001981740779276
DR 3,0.5203967981742399,0.07048717,0.020396798174239894
DR 20,0.48001350666003983,-0.053687364,0.019986493339960165
DR 51,0.48105894626141676,-0.06477533,0.018941053738583236
DR 54,0.4812139762035745,-0.054127175,0.01878602379642552
DR 36,0.5154043427213136,0.11802783,0.015404342721313635
DR 64,0.5146335916116678,0.060957633,0.014633591611667773
DR 52,0.5121983434356863,-0.03856229,0.012198343435686265
DR 59,0.5099977880181786,0.05384554,0.009997788018178633
DR 26,0.49174312519887486,-0.047418587,0.008256874801125136
DR 13,0.4920206354347351,-0.039630245,0.00797936456526488
DR 50,0.5074122670286714,-0.014166094,0.007412267028671371
DR 42,0.5058631494199297,0.052515052,0.005863149419929714
DR 47,0.4981130997007982,0.0036488671,0.0018869002992017991
DR 5,0.49931688230391036,-0.068866886,0.0006831176960896412
DR 38,0.5006131085643943,0.03585438,0.0006131085643943379
