# emt_vs_gavish_pairs | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
lab_list,metaprogram,n_lab,n_mp,n_shared,jaccard,overlap_coefficient,expected_by_chance,hypergeom_p,shared_genes,hypergeom_fdr
EMT_A_MESENCHYMAL,MP12_EMT_1,19,48,6,0.098361,0.315789,0.035046,0.0,ACTA2;FN1;MMP2;SNAI2;SPARC;VIM,0.0
EMT_C_HYBRID,MP13_EMT_2,33,50,7,0.092105,0.212121,0.063405,0.0,ITGA3;ITGAV;LAMB3;LAMC2;PDPN;TGFBI;TNC,0.0
EMT_A_EPITHELIAL,MP14_EMT_3,15,50,5,0.083333,0.333333,0.028821,0.0,CD24;CLDN4;KRT18;KRT8;LMNA,0.0
EMT_B_EPITHELIAL,MP14_EMT_3,28,50,6,0.083333,0.214286,0.053799,0.0,CD24;CLDN4;KRT18;KRT19;KRT8;LMNA,0.0
EMT_B_MESENCHYMAL,MP12_EMT_1,33,48,6,0.08,0.181818,0.060869,0.0,ACTA2;FN1;MMP2;SNAI2;SPARC;VIM,0.0
EMT_C_MESENCHYMAL,MP12_EMT_1,41,48,6,0.072289,0.146341,0.075625,0.0,ACTA2;FN1;MMP2;SNAI2;SPARC;VIM,0.0
EMT_A_HYBRID,MP13_EMT_2,12,50,4,0.068966,0.333333,0.023057,0.0,ITGAV;LAMC2;PDPN;TNC,0.0
EMT_B_MESENCHYMAL,MP13_EMT_2,33,50,5,0.064103,0.151515,0.063405,0.0,FN1;ITGAV;ITGB1;ITGB6;VIM,0.0
EMT_B_HYBRID,MP13_EMT_2,20,50,4,0.060606,0.2,0.038428,0.0,ITGAV;LAMC2;PDPN;TNC,0.0
EMT_C_EPITHELIAL,MP14_EMT_3,29,50,4,0.053333,0.137931,0.05572,0.0,CD24;KRT18;KRT19;KRT8,1e-06
EMT_C_HYBRID,MP12_EMT_1,33,48,4,0.051948,0.121212,0.060869,0.0,ACTA2;SNAI2;SPARC;TGFBI,1e-06
EMT_C_MESENCHYMAL,MP13_EMT_2,41,50,4,0.045977,0.097561,0.078776,1e-06,FN1;ITGB1;ITGB6;VIM,3e-06
EMT_A_MESENCHYMAL,MP15_EMT_4,19,49,2,0.030303,0.105263,0.035776,0.000582,SNAI2;SPARC,0.001454
EMT_A_MESENCHYMAL,MP13_EMT_2,19,50,2,0.029851,0.105263,0.036506,0.000606,FN1;VIM,0.001454
EMT_A_MESENCHYMAL,MP14_EMT_3,19,50,2,0.029851,0.105263,0.036506,0.000606,S100A4;VIM,0.001454
EMT_C_EPITHELIAL,MP13_EMT_2,29,50,2,0.025974,0.068966,0.05572,0.001421,ITGA6;LAMC2,0.003197
EMT_C_HYBRID,MP15_EMT_4,33,49,2,0.025,0.060606,0.062137,0.001767,SNAI2;SPARC,0.003484
EMT_B_MESENCHYMAL,MP15_EMT_4,33,49,2,0.025,0.060606,0.062137,0.001767,SNAI2;SPARC,0.003484
EMT_B_MESENCHYMAL,MP14_EMT_3,33,50,2,0.024691,0.060606,0.063405,0.001839,S100A4;VIM,0.003484
EMT_C_MESENCHYMAL,MP15_EMT_4,41,49,2,0.022727,0.04878,0.077201,0.002718,SNAI2;SPARC,0.004848
EMT_C_MESENCHYMAL,MP14_EMT_3,41,50,2,0.022472,0.04878,0.078776,0.002828,S100A4;VIM,0.004848
EMT_B_HYBRID,MP12_EMT_1,20,48,1,0.014925,0.05,0.03689,0.036264,SNAI2,0.057923
EMT_B_HYBRID,MP15_EMT_4,20,49,1,0.014706,0.05,0.037659,0.037006,SNAI2,0.057923
EMT_B_EPITHELIAL,MP13_EMT_2,28,50,1,0.012987,0.035714,0.053799,0.052453,ITGA6,0.078679
EMT_C_HYBRID,MP14_EMT_3,33,50,1,0.012195,0.030303,0.063405,0.061531,CD24,0.088605
EMT_A_EPITHELIAL,MP15_EMT_4,15,49,0,0.0,0.0,0.028244,1.0,,1.0
EMT_A_EPITHELIAL,MP12_EMT_1,15,48,0,0.0,0.0,0.027668,1.0,,1.0
EMT_A_EPITHELIAL,MP13_EMT_2,15,50,0,0.0,0.0,0.028821,1.0,,1.0
EMT_B_HYBRID,MP14_EMT_3,20,50,0,0.0,0.0,0.038428,1.0,,1.0
EMT_A_HYBRID,MP12_EMT_1,12,48,0,0.0,0.0,0.022134,1.0,,1.0
EMT_A_HYBRID,MP14_EMT_3,12,50,0,0.0,0.0,0.023057,1.0,,1.0
EMT_A_HYBRID,MP15_EMT_4,12,49,0,0.0,0.0,0.022595,1.0,,1.0
EMT_B_EPITHELIAL,MP15_EMT_4,28,49,0,0.0,0.0,0.052723,1.0,,1.0
EMT_B_EPITHELIAL,MP12_EMT_1,28,48,0,0.0,0.0,0.051647,1.0,,1.0
EMT_C_EPITHELIAL,MP12_EMT_1,29,48,0,0.0,0.0,0.053491,1.0,,1.0
EMT_C_EPITHELIAL,MP15_EMT_4,29,49,0,0.0,0.0,0.054606,1.0,,1.0
