# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_A_EPITHELIAL,epithelial,KRT18,0.654243,1.208918,0.153501,0.152227,0.57729,1
EMT_A_EPITHELIAL,epithelial,CD24,0.719639,1.486358,0.188728,0.151586,0.504762,2
EMT_A_EPITHELIAL,epithelial,CLDN4,0.553683,0.937909,0.11909,0.150373,0.638182,3
EMT_A_EPITHELIAL,epithelial,KRT8,0.639201,1.114723,0.14154,0.147509,0.588178,4
EMT_A_EPITHELIAL,epithelial,LMNA,0.607757,0.970137,0.123182,0.093133,0.390662,5
EMT_A_EPITHELIAL,epithelial,CLDN3,0.381568,0.490535,0.062285,0.088263,0.493323,6
EMT_A_EPITHELIAL,epithelial,EPCAM,0.476583,0.613737,0.077928,0.069861,0.377296,7
EMT_A_EPITHELIAL,epithelial,DSP,0.408165,0.493076,0.062608,0.064754,0.403276,8
EMT_A_EPITHELIAL,epithelial,CDH1,0.212956,0.180901,0.02297,0.03149,0.339918,9
EMT_A_EPITHELIAL,epithelial,ESRP1,0.176979,0.135636,0.017222,0.016528,0.236746,10
EMT_A_EPITHELIAL,epithelial,TJP1,0.15797,0.108342,0.013757,0.013134,0.182566,11
EMT_A_EPITHELIAL,epithelial,OCLN,0.090648,0.062097,0.007885,0.011224,0.227806,12
EMT_A_EPITHELIAL,epithelial,GRHL2,0.069762,0.045384,0.005763,0.005312,0.149232,13
EMT_A_EPITHELIAL,epithelial,OVOL2,0.032922,0.019201,0.002438,0.002968,0.117349,14
EMT_A_EPITHELIAL,epithelial,GRHL3,0.014128,0.008692,0.001104,0.001635,0.09389,15
EMT_A_HYBRID,hybrid,CD44,0.360732,0.435438,0.296547,0.289189,0.530093,1
