# cluster_composition | collection emt (epithelial-mesenchymal transition (EMT)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
cluster,n_cells,n_cohorts,cohort_dominance,top_cohort,arm,resolution,n_de_genes,n_genes_tested,signatures_hit,n_signatures_hit
4,5618,19,0.617123531505874,Patient16,harmony_leiden,1.0,524,200,,0.0
15,5364,19,0.17990305741983595,Patient56,harmony_leiden,1.0,42,42,,0.0
0,4418,19,0.3845631507469443,Patient17,harmony_leiden,1.0,454,200,,0.0
3,3917,18,0.18534592800612715,Patient26,harmony_leiden,1.0,521,200,,0.0
6,3884,19,0.17816683831101957,Patient53,harmony_leiden,1.0,112,112,,0.0
8,3366,19,0.41889483065953653,Patient16,harmony_leiden,1.0,675,200,,0.0
5,2814,19,0.30881307746979386,Patient16,harmony_leiden,1.0,702,200,,0.0
7,2780,19,0.39748201438848924,Patient56,harmony_leiden,1.0,107,107,,0.0
17,1902,19,0.3401682439537329,Patient43,harmony_leiden,1.0,113,113,,0.0
14,1008,18,0.6587301587301587,Patient26,harmony_leiden,1.0,327,200,,0.0
10,904,18,0.27101769911504425,Patient56,harmony_leiden,1.0,130,130,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_HYBRID; EMT_C_MESENCHYMAL,4.0
18,890,13,0.8651685393258427,Patient56,harmony_leiden,1.0,95,95,,0.0
2,821,15,0.7600487210718636,Patient43,harmony_leiden,1.0,290,200,,0.0
1,742,13,0.8881401617250674,Patient26,harmony_leiden,1.0,397,200,,0.0
9,551,7,0.6660617059891107,Patient16,harmony_leiden,1.0,547,200,,0.0
11,493,16,0.6450304259634888,Patient63,harmony_leiden,1.0,172,172,,0.0
12,485,11,0.6948453608247422,Patient43,harmony_leiden,1.0,161,161,,0.0
21,476,5,0.9810924369747899,Patient56,harmony_leiden,1.0,591,200,,0.0
13,420,16,0.2642857142857143,Patient26,harmony_leiden,1.0,264,200,,0.0
20,419,16,0.20047732696897375,Patient18,harmony_leiden,1.0,77,77,,0.0
19,388,7,0.6597938144329897,Patient19,harmony_leiden,1.0,218,200,,0.0
16,384,9,0.6588541666666666,Patient11,harmony_leiden,1.0,84,84,,0.0
22,52,1,1.0,Patient17,harmony_leiden,1.0,9,9,,0.0
5,3854,19,0.26569797612869744,Patient53,drvi_leiden,1.0,169,169,,0.0
7,3334,19,0.22975404919016196,Patient56,drvi_leiden,1.0,78,78,,0.0
9,3213,17,0.8658574540927482,Patient16,drvi_leiden,1.0,498,200,,0.0
0,3210,19,0.39003115264797505,Patient17,drvi_leiden,1.0,385,200,,0.0
14,3112,19,0.5424164524421594,Patient56,drvi_leiden,1.0,216,200,,0.0
15,2265,17,0.8520971302428256,Patient16,drvi_leiden,1.0,516,200,,0.0
2,2197,19,0.21165225307237143,Patient46,drvi_leiden,1.0,407,200,,0.0
25,2192,19,0.6674270072992701,Patient26,drvi_leiden,1.0,166,166,,0.0
12,2087,18,0.6919022520364159,Patient45,drvi_leiden,1.0,321,200,,0.0
8,1691,14,0.7924305144884684,Patient43,drvi_leiden,1.0,263,200,,0.0
3,1651,19,0.6238643246517263,Patient53,drvi_leiden,1.0,81,81,,0.0
11,1596,19,0.43107769423558895,Patient43,drvi_leiden,1.0,128,128,,0.0
23,1543,7,0.9928710304601426,Patient26,drvi_leiden,1.0,599,200,,0.0
20,1342,13,0.8897168405365127,Patient16,drvi_leiden,1.0,378,200,,0.0
26,1207,13,0.8135874067937034,Patient56,drvi_leiden,1.0,107,107,,0.0
10,1195,13,0.42343096234309624,Patient56,drvi_leiden,1.0,320,200,,0.0
19,836,12,0.5119617224880383,Patient47,drvi_leiden,1.0,493,200,,0.0
16,784,18,0.32908163265306123,Patient17,drvi_leiden,1.0,148,148,,0.0
6,714,13,0.5644257703081232,Patient53,drvi_leiden,1.0,668,200,,0.0
18,626,16,0.5654952076677316,Patient18,drvi_leiden,1.0,132,132,,0.0
32,614,4,0.993485342019544,Patient26,drvi_leiden,1.0,442,200,,0.0
13,574,7,0.9581881533101045,Patient47,drvi_leiden,1.0,329,200,,0.0
27,558,4,0.9910394265232975,Patient26,drvi_leiden,1.0,265,200,,0.0
17,422,15,0.24407582938388625,Patient26,drvi_leiden,1.0,246,200,,0.0
21,410,3,0.9951219512195122,Patient16,drvi_leiden,1.0,516,200,,0.0
24,358,15,0.5195530726256983,Patient56,drvi_leiden,1.0,169,169,,0.0
22,345,14,0.2492753623188406,Patient09,drvi_leiden,1.0,68,68,,0.0
1,33,5,0.8181818181818182,Patient63,drvi_leiden,1.0,66,66,,0.0
33,27,1,1.0,Patient26,drvi_leiden,1.0,108,108,,0.0
34,23,1,1.0,Patient26,drvi_leiden,1.0,139,139,,0.0
35,19,1,1.0,Patient26,drvi_leiden,1.0,62,62,,0.0
28,18,1,1.0,Patient26,drvi_leiden,1.0,33,33,,0.0
30,17,1,1.0,Patient26,drvi_leiden,1.0,90,90,,0.0
29,13,1,1.0,Patient26,drvi_leiden,1.0,56,56,,0.0
31,10,1,1.0,Patient26,drvi_leiden,1.0,33,33,,0.0
4,6,2,0.8333333333333334,Patient46,drvi_leiden,1.0,11,11,,0.0
22,4514,2,0.9997784669915818,Patient16,pca_leiden,1.0,462,200,,0.0
6,2911,6,0.9965647543799382,Patient56,pca_leiden,1.0,411,200,,0.0
7,2546,14,0.9870384917517675,Patient47,pca_leiden,1.0,295,200,,0.0
23,2314,12,0.9853068280034573,Patient63,pca_leiden,1.0,189,189,,0.0
30,2193,7,0.8071135430916553,Patient45,pca_leiden,1.0,300,200,,0.0
25,2094,2,0.9990448901623686,Patient17,pca_leiden,1.0,407,200,,0.0
14,2087,10,0.9918543363679924,Patient56,pca_leiden,1.0,199,199,,0.0
27,2041,4,0.9985301322880941,Patient53,pca_leiden,1.0,132,132,,0.0
21,1986,1,1.0,Patient16,pca_leiden,1.0,588,200,,0.0
9,1877,4,0.996803409696324,Patient26,pca_leiden,1.0,204,200,,0.0
12,1817,7,0.8343423225096313,Patient43,pca_leiden,1.0,242,200,,0.0
17,1760,9,0.9943181818181818,Patient53,pca_leiden,1.0,388,200,,0.0
28,1674,1,1.0,Patient26,pca_leiden,1.0,600,200,,0.0
8,1506,17,0.6049136786188579,Patient46,pca_leiden,1.0,80,80,,0.0
5,1281,18,0.5893832943013271,Patient43,pca_leiden,1.0,111,111,,0.0
18,1234,9,0.9837925445705025,Patient46,pca_leiden,1.0,524,200,,0.0
20,1120,4,0.9964285714285714,Patient16,pca_leiden,1.0,250,200,,0.0
19,1098,7,0.9936247723132969,Patient11,pca_leiden,1.0,127,127,,0.0
10,963,1,1.0,Patient26,pca_leiden,1.0,345,200,,0.0
