# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,EMT_A_MESENCHYMAL,0.2709,EMT_SCORE_A,0.3328,0.51970329792881,0.12186843,EMT_C_HYBRID,1.3577,0.04388337287003648,True,True,False,False,mesenchymal,hybrid,both_routes_different_family,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,EMT_A_EPITHELIAL,0.2142,EMT_A_EPITHELIAL,0.2142,0.48029670207119,-0.12186843,EMT_A_EPITHELIAL,0.9653,0.10831784223845832,True,False,False,False,epithelial,epithelial,cell_only_state_not_on_one_axis,False,depth
DR 2+,DR 2,+,EMT_A_EPITHELIAL,0.1512,EMT_A_EPITHELIAL,0.1512,0.5587341778568569,0.1372261,EMT_C_EPITHELIAL,0.1327,0.7367158270298778,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 2-,DR 2,-,EMT_A_MESENCHYMAL,0.0674,EMT_SCORE_A,0.1573,0.44126582214314314,-0.1372261,EMT_A_MESENCHYMAL,0.926,0.118576874816716,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 3+,DR 3,+,EMT_B_HYBRID,-0.0118,EMT_SCORE_B,0.1167,0.3798781516651857,-0.33655256,EMT_B_EPITHELIAL,0.0,1.0,False,False,False,False,hybrid,epithelial,neither,False,none
DR 3-,DR 3,-,EMT_B_EPITHELIAL,0.212,EMT_B_EPITHELIAL,0.212,0.6201218483348143,0.33655256,EMT_C_MESENCHYMAL,0.1788,0.6625215359025827,True,False,False,False,epithelial,mesenchymal,cell_only_state_not_on_one_axis,False,depth
DR 4+,DR 4,+,EMT_B_HYBRID,-0.1508,EMT_SCORE_B,0.0379,0.3130562356690374,-0.6493902,EMT_B_MESENCHYMAL,0.0,1.0,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 4-,DR 4,-,EMT_B_EPITHELIAL,0.2049,EMT_B_EPITHELIAL,0.2049,0.6869437643309626,0.6493902,EMT_B_EPITHELIAL,0.5081,0.31038448191595386,True,False,False,False,epithelial,epithelial,cell_only_state_not_on_one_axis,False,depth
DR 5+,DR 5,+,EMT_B_HYBRID,-0.0301,EMT_SCORE_B,0.1463,0.3371568142543095,-0.5094231,EMT_C_HYBRID,0.0,1.0,False,False,False,False,hybrid,hybrid,neither,False,none
DR 5-,DR 5,-,EMT_B_EPITHELIAL,0.2663,EMT_B_EPITHELIAL,0.2663,0.6628431857456905,0.5094231,EMT_A_EPITHELIAL,0.9653,0.10831784223845832,True,False,False,False,epithelial,epithelial,cell_only_state_not_on_one_axis,False,depth
DR 6+,DR 6,+,EMT_B_EPITHELIAL,0.1368,EMT_B_EPITHELIAL,0.1368,0.5692233019551785,0.19630997,EMT_B_EPITHELIAL,0.0,1.0,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 6-,DR 6,-,EMT_C_HYBRID,-0.006,EMT_SCORE_A,0.0827,0.43077669804482155,-0.19630997,EMT_A_MESENCHYMAL,0.4421,0.3613266545234518,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 7+,DR 7,+,EMT_A_HYBRID,0.1786,EMT_A_HYBRID,0.1786,0.5304368826929162,0.014224505,EMT_A_EPITHELIAL,0.2064,0.6217273892939604,False,False,False,False,hybrid,epithelial,neither,False,none
DR 7-,DR 7,-,EMT_A_EPITHELIAL,0.0669,EMT_A_EPITHELIAL,0.0669,0.4695631173070838,-0.014224505,EMT_C_EPITHELIAL,0.1327,0.7367158270298778,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 8+,DR 8,+,EMT_B_EPITHELIAL,0.211,EMT_B_EPITHELIAL,0.211,0.5902632672820638,0.35207513,EMT_B_EPITHELIAL,1.2693,0.05378980873168728,True,False,False,False,epithelial,epithelial,cell_only_state_not_on_one_axis,False,depth
DR 8-,DR 8,-,EMT_C_HYBRID,0.0114,EMT_SCORE_B,0.123,0.4097367327179362,-0.35207513,EMT_B_MESENCHYMAL,0.0,1.0,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 9+,DR 9,+,EMT_A_MESENCHYMAL,0.0225,EMT_SCORE_B,0.1119,0.4241758436726273,-0.2632789,EMT_B_HYBRID,0.05,0.8912509381337456,False,False,False,False,mesenchymal,hybrid,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,EMT_B_EPITHELIAL,0.1696,EMT_B_EPITHELIAL,0.1696,0.5758241563273727,0.2632789,EMT_B_EPITHELIAL,1.2693,0.05378980873168728,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 10+,DR 10,+,EMT_C_HYBRID,0.0184,EMT_C_HYBRID,0.0184,0.4312259591651899,-0.23600578,EMT_B_HYBRID,-0.05,1.0,False,False,False,False,hybrid,hybrid,neither,False,none
DR 10-,DR 10,-,EMT_C_MESENCHYMAL,0.1144,EMT_C_MESENCHYMAL,0.1144,0.5687740408348101,0.23600578,EMT_C_EPITHELIAL,0.6646,0.2164711378703004,False,False,False,False,mesenchymal,epithelial,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 11+,DR 11,+,EMT_C_HYBRID,0.0107,EMT_C_HYBRID,0.0107,0.4372780337708025,-0.26424843,EMT_C_EPITHELIAL,0.1327,0.7367158270298778,False,False,False,False,hybrid,epithelial,neither,False,none
DR 11-,DR 11,-,EMT_A_MESENCHYMAL,0.1063,EMT_A_MESENCHYMAL,0.1063,0.5627219662291976,0.26424843,EMT_B_HYBRID,1.9236,0.011923396878859665,False,True,False,False,mesenchymal,hybrid,factor_only_candidate_patient_or_technical,False,none
DR 12+,DR 12,+,EMT_A_MESENCHYMAL,-0.0223,EMT_SCORE_B,0.0705,0.4265426144503657,-0.29423526,EMT_B_MESENCHYMAL,0.2452,0.5685910246988553,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 12-,DR 12,-,EMT_B_EPITHELIAL,0.1387,EMT_B_EPITHELIAL,0.1387,0.5734573855496343,0.29423526,EMT_B_EPITHELIAL,2.4601,0.003466570205333389,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 13+,DR 13,+,EMT_A_EPITHELIAL,-0.0083,EMT_A_EPITHELIAL,-0.0083,0.3679187392928896,-0.6126954,EMT_B_HYBRID,0.05,0.8912509381337456,False,False,False,False,epithelial,hybrid,neither,False,depth
DR 13-,DR 13,-,EMT_A_MESENCHYMAL,0.2061,EMT_A_MESENCHYMAL,0.2061,0.6320812607071105,0.6126954,EMT_C_MESENCHYMAL,0.8257,0.1493825951666313,True,False,False,False,mesenchymal,mesenchymal,cell_only_state_not_on_one_axis,False,mesenchymal_may_be_ambient_or_doublet
DR 14+,DR 14,+,EMT_A_EPITHELIAL,0.26,EMT_A_EPITHELIAL,0.26,0.5526239647127917,0.1926584,EMT_B_EPITHELIAL,1.2693,0.05378980873168728,True,False,False,False,epithelial,epithelial,cell_only_state_not_on_one_axis,False,depth
DR 14-,DR 14,-,EMT_B_MESENCHYMAL,0.1647,EMT_SCORE_B,0.2903,0.44737603528720826,-0.1926584,EMT_B_MESENCHYMAL,0.5593,0.27586715750763946,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 15+,DR 15,+,EMT_A_MESENCHYMAL,0.1217,EMT_SCORE_A,0.1869,0.4831871059173856,-0.014327596,EMT_B_MESENCHYMAL,0.05,0.8912509381337456,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,EMT_B_EPITHELIAL,0.1539,EMT_B_EPITHELIAL,0.1539,0.5168128940826144,0.014327596,EMT_C_EPITHELIAL,0.6646,0.2164711378703004,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 16+,DR 16,+,EMT_A_MESENCHYMAL,0.1522,EMT_A_MESENCHYMAL,0.1522,0.5997226018064103,0.34001076,EMT_C_MESENCHYMAL,1.2992,0.05021113054699537,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,EMT_A_EPITHELIAL,0.0539,EMT_A_EPITHELIAL,0.0539,0.40027739819358965,-0.34001076,EMT_A_EPITHELIAL,0.2064,0.6217273892939604,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 17+,DR 17,+,EMT_A_MESENCHYMAL,0.2902,EMT_A_MESENCHYMAL,0.2902,0.5755090954164817,0.122131795,EMT_C_MESENCHYMAL,0.1788,0.6625215359025827,True,False,False,False,mesenchymal,mesenchymal,cell_only_state_not_on_one_axis,False,mesenchymal_may_be_ambient_or_doublet
