# dim_signature_spearman | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_B_HYBRID,EMT_B_MESENCHYMAL,EMT_A_EPITHELIAL,EMT_A_HYBRID,EMT_A_MESENCHYMAL,EMT_C_EPITHELIAL,EMT_C_HYBRID,EMT_C_MESENCHYMAL,EMT_SCORE_B,EMT_SCORE_A,EMT_SCORE_C
DR 38,-0.0661,0.0407,0.0307,-0.0759,0.0401,0.0468,-0.0538,0.0261,0.0367,0.077,0.0906,0.0735
DR 29,-0.0629,-0.0995,-0.0923,-0.0572,-0.1483,-0.1,-0.0367,-0.0588,-0.1229,-0.0226,-0.0267,-0.0628
DR 22,0.1015,-0.0078,0.084,0.0656,0.013,0.0812,0.0993,0.0467,0.0979,-0.0221,-0.0003,-0.0107
DR 4,-0.2049,-0.1508,-0.1574,-0.1814,-0.1549,-0.19,-0.1793,-0.1965,-0.1906,0.0379,0.0032,-0.0016
DR 24,0.0551,0.0159,0.0356,0.064,-0.0287,0.0311,0.0537,0.0169,0.0448,-0.0173,-0.0272,-0.011
DR 14,0.2538,-0.0388,-0.1647,0.26,-0.0075,-0.1461,0.2362,0.0731,-0.1406,-0.2903,-0.271,-0.2703
DR 21,0.0521,0.1698,0.1125,0.0482,0.2241,0.1307,0.0391,0.1383,0.1377,0.0424,0.0523,0.0701
DR 34,0.0475,0.0106,0.0006,0.058,0.0562,-0.0231,0.0468,0.0306,0.0018,-0.0371,-0.0572,-0.0359
DR 39,0.1043,-0.1195,-0.2136,0.1098,-0.129,-0.2018,0.1071,-0.1131,-0.2028,-0.2117,-0.1992,-0.2141
DR 11,-0.0606,-0.0614,-0.0818,-0.0482,-0.0852,-0.1063,-0.0664,0.0107,-0.1011,-0.019,-0.0387,-0.0297
DR 32,-0.0038,-0.1585,-0.1575,-0.0019,-0.2483,-0.1267,0.0017,-0.1521,-0.1638,-0.1074,-0.0818,-0.1193
DR 19,0.1114,-0.1361,-0.1733,0.1138,-0.1423,-0.1753,0.1021,-0.1541,-0.1746,-0.196,-0.1906,-0.1957
DR 48,-0.0222,0.05,0.0705,-0.0103,0.0324,0.0403,-0.0228,0.0235,0.0476,0.0623,0.0318,0.0498
DR 64,0.1301,0.0497,0.0902,0.1153,0.1176,0.1015,0.1,0.0588,0.0972,-0.0401,-0.0201,-0.0145
DR 62,0.2553,0.0439,0.1229,0.2069,0.0612,0.1249,0.2146,0.0715,0.1714,-0.1075,-0.0715,-0.0455
DR 30,0.0338,0.0611,0.0261,-0.0007,0.0991,0.0441,0.0302,0.0228,0.08,-0.0023,0.0332,0.0391
DR 55,-0.0077,-0.0222,0.0125,-0.0022,-0.0292,-0.0128,-0.0105,-0.0305,0.0256,0.011,-0.0103,0.0199
DR 44,-0.0904,-0.0122,-0.0389,-0.0753,-0.0559,-0.0562,-0.0647,0.0038,-0.0408,0.0364,0.0122,0.018
DR 37,0.1718,0.046,0.0672,0.139,0.0429,0.0738,0.1608,0.0812,0.0862,-0.079,-0.05,-0.0609
DR 9,-0.1696,-0.0089,-0.0017,-0.1473,-0.0455,0.0225,-0.1648,-0.0092,-0.0536,0.1119,0.1091,0.0742
DR 7,-0.051,0.1086,0.0933,-0.0669,0.1786,0.1119,-0.061,0.0172,0.1176,0.1051,0.1224,0.1322
DR 31,-0.0777,-0.0193,-0.0743,-0.0651,-0.0417,-0.0828,-0.0636,-0.04,-0.0876,0.0053,-0.0061,-0.0141
DR 51,-0.1409,-0.017,-0.0536,-0.1119,-0.0197,-0.0635,-0.1362,-0.0586,-0.0951,0.0664,0.0365,0.0348
DR 57,-0.1657,-0.0533,-0.0022,-0.1502,-0.0897,-0.0395,-0.1189,-0.02,-0.0313,0.1201,0.0822,0.0672
DR 33,-0.1813,0.0019,-0.0165,-0.1702,0.0205,0.0314,-0.1512,-0.0055,-0.0553,0.1198,0.1398,0.0745
DR 16,0.0101,-0.003,0.1359,-0.0539,0.097,0.1522,-0.0028,-0.0343,0.1512,0.0893,0.14,0.1142
DR 17,-0.1061,0.1051,0.2844,-0.1099,0.0766,0.2902,-0.0916,0.0821,0.2625,0.2568,0.2515,0.2414
DR 8,0.211,0.0507,0.0412,0.1828,0.0445,0.0259,0.1485,-0.0114,0.0969,-0.123,-0.1104,-0.0423
DR 35,0.0448,-0.0581,-0.0375,0.0429,-0.0368,-0.0737,0.037,-0.0702,-0.0272,-0.0625,-0.0792,-0.0517
DR 27,0.1455,-0.0902,-0.1771,0.1366,-0.0501,-0.1535,0.1453,-0.0789,-0.1509,-0.2127,-0.1838,-0.2021
DR 43,0.0995,0.0182,-0.0205,0.0967,0.0517,0.0108,0.0917,0.0566,0.0092,-0.0867,-0.0616,-0.0637
DR 49,-0.1037,0.0949,0.2132,-0.1183,0.0901,0.1949,-0.0953,0.0559,0.2009,0.2116,0.202,0.204
DR 45,0.058,-0.0077,-0.0423,0.0715,-0.0164,-0.0516,0.049,0.0122,-0.0599,-0.074,-0.0865,-0.0821
