# programme_cluster_eta2 | collection emt (epithelial-mesenchymal transition (EMT)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,resolution,signature,n_clusters,eta2_cluster
harmony_leiden,0.2,EMT_A_MESENCHYMAL,6,0.016259003431382455
harmony_leiden,0.2,EMT_B_MESENCHYMAL,6,0.0036118082641506282
harmony_leiden,0.2,EMT_C_HYBRID,6,0.01438355214015306
harmony_leiden,0.2,EMT_C_MESENCHYMAL,6,0.012062141406539278
harmony_leiden,0.4,EMT_A_MESENCHYMAL,11,0.048285862977739284
harmony_leiden,0.4,EMT_B_MESENCHYMAL,11,0.02918622094083854
harmony_leiden,0.4,EMT_C_HYBRID,11,0.022513298071762104
harmony_leiden,0.4,EMT_C_MESENCHYMAL,11,0.04178372279002611
harmony_leiden,0.6,EMT_A_MESENCHYMAL,14,0.07933319859255371
harmony_leiden,0.6,EMT_B_MESENCHYMAL,14,0.06238554980897212
harmony_leiden,0.6,EMT_C_HYBRID,14,0.030613321383365272
harmony_leiden,0.6,EMT_C_MESENCHYMAL,14,0.06742310788509326
harmony_leiden,0.8,EMT_A_MESENCHYMAL,22,0.09796180445647008
harmony_leiden,0.8,EMT_B_MESENCHYMAL,22,0.08103057215603267
harmony_leiden,0.8,EMT_C_HYBRID,22,0.0364417606508906
harmony_leiden,0.8,EMT_C_MESENCHYMAL,22,0.08930174531364315
harmony_leiden,1.0,EMT_A_MESENCHYMAL,23,0.10693239196928132
harmony_leiden,1.0,EMT_B_MESENCHYMAL,23,0.08943288952209848
harmony_leiden,1.0,EMT_C_HYBRID,23,0.03561661452732409
