# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_A_EPITHELIAL,epithelial,CD24,0.743705,1.568074,0.196124,0.154791,0.546289,1
EMT_A_EPITHELIAL,epithelial,CLDN4,0.546418,0.893349,0.111734,0.146458,0.629474,2
EMT_A_EPITHELIAL,epithelial,KRT8,0.640156,1.109089,0.138717,0.146432,0.602997,3
EMT_A_EPITHELIAL,epithelial,KRT18,0.639348,1.116941,0.139699,0.14095,0.57095,4
EMT_A_EPITHELIAL,epithelial,LMNA,0.632388,1.021995,0.127824,0.098265,0.400276,5
EMT_A_EPITHELIAL,epithelial,CLDN3,0.406167,0.528957,0.066158,0.093264,0.502284,6
EMT_A_EPITHELIAL,epithelial,EPCAM,0.538555,0.720786,0.090151,0.078063,0.39155,7
EMT_A_EPITHELIAL,epithelial,DSP,0.406523,0.482498,0.060348,0.062565,0.413614,8
EMT_A_EPITHELIAL,epithelial,CDH1,0.193225,0.157118,0.019651,0.028697,0.34298,9
EMT_A_EPITHELIAL,epithelial,ESRP1,0.194793,0.154652,0.019343,0.018167,0.260759,10
EMT_A_EPITHELIAL,epithelial,TJP1,0.161179,0.108522,0.013573,0.012312,0.176008,11
EMT_A_EPITHELIAL,epithelial,OCLN,0.083357,0.058271,0.007288,0.010449,0.223597,12
EMT_A_EPITHELIAL,epithelial,GRHL2,0.070767,0.048502,0.006066,0.005147,0.149662,13
EMT_A_EPITHELIAL,epithelial,OVOL2,0.032117,0.018586,0.002325,0.002942,0.121158,14
EMT_A_EPITHELIAL,epithelial,GRHL3,0.011735,0.007972,0.000997,0.001498,0.088209,15
EMT_A_HYBRID,hybrid,CD44,0.378635,0.47481,0.301731,0.301478,0.514896,1
EMT_A_HYBRID,hybrid,CDH3,0.207953,0.198714,0.126278,0.153381,0.410531,2
EMT_A_HYBRID,hybrid,ITGB4,0.200257,0.178399,0.113369,0.117078,0.362674,3
EMT_A_HYBRID,hybrid,TNC,0.133861,0.119418,0.075887,0.109534,0.36799,4
EMT_A_HYBRID,hybrid,NFE2L2,0.304399,0.254377,0.161651,0.109318,0.30548,5
EMT_A_HYBRID,hybrid,LAMC2,0.117351,0.104104,0.066156,0.105995,0.347519,6
EMT_A_HYBRID,hybrid,ITGAV,0.136996,0.096921,0.061591,0.053571,0.239776,7
EMT_A_HYBRID,hybrid,BMI1,0.122957,0.085858,0.054561,0.022022,0.084797,8
EMT_A_HYBRID,hybrid,VCAM1,0.022734,0.022569,0.014342,0.015208,0.13264,9
EMT_A_HYBRID,hybrid,ALDH1A1,0.021665,0.017333,0.011015,0.00609,0.073837,10
EMT_A_HYBRID,hybrid,PDPN,0.009478,0.010045,0.006383,0.003507,0.05813,11
EMT_A_HYBRID,hybrid,HOTAIR,0.020073,0.01107,0.007035,0.002817,0.025699,12
EMT_A_MESENCHYMAL,mesenchymal,VIM,0.658495,1.493109,0.485873,0.412655,0.696427,1
EMT_A_MESENCHYMAL,mesenchymal,S100A4,0.290503,0.404701,0.131694,0.145304,0.382216,2
EMT_A_MESENCHYMAL,mesenchymal,FN1,0.280312,0.457583,0.148902,0.142776,0.328631,3
EMT_A_MESENCHYMAL,mesenchymal,SPARC,0.202395,0.289503,0.094207,0.130178,0.386053,4
EMT_A_MESENCHYMAL,mesenchymal,ACTA2,0.08445,0.105087,0.034196,0.046385,0.198829,5
EMT_A_MESENCHYMAL,mesenchymal,MMP14,0.16251,0.124679,0.040572,0.0417,0.210217,6
EMT_A_MESENCHYMAL,mesenchymal,MMP2,0.051691,0.047461,0.015444,0.024738,0.187659,7
EMT_A_MESENCHYMAL,mesenchymal,CDH11,0.045634,0.028907,0.009407,0.012108,0.157305,8
EMT_A_MESENCHYMAL,mesenchymal,ZEB2,0.030454,0.019239,0.006261,0.009767,0.165212,9
EMT_A_MESENCHYMAL,mesenchymal,ZEB1,0.025774,0.014908,0.004851,0.008339,0.162268,10
EMT_A_MESENCHYMAL,mesenchymal,SNAI1,0.047202,0.031721,0.010322,0.007049,0.061901,11
EMT_A_MESENCHYMAL,mesenchymal,SNAI2,0.016819,0.013408,0.004363,0.004361,0.058852,12
EMT_A_MESENCHYMAL,mesenchymal,MMP9,0.010951,0.010217,0.003325,0.003544,0.034913,13
EMT_A_MESENCHYMAL,mesenchymal,GSC,0.026036,0.012258,0.003989,0.003448,0.073223,14
EMT_A_MESENCHYMAL,mesenchymal,MMP3,0.004751,0.005246,0.001707,0.002897,0.064937,15
