# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 29,0.0,-0.194,0.2655,0.6984,-0.4893,-0.2157,-0.1282,-0.4397,0.3482,-0.3996,8.0877,10.8518,-2.6766,3.0633,1.8595,4.2241,5.1347,0.7864,-0.0837,0.0,0.0458,3.6671,0.9765,1.0351,1.015,5.0918,0.2669,0.4713,-0.3103,0.0113,-1.0343,-0.0,0.4248,-1.214,0.4893,0.0075,0.105,0.0,0.142,0.0837
DR 3,0.1574,1.6489,0.0,-0.6984,0.2636,-0.4893,0.5872,0.4397,-0.712,-0.3996,0.1381,-0.4429,2.6766,-0.3103,-0.5452,0.2811,-3.0633,-1.5057,0.4893,1.0724,-0.2432,1.9536,0.6277,-3.309,0.5263,0.0776,1.5338,0.4713,1.1077,0.0113,-1.4679,0.2846,0.6548,0.4429,0.0,-0.7053,-0.105,0.0,-0.142,0.0
DR 5,0.0233,0.194,-0.2655,-0.0149,1.5057,0.4893,0.1282,0.4397,0.105,0.0543,-5.7011,-2.1738,9.1886,-5.1347,-0.5452,0.7505,-1.1093,3.6671,0.0837,0.0,0.0458,-1.1093,-0.3624,1.0351,0.5263,-5.0918,-0.583,-0.4713,0.3103,0.0,1.9696,0.2846,2.3404,-0.7785,-0.034,0.1595,-0.0,0.0,-0.0,-0.0837
DR 49,-0.0,0.0,0.2655,2.26,-0.4893,-0.4893,0.5872,0.0,-2.6051,-0.0543,-0.4686,7.8761,16.5018,-1.5057,1.8595,-1.8595,-1.5057,5.9475,0.0837,0.2655,-0.0458,1.5057,6.4467,2.7372,0.5263,0.2224,0.583,0.1574,-1.1077,0.0113,1.0343,-0.0,3.5772,-0.7785,-0.2157,1.6489,-0.2846,-0.0,-1.0373,1.1093
DR 44,0.0,-0.194,0.0,0.0,-0.4893,-0.8367,-0.5872,0.0,2.6051,-0.9398,0.9509,0.0078,-5.5163,0.5263,0.105,-0.025,1.9536,-1.9536,-0.4893,0.2655,1.4259,-0.5263,-0.0,3.9194,0.194,-0.6548,-1.015,-0.1574,1.6711,-0.0113,3.266,0.9032,-0.0,-0.7785,0.2157,0.7053,0.105,0.0,-0.0,0.4893
DR 55,0.0,0.194,0.0,0.4725,1.9845,0.4893,0.5872,0.0,-0.712,0.3996,0.1381,0.105,7.2506,0.3103,-0.105,0.7505,3.0633,1.9536,0.0837,0.2655,-0.9207,1.1093,-0.1719,0.7505,1.015,0.6548,0.2669,0.1574,0.6411,-0.2655,1.9696,0.2846,0.2224,-0.1931,-0.2157,-0.3996,0.105,0.0,-0.3502,0.0
DR 36,0.3299,-0.194,0.0,-0.0,-1.5057,-0.4893,-0.5872,0.0,-1.21,-0.3996,-0.2669,-0.105,-5.5163,-0.7864,-0.0,-0.4893,-1.5057,-4.3805,-0.4893,0.0,-0.2432,-1.1093,-0.0,-3.309,-1.015,-0.9941,-1.015,-0.1574,-0.6411,0.0,-2.5762,-0.105,-0.0776,-0.4429,0.0,-0.3996,-0.105,12.4663,0.0,0.0
DR 19,0.0233,0.194,0.0,-0.0,-1.5057,0.4893,0.5872,0.4397,-0.3482,0.0543,-4.3109,-0.9633,3.9736,-1.1093,-0.9032,1.8595,-2.4806,3.0633,-0.4893,-0.2655,-0.2432,-4.3805,-0.1719,1.0351,0.5263,-7.7498,-3.9365,-1.4801,-0.3103,-0.2655,2.5762,0.105,0.6548,0.4429,0.034,0.3996,0.105,-0.0,0.3502,0.0
DR 60,-0.0233,-1.6489,0.0,0.2655,-0.7549,0.4893,-0.5872,0.0,1.21,0.3996,-0.6598,-0.105,-3.9736,0.5263,-0.0,2.3744,1.9536,3.6671,0.0837,0.0,0.5263,0.5263,-0.0,0.7505,0.5263,0.6548,-0.583,0.1574,1.6711,0.0113,-1.0343,0.2846,-0.0,-0.0,-0.0,0.7053,0.5452,-0.0,-0.0,0.0
DR 61,0.583,2.4806,0.0,-0.1237,-0.4893,0.4893,0.5872,0.0,-0.3482,0.9398,-0.6598,-0.105,4.7112,-0.5263,-0.5452,-0.025,-3.0633,1.9536,0.4893,0.2655,-0.5263,-0.5263,-0.0,-0.7505,0.5263,-2.9397,-0.583,0.1574,0.6411,0.0113,-1.9696,0.2846,-0.2224,0.1931,0.4893,-0.7053,-0.0,-0.0,-0.142,0.0
DR 39,0.3299,1.015,0.0,-0.6984,0.4893,0.2157,0.1282,0.0,2.6051,0.3996,0.2669,-3.9328,-8.1595,0.7864,-0.5452,2.3744,1.1093,-8.6184,0.0837,0.0,-0.2432,-1.9536,-0.9765,-0.3103,-0.194,-1.3677,-1.015,-0.8913,-0.6411,0.0113,0.6612,-0.105,-3.5772,-0.7785,0.2157,0.1595,0.105,-0.0,0.142,0.0
