# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,hallmark,gs_ind_0,Cholesterol Homeostasis,6/17,0.004470933080813283,0.09028777276618398,5.200290600201185,28.13439456903835,+,DR 1,0.04840709501030923,True
DR 1+,hallmark,gs_ind_0,Glycolysis,12/45,0.0010525899827390427,0.04631395924051788,3.4987529197513756,23.989204648608986,+,DR 1,0.016702254271561672,True
DR 1-,hallmark,gs_ind_0,Adipogenesis,11/28,3.555643475984438e-05,0.00026667326069883284,6.184771956275914,63.35921234569386,-,DR 1,0.0010666930427953314,True
DR 1-,hallmark,gs_ind_0,Angiogenesis,8/20,0.0003802866440654024,0.0022817198643924146,6.317818181818182,49.7501979495992,-,DR 1,0.007767556985165665,True
DR 1-,hallmark,gs_ind_0,Coagulation,22/52,6.082224743007407e-10,9.12333711451111e-09,7.3171235707397715,155.27287723833066,-,DR 1,7.006722903944532e-08,True
DR 1-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,50/118,6.246982124610963e-22,1.874094637383289e-20,8.486674588355118,414.3599650436388,-,DR 1,3.7876438987114893e-19,True
DR 1-,hallmark,gs_ind_0,KRAS Signaling Up,18/82,0.0008251494743734262,0.0035363548901718267,2.7291281724540726,19.376662670557923,-,DR 1,0.01406171885322762,True
DR 1-,hallmark,gs_ind_0,Myogenesis,18/57,4.323727728373058e-06,4.323727728373058e-05,4.520582625281776,55.83549091084182,-,DR 1,0.00019687487522078117,True
DR 1-,hallmark,gs_ind_0,UV Response Dn,11/37,0.0006269497186846939,0.0031347485934234694,4.0636730223527655,29.968142742013214,-,DR 1,0.01112859901270828,True
DR 2+,hallmark,gs_ind_0,Androgen Response,8/24,0.001558462058549197,0.013091081291813255,4.775521448248721,30.86923713422284,+,DR 2,0.022444772420943074,True
DR 2+,hallmark,gs_ind_0,Apoptosis,14/59,0.0014313524065034998,0.013091081291813255,2.9997053884453346,19.645477177473634,+,DR 2,0.02152634428579676,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Early,29/51,3.271331930782848e-17,1.3739594109287962e-15,13.596566245545837,516.1086502799984,+,DR 2,1.0468262178505114e-14,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Late,32/70,2.966755028316821e-15,6.230185559465324e-14,8.829820031600446,295.36902612801157,+,DR 2,8.137385220526138e-13,True
DR 2+,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,21/96,0.0003154623364513875,0.004416472710319425,2.7374236750355108,22.067662283952863,+,DR 2,0.00661953755176682,True
DR 2-,hallmark,gs_ind_0,Apoptosis,14/59,0.0014313524065034998,0.011435728448326854,2.9997053884453346,19.645477177473634,-,DR 2,0.02152634428579676,True
DR 2-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,28/118,5.4946698457992195e-06,0.00023627080336936643,3.1226999759788616,37.82130539587073,-,DR 2,0.00023618879337166795,True
DR 2-,hallmark,gs_ind_0,Glycolysis,12/45,0.0010525899827390427,0.011315342314444709,3.4987529197513756,23.989204648608986,-,DR 2,0.016702254271561672,True
DR 2-,hallmark,gs_ind_0,Hypoxia,18/71,0.00012006267412229651,0.002581347493629375,3.3110997311483805,29.890941787618623,-,DR 2,0.003046524242045938,True
DR 2-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,20/96,0.0008643130232696487,0.011315342314444709,2.5602266760813284,18.058752308732448,-,DR 2,0.01452672224857061,True
DR 2-,hallmark,gs_ind_0,p53 Pathway,12/47,0.0015956830393014216,0.011435728448326854,3.2979041356894685,21.23999789238365,-,DR 2,0.022444772420943074,True
DR 3+,hallmark,gs_ind_0,E2F Targets,14/59,0.0014313524065034998,0.06011680107314699,2.9997053884453346,19.645477177473634,+,DR 3,0.02152634428579676,True
DR 3-,hallmark,gs_ind_0,Androgen Response,8/24,0.001558462058549197,0.021298981466839027,4.775521448248721,30.86923713422284,-,DR 3,0.022444772420943074,True
DR 3-,hallmark,gs_ind_0,Estrogen Response Early,19/51,1.1830070485966374e-07,4.850328899246213e-06,5.846280991735537,93.24839291418112,-,DR 3,7.87759606926778e-06,True
DR 3-,hallmark,gs_ind_0,Estrogen Response Late,15/70,0.002906951568010528,0.027590383492729815,2.6279352128408733,15.348850636602599,-,DR 3,0.03547466320284034,True
DR 3-,hallmark,gs_ind_0,Hypoxia,15/71,0.0033646809137475382,0.027590383492729815,2.5799441833838226,14.691291291807074,-,DR 3,0.03971426652292176,True
DR 3-,hallmark,gs_ind_0,Oxidative Phosphorylation,6/7,5.993307877988765e-06,0.00012286281149876966,40.0916880891174,482.09721967805126,-,DR 3,0.0002538342160089359,True
DR 4+,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,21/96,0.0003154623364513875,0.014826729813215212,2.7374236750355108,22.067662283952863,+,DR 4,0.00661953755176682,True
DR 4-,hallmark,gs_ind_0,Cholesterol Homeostasis,6/17,0.004470933080813283,0.028103007936540636,5.200290600201185,28.13439456903835,-,DR 4,0.04840709501030923,True
DR 4-,hallmark,gs_ind_0,Complement,14/66,0.004409050499134496,0.028103007936540636,2.589378271415805,14.04503611479543,-,DR 4,0.04840709501030923,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Late,19/70,2.7231470658490233e-05,0.00039939490299119014,3.6497632993661235,38.36316294767371,-,DR 4,0.0008643155718280579,True
DR 4-,hallmark,gs_ind_0,Interferon Alpha Response,10/35,0.001562793682829515,0.013752584408899732,3.837733518604292,24.796671738647785,-,DR 4,0.022444772420943074,True
DR 4-,hallmark,gs_ind_0,Interferon Gamma Response,21/82,2.666101200010712e-05,0.00039939490299119014,3.387843377041013,35.68181086639514,-,DR 4,0.0008643155718280579,True
DR 4-,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,6/10,0.0001385765478863414,0.0015243420267497553,13.3416166809483,118.52809255586541,-,DR 4,0.0033067078553703495,True
DR 4-,hallmark,gs_ind_0,mTORC1 Signaling,16/48,6.922947516910567e-06,0.00030460969074406493,4.866416510318949,57.81628346997419,-,DR 4,0.00028181044309120046,True
