# factor_first_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP14_EMT_3,10/32,0.00071884446712456,0.00646960020412104,4.356780402449694,31.53379074881248,+,DR 1,0.011762909462038255,True
DR 1+,lab,gs_ind_0,MP20_MYC,4/5,0.00044837002986319467,0.005380440358358336,27.47328244274809,211.81603246804076,+,DR 1,0.00797102275312346,True
DR 1+,lab,gs_ind_0,MP21_RESPIRATION,4/5,0.00044837002986319467,0.005380440358358336,27.47328244274809,211.81603246804076,+,DR 1,0.00797102275312346,True
DR 1+,lab,gs_ind_0,MP8_PROTEASOMAL_DEGRADATION,6/9,6.044897603128107e-05,0.0021761631371261187,17.163055453543887,166.71695918221195,+,DR 1,0.0015406464687618537,True
DR 1+,hallmark,gs_ind_0,Glycolysis,12/46,0.0013008231383289865,0.01832425641773624,3.395417675777496,22.561728871625487,+,DR 1,0.018746444672607297,True
DR 1+,hallmark,gs_ind_0,Oxidative Phosphorylation,8/11,1.1101597910414389e-06,5.106735038790619e-05,22.67717996289425,310.92696407503706,+,DR 1,4.600374385898336e-05,True
DR 1+,hallmark,gs_ind_0,Unfolded Protein Response,7/19,0.0015934136015422816,0.01832425641773624,5.545736434108528,35.72495001353711,+,DR 1,0.02142455549271839,True
DR 1+,hallmark,gs_ind_0,mTORC1 Signaling,13/49,0.0006860119522520405,0.01577827490179693,3.4806575342465753,25.35525184951136,+,DR 1,0.011387403011445975,True
DR 1-,lab,gs_ind_0,MP12_EMT_1,40/46,1.2817880258448432e-35,3.332648867196592e-34,69.66427030913012,5596.982288507399,-,DR 1,6.71190820806027e-33,True
DR 1-,lab,gs_ind_0,MP15_EMT_4,14/34,1.4677909119503548e-06,1.908128185535461e-05,6.752697312495913,90.70055609485308,-,DR 1,5.871163647801419e-05,True
DR 1-,hallmark,gs_ind_0,Adipogenesis,9/29,0.0014111478308291778,0.006854146606884578,4.308667133668726,28.27929836550699,-,DR 1,0.019728668702854526,True
DR 1-,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.001072768595843787,7.529622758194186,65.91759385206704,-,DR 1,0.003577551593365107,True
DR 1-,hallmark,gs_ind_0,Apical Junction,10/37,0.0024789433908547903,0.010535509411132859,3.5546170365068,21.32742802180424,-,DR 1,0.030706911680265788,True
DR 1-,hallmark,gs_ind_0,Coagulation,23/48,9.929381068033405e-12,1.687994781565679e-10,9.218282242474455,233.55000149186054,-,DR 1,1.0213077669977216e-09,True
DR 1-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,51/112,3.519174808635929e-24,1.1965194349362159e-22,9.743508170867662,526.186619522161,-,DR 1,1.0668656261969973e-21,True
