# coverage | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,provenance,n_genes,n_mapped,mapped_fraction,n_in_hvg_background,hvg_fraction_of_mapped
MP1_CELL_CYCLE_G2_M,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP1 (Cell Cycle - G2/M), the published gene list, taken from the authors' MP_list.RDS rather than from GAVISH.csv, which does not carry it - see the note above",50,50,1.0,45,0.9
MP2_CELL_CYCLE_G1_S,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP2 (Cell Cycle - G1/S), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,33,0.673469387755102
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP3 (Cell Cycle - HMG-rich), the published gene list as exported to datasets/GAVISH.csv",50,46,0.92,11,0.2391304347826087
MP4_CHROMATIN,chromatin,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP4 (Chromatin), the published gene list as exported to datasets/GAVISH.csv",50,45,0.9,3,0.06666666666666667
MP5_STRESS,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP5 (Stress), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,37,0.7551020408163265
MP6_HYPOXIA,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP6 (Hypoxia), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,30,0.6122448979591837
MP7_STRESS_IN_VITRO,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP7 (Stress (in vitro)), the published gene list as exported to datasets/GAVISH.csv; derived from cultured cells, so a high score on fresh tissue is a dissociation readout before it is a biological one",50,44,0.88,17,0.38636363636363635
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP8 (Proteasomal degradation), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,5,0.1
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP9 (Unfolded protein response), the published gene list as exported to datasets/GAVISH.csv",48,47,0.9791666666666666,2,0.0425531914893617
MP10_PROTEIN_MATURATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP10 (Protein maturation), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,14,0.2857142857142857
