# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 22,-0.0,0.2043,-0.466,0.0,-0.1417,1.199,-0.8562,1.1481,0.2562,3.3778,10.1208,10.0018,2.6638,2.5667,2.2563,4.6872,-0.0,0.3143,0.1162,4.6872,0.1602,1.1269
DR 30,-0.0,0.4112,0.1417,0.0,1.5571,-0.5199,0.4912,-1.1481,-0.2562,-5.5277,-1.6964,0.0987,-4.0403,-1.5571,-4.073,-9.0851,-3.1707,0.3143,0.5844,-1.6268,0.6647,-7.1786
DR 64,-0.0,-0.0,0.466,0.0,-0.0,0.1148,0.1919,0.4912,0.0,-0.072,0.4643,0.0987,6.5344,0.5248,5.5269,8.092,5.2889,2.503,1.4421,1.6268,0.1602,0.5248
DR 41,-5.4448,-4.4361,-4.3792,0.0,-0.0467,-1.6436,-0.4912,-0.4912,-0.2562,1.7396,-1.3167,-0.0088,2.6638,-0.3081,0.2341,1.2026,0.3081,1.5419,0.5844,0.8508,0.0,0.5248
DR 37,-0.0,-0.0,0.9207,0.0,-0.5248,0.8148,0.4912,0.075,-0.2562,0.072,0.2652,0.0987,4.0403,0.5248,1.7652,1.6268,0.3081,0.8133,0.5844,1.6268,-0.0,0.0485
DR 2,0.0,0.0,-1.5419,-0.1602,-0.1417,-0.2747,-1.9889,-1.1481,-0.2562,-1.1411,19.1856,0.6601,-3.3156,2.5667,-0.0,0.8508,-1.1481,-3.7421,-0.5844,0.3288,0.0,-0.5248
DR 7,32.8901,31.2805,7.1786,0.1602,-0.3081,-1.199,-1.9889,-0.075,-1.1075,-0.6426,-0.2652,0.0,-2.6638,-0.808,-1.3582,-2.6682,-1.5571,2.503,0.1162,-1.2026,-0.3987,-0.3288
DR 26,0.3081,0.6601,3.2743,0.0,-1.5571,1.6436,0.4912,-0.4912,-0.2562,-2.503,-0.2652,-0.4374,-2.6638,-1.5571,-26.0999,-12.3854,-2.5667,1.5419,1.4421,-1.2026,-0.1602,-8.0675
DR 11,-0.0,-0.0,0.1417,0.0,-0.0,-1.199,0.1919,-1.1481,-0.2562,-4.3851,-3.2113,-8.0675,-11.9403,-2.0417,-4.073,-10.1254,-4.5164,0.3143,0.5844,-1.6268,-0.6647,-6.3674
DR 39,-0.0,-0.0,-0.466,0.0,1.5571,-0.8148,-0.4912,0.075,0.2562,0.072,0.1266,0.0088,-1.5657,-0.1417,-0.0088,-0.5379,-0.5248,-1.5419,-0.5844,-2.1333,-0.0,-0.8072
