# factor_first_significant | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP14_EMT_3,17/35,4.663772224429638e-09,1.119305333863113e-07,9.188820973562118,176.2732070830098,+,DR 1,3.7677163150802055e-07,True
DR 1+,lab,gs_ind_0,MP19_EPITHELIAL_SENESCENCE,15/37,7.698806119523678e-07,9.238567343428415e-06,6.604791853848457,92.97585560353329,+,DR 1,3.683467626894436e-05,True
DR 1+,lab,gs_ind_0,MP23_SECRETED_2,11/45,0.003620292729714398,0.028962341837715185,3.1072999120492524,17.466755483212417,+,DR 1,0.04004669488671729,True
DR 1+,hallmark,gs_ind_0,Cholesterol Homeostasis,6/17,0.004470933080813283,0.09028777276618398,5.200290600201185,28.13439456903835,+,DR 1,0.04677867987738399,True
DR 1+,hallmark,gs_ind_0,Glycolysis,12/45,0.0010525899827390427,0.04631395924051788,3.4987529197513756,23.989204648608986,+,DR 1,0.015911544278950928,True
DR 1-,lab,gs_ind_0,MP12_EMT_1,35/47,1.0706927678659957e-26,1.6060391517989935e-25,30.690876132930512,1835.2808332666116,-,DR 1,8.793956600072712e-24,True
DR 1-,lab,gs_ind_0,MP13_EMT_2,10/40,0.004613401681204881,0.017300256304518306,3.1995611204337164,17.209766726361703,-,DR 1,0.04778614077912565,True
DR 1-,lab,gs_ind_0,MP15_EMT_4,10/37,0.0024789433908547903,0.017300256304518306,3.5546170365068,21.32742802180424,-,DR 1,0.029795690317396113,True
DR 1-,lab,gs_ind_0,MP25_ASTROCYTES,9/33,0.003807834545464743,0.017300256304518306,3.5971119518303403,20.038412169513247,-,DR 1,0.04124177723087968,True
DR 1-,hallmark,gs_ind_0,Adipogenesis,11/28,3.555643475984438e-05,0.00026667326069883284,6.184771956275914,63.35921234569386,-,DR 1,0.0009761677464986804,True
DR 1-,hallmark,gs_ind_0,Angiogenesis,8/20,0.0003802866440654024,0.0022817198643924146,6.317818181818182,49.7501979495992,-,DR 1,0.0072778741046769044,True
DR 1-,hallmark,gs_ind_0,Coagulation,22/52,6.082224743007407e-10,9.12333711451111e-09,7.3171235707397715,155.27287723833066,-,DR 1,6.310148112324315e-08,True
DR 1-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,50/118,6.246982124610963e-22,1.874094637383289e-20,8.486674588355118,414.3599650436388,-,DR 1,3.2405397800087184e-19,True
DR 1-,hallmark,gs_ind_0,KRAS Signaling Up,18/82,0.0008251494743734262,0.0035363548901718267,2.7291281724540726,19.376662670557923,-,DR 1,0.01342025283733414,True
DR 1-,hallmark,gs_ind_0,Myogenesis,18/57,4.323727728373058e-06,4.323727728373058e-05,4.520582625281776,55.83549091084182,-,DR 1,0.00017609363839192092,True
DR 1-,hallmark,gs_ind_0,UV Response Dn,11/37,0.0006269497186846939,0.0031347485934234694,4.0636730223527655,29.968142742013214,-,DR 1,0.010508871475095822,True
DR 2+,lab,gs_ind_0,MP5_STRESS,14/39,1.0070000412475013e-05,0.00020140000824950025,5.413394312148452,62.286243258797576,+,DR 2,0.0003434253427866911,True
DR 2+,hallmark,gs_ind_0,Androgen Response,8/24,0.001558462058549197,0.013091081291813255,4.775521448248721,30.86923713422284,+,DR 2,0.02148504376414592,True
DR 2+,hallmark,gs_ind_0,Apoptosis,14/59,0.0014313524065034998,0.013091081291813255,2.9997053884453346,19.645477177473634,+,DR 2,0.020655064887991938,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Early,29/51,3.271331930782848e-17,1.3739594109287962e-15,13.596566245545837,516.1086502799984,+,DR 2,9.2120707170845e-15,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Late,32/70,2.966755028316821e-15,6.230185559465324e-14,8.829820031600446,295.36902612801157,+,DR 2,7.13178964855868e-13,True
DR 2+,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,21/96,0.0003154623364513875,0.004416472710319425,2.7374236750355108,22.067662283952863,+,DR 2,0.006218393576129751,True
DR 2-,lab,gs_ind_0,MP13_EMT_2,29/40,1.2778442170542562e-21,2.3113028175715334e-20,26.76651033084041,1287.7130567451898,-,DR 2,6.297216301643376e-19,True
