# shared_genes | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
MP2_CELL_CYCLE_G1_S,49,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP3_CELL_CYCLE_HMG_RICH,7,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,5,0,0,0,0,0,0,0,0
MP4_CHROMATIN,1,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
MP5_STRESS,0,0,0,49,2,6,0,1,0,0,1,1,1,2,0,0,0,0,0,0,4,5,1,3,0,3,0
MP6_HYPOXIA,0,0,0,2,49,5,2,2,1,1,3,3,3,2,0,3,1,2,0,0,7,2,1,3,0,1,0
MP7_STRESS_IN_VITRO,0,0,0,6,5,44,2,6,3,4,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,3,0
MP8_PROTEASOMAL_DEGRADATION,0,0,0,0,2,2,50,4,4,1,0,0,1,0,0,1,1,3,1,0,1,1,0,0,1,0,0
MP9_UNFOLDED_PROTEIN_RESPONSE,0,0,0,1,2,6,4,47,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3
MP10_PROTEIN_MATURATION,0,0,0,0,1,3,4,11,49,0,1,1,0,2,2,2,1,0,0,3,0,0,2,1,1,1,3
MP11_TRANSLATION_INITIATION,0,1,0,0,1,4,1,0,0,45,0,0,0,0,0,0,0,4,1,0,2,1,0,0,1,0,0
MP12_EMT_1,0,0,0,1,3,0,0,0,1,0,48,8,2,8,2,7,0,0,1,0,8,0,1,5,0,1,0
MP13_EMT_2,0,0,0,1,3,0,0,0,1,0,8,50,9,3,0,3,3,0,1,0,7,3,3,4,0,0,0
MP14_EMT_3,0,1,0,1,3,0,1,0,0,0,2,9,50,0,2,6,4,0,1,0,8,6,5,1,2,1,0
MP15_EMT_4,0,0,1,2,2,1,0,0,2,0,8,3,0,49,5,4,0,0,0,1,6,2,3,2,0,1,2
MP17_INTERFERON_MHC_II_1,0,0,0,0,0,0,0,1,2,0,2,0,2,5,48,11,1,0,0,0,2,0,2,1,0,1,0
MP18_INTERFERON_MHC_II_2,0,0,0,0,3,0,1,0,2,0,7,3,6,4,11,50,2,0,1,1,10,1,4,8,0,0,0
MP19_EPITHELIAL_SENESCENCE,0,0,0,0,1,0,1,0,1,0,0,3,4,0,1,2,50,1,0,1,1,1,11,0,0,0,0
MP20_MYC,0,8,0,0,2,0,3,0,0,4,0,0,0,0,0,0,1,49,4,0,0,2,0,0,1,0,1
MP21_RESPIRATION,0,5,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,4,47,0,1,0,0,0,0,0,0
MP38_GLUTATHIONE,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,48,0,0,2,1,0,0,0
MP39_METAL_RESPONSE,0,0,0,4,7,4,1,0,0,2,8,7,8,6,2,10,1,0,1,0,50,2,2,5,1,1,0
MP22_SECRETED_1,0,0,0,5,2,0,1,0,0,1,0,3,6,2,0,1,1,2,0,0,2,49,4,0,1,0,0
MP23_SECRETED_2,0,0,0,1,1,0,0,0,2,0,1,3,5,3,2,4,11,0,0,2,2,4,50,2,0,0,0
MP25_ASTROCYTES,0,0,0,3,3,1,0,0,1,0,5,4,1,2,1,8,0,0,0,1,5,0,2,49,1,0,0
MP33_RBCS,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,1,1,0,1,49,0,0
MP36_IG,0,0,0,3,1,3,0,4,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,41,1
MP41_UNASSIGNED,0,0,6,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,41
