# signature_gene_contribution | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP10_PROTEIN_MATURATION,proteostasis,HLA-C,0.708233,1.645741,0.058216,0.05758,0.553245,1
MP10_PROTEIN_MATURATION,proteostasis,HLA-A,0.616024,1.318804,0.046651,0.056137,0.499574,2
MP10_PROTEIN_MATURATION,proteostasis,PPIB,0.726661,1.456838,0.051534,0.04518,0.489033,3
MP10_PROTEIN_MATURATION,proteostasis,MALAT1,0.794631,2.638966,0.093351,0.043646,0.342008,4
MP10_PROTEIN_MATURATION,proteostasis,ITM2B,0.633091,1.112161,0.039342,0.03794,0.490292,5
MP10_PROTEIN_MATURATION,proteostasis,PDIA6,0.568111,0.87786,0.031053,0.034086,0.498003,6
MP10_PROTEIN_MATURATION,proteostasis,HSPA5,0.512178,0.755574,0.026728,0.034068,0.516702,7
MP10_PROTEIN_MATURATION,proteostasis,TMEM59,0.588647,0.881743,0.031191,0.033665,0.529175,8
MP10_PROTEIN_MATURATION,proteostasis,HSP90B1,0.587103,0.897621,0.031752,0.03294,0.499638,9
MP10_PROTEIN_MATURATION,proteostasis,PDIA3,0.518968,0.731179,0.025865,0.032284,0.514867,10
MP10_PROTEIN_MATURATION,proteostasis,CLU,0.529361,0.970624,0.034335,0.031297,0.417863,11
MP10_PROTEIN_MATURATION,proteostasis,TIMP1,0.474607,0.790763,0.027972,0.030635,0.439139,12
MP10_PROTEIN_MATURATION,proteostasis,LGALS3BP,0.364219,0.475255,0.016812,0.029689,0.530825,13
MP10_PROTEIN_MATURATION,proteostasis,LAPTM4A,0.618365,0.98007,0.034669,0.029446,0.44548,14
MP10_PROTEIN_MATURATION,proteostasis,SPP1,0.213122,0.361948,0.012804,0.025707,0.392309,15
MP10_PROTEIN_MATURATION,proteostasis,RPN2,0.431757,0.497999,0.017616,0.024577,0.523549,16
MP10_PROTEIN_MATURATION,proteostasis,PDIA4,0.402138,0.470943,0.016659,0.02348,0.482934,17
MP10_PROTEIN_MATURATION,proteostasis,PRDX4,0.493251,0.65591,0.023202,0.023043,0.403655,18
MP10_PROTEIN_MATURATION,proteostasis,SERPINA1,0.210698,0.292967,0.010363,0.021076,0.424135,19
MP10_PROTEIN_MATURATION,proteostasis,DDOST,0.462105,0.539726,0.019092,0.020031,0.433729,20
MP10_PROTEIN_MATURATION,proteostasis,EPCAM,0.476583,0.613735,0.02171,0.019846,0.383951,21
MP10_PROTEIN_MATURATION,proteostasis,PSAP,0.500457,0.6564,0.02322,0.01863,0.394396,22
MP10_PROTEIN_MATURATION,proteostasis,GRN,0.407667,0.448912,0.01588,0.018178,0.439678,23
MP10_PROTEIN_MATURATION,proteostasis,NEAT1,0.477961,0.785046,0.02777,0.018109,0.333821,24
MP10_PROTEIN_MATURATION,proteostasis,APP,0.491641,0.674691,0.023866,0.017322,0.337178,25
MP10_PROTEIN_MATURATION,proteostasis,LAMP1,0.413743,0.440233,0.015573,0.0162,0.415762,26
MP10_PROTEIN_MATURATION,proteostasis,SLC3A2,0.405542,0.451139,0.015959,0.015992,0.393714,27
MP10_PROTEIN_MATURATION,proteostasis,LMAN2,0.405973,0.41493,0.014678,0.015133,0.408457,28
MP10_PROTEIN_MATURATION,proteostasis,LAMP2,0.331347,0.31686,0.011209,0.01436,0.41965,29
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP2,0.369814,0.373843,0.013224,0.014208,0.403688,30
MP10_PROTEIN_MATURATION,proteostasis,LRPAP1,0.305248,0.268119,0.009484,0.013875,0.439574,31
MP10_PROTEIN_MATURATION,proteostasis,EPHX1,0.28765,0.278792,0.009862,0.013846,0.415744,32
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP1,0.311009,0.278152,0.009839,0.013401,0.428785,33
MP10_PROTEIN_MATURATION,proteostasis,TM9SF2,0.337705,0.329141,0.011643,0.012467,0.388185,34
MP10_PROTEIN_MATURATION,proteostasis,APLP2,0.364285,0.369071,0.013056,0.011303,0.351943,35
MP10_PROTEIN_MATURATION,proteostasis,PIGT,0.306294,0.279568,0.009889,0.01107,0.377259,36
MP10_PROTEIN_MATURATION,proteostasis,CTSA,0.240848,0.195354,0.00691,0.010909,0.405529,37
MP10_PROTEIN_MATURATION,proteostasis,MAGED2,0.325104,0.339191,0.011999,0.010515,0.344578,38
MP10_PROTEIN_MATURATION,proteostasis,GGH,0.259941,0.270238,0.009559,0.009853,0.292818,39
MP10_PROTEIN_MATURATION,proteostasis,APMAP,0.265336,0.225596,0.00798,0.009606,0.378061,40
MP10_PROTEIN_MATURATION,proteostasis,AZGP1,0.447363,0.948802,0.033563,0.009516,0.188087,41
MP10_PROTEIN_MATURATION,proteostasis,CTSL,0.193864,0.163365,0.005779,0.008347,0.348794,42
MP10_PROTEIN_MATURATION,proteostasis,OS9,0.250876,0.212218,0.007507,0.007249,0.324888,43
MP10_PROTEIN_MATURATION,proteostasis,HEXB,0.224727,0.174771,0.006182,0.007198,0.318479,44
MP10_PROTEIN_MATURATION,proteostasis,SERPINE2,0.142829,0.135345,0.004788,0.007145,0.267523,45
MP10_PROTEIN_MATURATION,proteostasis,SIL1,0.165723,0.116661,0.004127,0.005127,0.296779,46
MP10_PROTEIN_MATURATION,proteostasis,GDF15,0.075922,0.098104,0.00347,0.001964,0.116962,47
MP10_PROTEIN_MATURATION,proteostasis,TSPAN1,0.059618,0.048722,0.001723,0.00152,0.140167,48
