# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP12_EMT_1,0.4182,MP12_EMT_1,0.4182,MP12_EMT_1,35.7624,1.728223872949768e-36,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,MP21_RESPIRATION,0.2076,MP21_RESPIRATION,0.2076,MP7_STRESS_IN_VITRO,2.2317,0.005865431942902653,True,True,False,False,metabolic,stress,both_routes_different_family,False,depth
DR 2+,DR 2,+,MP21_RESPIRATION,0.2637,MP21_RESPIRATION,0.2637,MP6_HYPOXIA,1.8979,0.012650275973072668,True,True,False,False,metabolic,stress,both_routes_different_family,False,depth
DR 2-,DR 2,-,MP17_INTERFERON_MHC_II_1,0.2345,MP17_INTERFERON_MHC_II_1,0.2345,MP33_RBCS,0.4938,0.3207746206134073,True,False,False,False,immune,other_lineage,cell_only_state_not_on_one_axis,False,none
DR 3+,DR 3,+,MP41_UNASSIGNED,0.4577,MP41_UNASSIGNED,0.4577,MP41_UNASSIGNED,2.0614,0.008681604556119946,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 3-,DR 3,-,MP21_RESPIRATION,0.3859,MP21_RESPIRATION,0.3859,MP14_EMT_3,4.4372,3.654264677506526e-05,True,True,False,False,metabolic,emt,both_routes_different_family,False,depth
DR 4+,DR 4,+,MP8_PROTEASOMAL_DEGRADATION,0.155,MP8_PROTEASOMAL_DEGRADATION,0.155,MP21_RESPIRATION,2.0614,0.008681604556119946,False,True,False,False,proteostasis,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 4-,DR 4,-,MP41_UNASSIGNED,0.4421,MP41_UNASSIGNED,0.4421,MP41_UNASSIGNED,3.1037,0.0007875896494868467,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 5+,DR 5,+,MP15_EMT_4,0.2779,MP15_EMT_4,0.2779,MP14_EMT_3,3.7,0.00019952623149688788,True,True,False,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP2_CELL_CYCLE_G1_S,0.7702,MP2_CELL_CYCLE_G1_S,0.7702,MP2_CELL_CYCLE_G1_S,34.3671,4.294375337334879e-35,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 6+,DR 6,+,MP13_EMT_2,0.1498,MP13_EMT_2,0.1498,MP13_EMT_2,2.9092,0.0012325370982033455,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 6-,DR 6,-,MP23_SECRETED_2,0.3622,MP23_SECRETED_2,0.3622,MP23_SECRETED_2,7.4829,3.289273604806476e-08,True,True,True,True,secreted,secreted,convergent,False,cell_cycle
DR 7+,DR 7,+,MP9_UNFOLDED_PROTEIN_RESPONSE,0.3437,MP9_UNFOLDED_PROTEIN_RESPONSE,0.3437,MP8_PROTEASOMAL_DEGRADATION,3.8635,0.0001369304388391207,True,True,False,True,proteostasis,proteostasis,convergent,False,depth
DR 7-,DR 7,-,MP21_RESPIRATION,0.2914,MP21_RESPIRATION,0.2914,MP21_RESPIRATION,3.408,0.0003908408957924021,True,True,True,True,metabolic,metabolic,convergent,False,depth
DR 8+,DR 8,+,MP2_CELL_CYCLE_G1_S,0.4609,MP2_CELL_CYCLE_G1_S,0.4609,MP2_CELL_CYCLE_G1_S,7.0433,9.051071590275188e-08,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 8-,DR 8,-,MP23_SECRETED_2,0.3071,MP23_SECRETED_2,0.3071,MP14_EMT_3,1.8979,0.012650275973072668,True,True,False,False,secreted,emt,both_routes_different_family,False,cell_cycle
DR 9+,DR 9,+,MP5_STRESS,0.8322,MP5_STRESS,0.8322,MP5_STRESS,38.9335,1.1654670508371914e-39,True,True,True,True,stress,stress,convergent,False,none
DR 9-,DR 9,-,MP20_MYC,0.1792,MP20_MYC,0.1792,MP21_RESPIRATION,3.408,0.0003908408957924021,False,True,False,False,metabolic,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 10+,DR 10,+,MP19_EPITHELIAL_SENESCENCE,0.1537,MP19_EPITHELIAL_SENESCENCE,0.1537,MP14_EMT_3,3.7,0.00019952623149688788,False,True,False,False,senescence,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 10-,DR 10,-,MP12_EMT_1,0.3515,MP12_EMT_1,0.3515,MP12_EMT_1,8.4018,3.964605690612776e-09,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 11+,DR 11,+,MP7_STRESS_IN_VITRO,0.0704,MP7_STRESS_IN_VITRO,0.0704,MP21_RESPIRATION,2.0614,0.008681604556119946,False,True,False,False,stress,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 11-,DR 11,-,MP18_INTERFERON_MHC_II_2,0.2728,MP18_INTERFERON_MHC_II_2,0.2728,MP18_INTERFERON_MHC_II_2,7.249,5.6363765582595484e-08,True,True,True,True,immune,immune,convergent,False,none
