# coverage | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,provenance,n_genes,n_mapped,mapped_fraction,n_in_hvg_background,hvg_fraction_of_mapped
MP2_CELL_CYCLE_G1_S,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP2 (Cell Cycle - G1/S), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,36,0.7346938775510204
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP3 (Cell Cycle - HMG-rich), the published gene list as exported to datasets/GAVISH.csv",50,46,0.92,11,0.2391304347826087
MP4_CHROMATIN,chromatin,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP4 (Chromatin), the published gene list as exported to datasets/GAVISH.csv",50,45,0.9,4,0.08888888888888889
MP5_STRESS,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP5 (Stress), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,43,0.8775510204081632
MP6_HYPOXIA,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP6 (Hypoxia), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,32,0.6530612244897959
MP7_STRESS_IN_VITRO,stress,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP7 (Stress (in vitro)), the published gene list as exported to datasets/GAVISH.csv; derived from cultured cells, so a high score on fresh tissue is a dissociation readout before it is a biological one",50,44,0.88,19,0.4318181818181818
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP8 (Proteasomal degradation), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,9,0.18
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP9 (Unfolded protein response), the published gene list as exported to datasets/GAVISH.csv",48,47,0.9791666666666666,4,0.0851063829787234
MP10_PROTEIN_MATURATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP10 (Protein maturation), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,14,0.2857142857142857
MP11_TRANSLATION_INITIATION,proteostasis,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP11 (Translation initiation), the published gene list as exported to datasets/GAVISH.csv; ribosomal-protein heavy, so it tracks library complexity as readily as a programme - read it next to rho_n_genes_by_counts in the confounder table",50,45,0.9,7,0.15555555555555556
MP12_EMT_1,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP12 (EMT-I), the published gene list as exported to datasets/GAVISH.csv",50,48,0.96,46,0.9583333333333334
MP13_EMT_2,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP13 (EMT-II), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,38,0.76
MP14_EMT_3,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP14 (EMT-III), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,32,0.64
MP15_EMT_4,emt,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP15 (EMT-IV), the published gene list as exported to datasets/GAVISH.csv",50,48,0.96,34,0.7083333333333334
MP17_INTERFERON_MHC_II_1,immune,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP17 (Interferon/MHC-II (I)), the published gene list as exported to datasets/GAVISH.csv",50,48,0.96,43,0.8958333333333334
MP18_INTERFERON_MHC_II_2,immune,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP18 (Interferon/MHC-II (II)), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,39,0.78
MP19_EPITHELIAL_SENESCENCE,senescence,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP19 (Epithelial Senescence), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,35,0.7
MP20_MYC,metabolic,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP20 (MYC), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,5,0.10204081632653061
MP21_RESPIRATION,metabolic,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP21 (Respiration), the published gene list as exported to datasets/GAVISH.csv",49,47,0.9591836734693877,5,0.10638297872340426
MP38_GLUTATHIONE,detoxification,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP38 (Glutathione), the published gene list as exported to datasets/GAVISH.csv",50,46,0.92,12,0.2608695652173913
MP39_METAL_RESPONSE,detoxification,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP39 (Metal-response), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,35,0.7
MP22_SECRETED_1,secreted,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP22 (Secreted-I), the published gene list as exported to datasets/GAVISH.csv",50,49,0.98,29,0.5918367346938775
MP23_SECRETED_2,secreted,True,"Gavish et al. 2023, Nature 618:598-606, pan-cancer malignant metaprogram MP23 (Secreted-II), the published gene list as exported to datasets/GAVISH.csv",50,50,1.0,42,0.84
