# factor_first_significant | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP12_EMT_1,42/46,1.7535633613080623e-39,2.981057714223706e-38,107.04696810375044,9552.782445715548,+,DR 1,1.7283120489052263e-36,True
DR 1+,lab,gs_ind_0,MP13_EMT_2,10/38,0.003076349835210654,0.01607924235226352,3.42795966293687,19.82735812307964,+,DR 1,0.03786529855005844,True
DR 1+,lab,gs_ind_0,MP15_EMT_4,15/34,2.0080312776783308e-07,1.7068265860265812e-06,7.633768746976294,117.71989648311725,+,DR 1,1.3555586488217554e-05,True
DR 1+,lab,gs_ind_0,MP18_INTERFERON_MHC_II_2,10/39,0.0037833511417090637,0.01607924235226352,3.3098892299479514,18.459732555536906,+,DR 1,0.04458152687834089,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,7/18,0.001098228404340707,0.005491142021703535,6.031344792719919,41.09792683634926,+,DR 1,0.01798693580510325,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846939,0.0036572066923273813,4.0636730223527655,29.968142742013214,+,DR 1,0.011400768316155614,True
DR 1+,hallmark,gs_ind_0,Coagulation,22/48,8.851238316223619e-11,1.5489667053391333e-09,8.440621531631521,195.3824829529356,+,DR 1,1.0770099363543207e-08,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,53/112,3.371433062528665e-26,1.1800015718850328e-24,10.616180031334567,622.6588591089063,+,DR 1,1.510402012012842e-23,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,18/78,0.00043243783643727565,0.00302706485506093,2.916268538435413,22.589625990451445,+,DR 1,0.00868199413424685,True
DR 1+,hallmark,gs_ind_0,Myogenesis,20/51,1.90681777320631e-08,2.2246207354073617e-07,6.379941080772106,113.40501566031575,+,DR 1,1.6680409543701382e-06,True
DR 1+,hallmark,gs_ind_0,UV Response Dn,12/31,1.841555527939586e-05,0.0001611361086947138,6.05828742433517,66.04935698143535,+,DR 1,0.0006841184259635945,True
DR 1-,lab,gs_ind_0,MP14_EMT_3,10/32,0.00071884446712456,0.00575075573699648,4.356780402449694,31.53379074881248,-,DR 1,0.012651662621392256,True
DR 1-,lab,gs_ind_0,MP21_RESPIRATION,4/5,0.00044837002986319467,0.005380440358358336,27.47328244274809,211.81603246804076,-,DR 1,0.00868199413424685,True
DR 1-,lab,gs_ind_0,MP3_CELL_CYCLE_HMG_RICH,5/11,0.002659499577535494,0.015956997465212966,7.766869958685816,46.054566494324,-,DR 1,0.034093333407595704,True
DR 1-,lab,gs_ind_0,MP7_STRESS_IN_VITRO,8/19,0.00024933949485229397,0.005380440358358336,6.871033314511576,57.006868824016905,-,DR 1,0.005865131411131764,True
DR 1-,hallmark,gs_ind_0,DNA Repair,6/16,0.0031514828378030346,0.027733048972666704,5.698739135757131,32.82406608056813,-,DR 1,0.03844185006112216,True
DR 1-,hallmark,gs_ind_0,Oxidative Phosphorylation,9/11,3.8947341182875066e-08,1.713683012046503e-06,35.688250652741516,608.8792189914038,-,DR 1,3.0339965876346827e-06,True
DR 1-,hallmark,gs_ind_0,Unfolded Protein Response,8/19,0.00024933949485229397,0.005485468886750467,6.871033314511576,57.006868824016905,-,DR 1,0.005865131411131764,True
DR 1-,hallmark,gs_ind_0,mTORC1 Signaling,12/49,0.002351442988433525,0.025865872872768775,3.118479221927498,18.87530058397867,-,DR 1,0.03249944589507002,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,12/45,0.0010525899827390427,0.015437986413505961,3.4987529197513756,23.989204648608986,-,DR 1,0.017465196750633006,True
DR 2+,lab,gs_ind_0,MP6_HYPOXIA,10/32,0.00071884446712456,0.016533422743864882,4.356780402449694,31.53379074881248,+,DR 2,0.012651662621392256,True
