# confounders | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
MP1_CELL_CYCLE_G2_M,cell_cycle,-0.1560318491980731,1.2767462429697403e-227,-0.03323578438358751,9.055347975521954e-12,0.49366808776058146,0.0,0.8742041861089395,0.0
MP2_CELL_CYCLE_G1_S,cell_cycle,-0.1657059969186915,7.464685416228486e-257,-0.06481801590875143,1.9577052636229514e-40,0.7166364362892217,0.0,0.675009820213686,0.0
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,0.359930592512021,0.0,0.06515028670936812,7.818858732224646e-41,0.4889593400211757,0.0,0.45403204474300907,0.0
MP4_CHROMATIN,chromatin,0.21549987194914177,0.0,0.3199730986253629,0.0,0.0069723385176045675,0.15257035410501266,0.015756136924418466,0.00122566152620865
MP5_STRESS,stress,0.2099998698279707,0.0,0.2785251418849743,0.0,-0.2046196613021684,0.0,-0.22466260433594573,0.0
MP6_HYPOXIA,stress,0.29744393877900105,0.0,0.0367444946426292,4.6529351816443334e-14,0.027533486774395582,1.6041603566560574e-08,-0.057774954480632926,1.8332213456649963e-32
MP7_STRESS_IN_VITRO,stress,0.2149468397879706,0.0,0.05948408846534962,2.5853731548581247e-34,-0.180339415975565,1.3144435128390196e-304,-0.20176118777632202,0.0
MP8_PROTEASOMAL_DEGRADATION,proteostasis,0.29460105875661796,0.0,-0.06402446841898347,1.719851223347548e-39,0.22879028162228424,0.0,0.15538655677791935,9.781376555819772e-226
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,0.459409923789177,0.0,0.2720984421078545,0.0,0.010883427758703348,0.02554984089027975,-0.10416228109775716,7.174476161943706e-102
MP10_PROTEIN_MATURATION,proteostasis,0.5215860184643476,0.0,0.3511203384296166,0.0,-0.059969922104565,7.527738230584709e-35,-0.19602337097555944,0.0
MP12_EMT_1,emt,-0.04394178323511135,1.8850086544035247e-19,-0.023819356916504636,1.0205217834205935e-06,0.03895916333224474,1.283487300850909e-15,0.017432632200371376,0.00034772938628166824
MP13_EMT_2,emt,0.11590730828996601,7.820791914927426e-126,0.007994498076020781,0.1009566396847544,0.061191352302502486,3.238302266988227e-36,0.019094931631721605,8.928407055943036e-05
MP14_EMT_3,emt,0.20486922364013674,0.0,-0.020396105257715777,2.8511195940666455e-05,-0.029128717293027358,2.2656017294571985e-09,-0.09876617855696222,9.820625726525984e-92
MP15_EMT_4,emt,0.19925994387625384,0.0,0.0803973380087532,2.5637685451978482e-61,-0.13137535245729026,2.145109615889138e-161,-0.22349870350353973,0.0
MP17_INTERFERON_MHC_II_1,immune,0.04897030045471497,8.90029005034032e-24,-0.06706381497151467,3.614290895035836e-43,-0.04646301041390477,1.4585561271855688e-21,-0.11033856393539072,3.803794325034691e-114
MP18_INTERFERON_MHC_II_2,immune,0.22571689141355544,0.0,0.02362542364217491,1.2481677843569964e-06,-0.0152549310954983,0.001748118750551235,-0.08844169178129917,7.305569051125698e-74
MP19_EPITHELIAL_SENESCENCE,senescence,0.24163640140242668,0.0,-0.008186870430188802,0.09301495350319322,-0.1584305236105888,1.071583881607065e-234,-0.29325512134762605,0.0
MP20_MYC,metabolic,0.2434999247623725,0.0,-0.06027589909826831,3.4431614925804103e-35,0.39545949235392497,0.0,0.3141921850794518,0.0
MP21_RESPIRATION,metabolic,0.27380068580281886,0.0,0.0929457373840801,2.0538709658666341e-81,0.04372146131433616,2.8466099288808964e-19,-0.02296385517998706,2.452411563576735e-06
MP39_METAL_RESPONSE,detoxification,0.23281190100543223,0.0,0.12130887060448493,9.86589224004029e-138,0.04945797492758811,3.2015369412554065e-24,-0.0007237923269011543,0.8819495089320641
MP22_SECRETED_1,secreted,0.22301502605647455,0.0,0.08150203784387201,5.720222712765138e-63,-0.10110428135591767,4.649078188453594e-96,-0.13850753115874462,2.4416786200950036e-179
MP23_SECRETED_2,secreted,0.15535670463824566,1.195011719245028e-225,0.008228279188032879,0.09137284824135307,-0.19134491578151008,0.0,-0.2964365589170115,0.0
