# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP12_EMT_1,0.4099,MP12_EMT_1,0.4099,MP12_EMT_1,31.0178,9.598425535829044e-32,True,True,True,True,emt,emt,convergent,above,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,MP21_RESPIRATION,0.1885,MP21_RESPIRATION,0.1885,MP7_STRESS_IN_VITRO,3.7189,0.0001910293069163659,False,True,False,False,metabolic,stress,factor_only,below,False,none
DR 2+,DR 2,+,MP21_RESPIRATION,0.2763,MP21_RESPIRATION,0.2763,MP3_CELL_CYCLE_HMG_RICH,1.5261,0.029778306796291187,True,True,False,False,metabolic,cell_cycle,both_different_family,above,False,none
DR 2-,DR 2,-,MP17_INTERFERON_MHC_II_1,0.227,MP17_INTERFERON_MHC_II_1,0.227,MP18_INTERFERON_MHC_II_2,3.6644,0.0002165708494710074,True,True,False,True,immune,immune,convergent,below,False,none
DR 3+,DR 3,+,MP1_CELL_CYCLE_G2_M,0.8449,MP1_CELL_CYCLE_G2_M,0.8449,MP1_CELL_CYCLE_G2_M,45.3528,4.438129803081367e-46,True,True,True,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 3-,DR 3,-,MP23_SECRETED_2,0.3076,MP23_SECRETED_2,0.3076,MP5_STRESS,2.5948,0.0025421431362049373,True,True,False,False,secreted,stress,both_different_family,above,False,none
DR 4+,DR 4,+,MP21_RESPIRATION,0.4693,MP21_RESPIRATION,0.4693,MP21_RESPIRATION,2.6995,0.0019975607684427077,True,True,True,True,metabolic,metabolic,convergent,above,False,none
DR 4-,DR 4,-,MP22_SECRETED_1,0.3055,MP22_SECRETED_1,0.3055,MP19_EPITHELIAL_SENESCENCE,11.5939,2.5474167494427967e-12,True,True,False,False,secreted,senescence,both_different_family,above,False,none
DR 5+,DR 5,+,MP2_CELL_CYCLE_G1_S,0.7749,MP2_CELL_CYCLE_G1_S,0.7749,MP2_CELL_CYCLE_G1_S,28.1394,7.254374970184006e-29,True,True,True,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 5-,DR 5,-,MP15_EMT_4,0.2926,MP15_EMT_4,0.2926,MP5_STRESS,5.914,1.2189895989248673e-06,True,True,False,False,emt,stress,both_different_family,above,False,mesenchymal_may_be_ambient_or_doublet
DR 6+,DR 6,+,MP4_CHROMATIN,0.3987,MP4_CHROMATIN,0.3987,MP4_CHROMATIN,0.7775,0.16691678072110577,True,False,False,False,chromatin,chromatin,cell_only,above,False,none
DR 6-,DR 6,-,MP3_CELL_CYCLE_HMG_RICH,0.2331,MP3_CELL_CYCLE_HMG_RICH,0.2331,MP3_CELL_CYCLE_HMG_RICH,4.3537,4.428942071986359e-05,True,True,True,True,cell_cycle,cell_cycle,convergent,below,False,"depth,cell_cycle"
DR 7+,DR 7,+,MP4_CHROMATIN,0.2518,MP4_CHROMATIN,0.2518,MP5_STRESS,0.8953,0.1272623680022904,True,False,False,False,chromatin,stress,cell_only,below,False,none
DR 7-,DR 7,-,MP7_STRESS_IN_VITRO,0.268,MP7_STRESS_IN_VITRO,0.268,MP7_STRESS_IN_VITRO,7.8172,1.5233510631495698e-08,True,True,True,True,stress,stress,convergent,above,False,none
DR 8+,DR 8,+,MP5_STRESS,0.8113,MP5_STRESS,0.8113,MP5_STRESS,37.9616,1.0924460532267996e-38,True,True,True,True,stress,stress,convergent,above,False,none
DR 8-,DR 8,-,MP2_CELL_CYCLE_G1_S,0.1725,MP2_CELL_CYCLE_G1_S,0.1725,MP20_MYC,2.1405,0.007236024022802513,False,True,False,False,cell_cycle,metabolic,factor_only,below,False,cell_cycle
