# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 38,-0.0,0.0,-1.5261,0.0,-0.0,-0.4652,-1.0963,-0.9706,0.0,0.0,10.647,-0.0,-2.5417,1.489,-0.0,0.773,-0.9113,-1.1548,-0.6162,1.3536,-0.0,-0.2425
DR 29,0.0327,0.8148,0.474,0.0,-7.5904,-0.7352,-1.0963,0.403,0.0,0.6077,-0.0,-4.5952,0.7352,-0.7352,-1.4426,0.2902,-1.2735,0.5042,1.4426,-0.6444,-14.7877,-3.4072
DR 22,0.0,-0.0,-0.1486,0.0,-0.2065,0.7352,0.3674,0.9706,1.4426,6.2686,1.8476,0.2249,2.5417,1.489,2.8468,7.5927,2.7859,-1.1548,0.116,0.9672,0.0216,7.9942
DR 4,0.2718,0.0,0.1486,0.1782,-3.1571,-3.1571,-2.2012,-0.403,-1.4426,-1.5875,-0.1613,-3.9165,-2.5417,-1.9684,-4.6943,-1.0963,-11.5939,1.1548,2.6995,-1.3536,-3.0504,-2.8034
DR 24,-0.0,-0.0,1.5261,0.0,-0.8953,0.7352,0.134,1.7921,0.0,-1.0596,0.773,0.9476,6.2668,-0.7352,-0.0,1.0963,0.1809,1.1548,2.6995,1.7932,-0.3453,-1.3584
DR 14,-0.0,-0.0,-0.474,0.0,0.6162,1.0963,2.9007,0.0543,0.0,-0.6077,-3.4154,0.9476,7.1812,-1.489,-1.4426,-5.0683,6.4495,-1.1548,-0.6162,-4.2508,1.3584,0.6818
DR 21,-0.0,0.0,0.1486,0.1782,4.4462,1.9684,2.2012,0.403,0.6162,0.2718,0.3207,11.821,8.1443,-1.9684,-1.0963,-3.6644,4.815,0.5042,-0.6162,1.7932,13.3448,0.6818
DR 34,-0.0,-0.0,0.474,0.0,-1.6165,0.7352,-1.0963,0.403,-0.116,-0.6077,-0.0,0.2249,-1.0963,-0.4652,-23.0067,-1.4879,-0.0,0.5042,0.6162,0.6444,0.3453,-1.3584
DR 39,6.5758,11.1179,5.6392,0.0,0.3905,-0.7352,-0.0,0.0543,0.0,-1.5875,-7.7934,-8.676,-3.8551,-0.7352,-0.1613,-0.773,2.2069,0.5042,-0.6162,-2.3177,2.4097,0.447
DR 11,-0.0,-0.0,0.1486,0.0,-0.0,-0.0809,0.134,-1.7921,-0.6162,-6.2686,-1.8476,-6.1023,-6.2668,-0.7352,-2.3177,-4.3418,-4.815,0.5042,1.4426,-1.3536,-0.0216,-6.2686
DR 32,0.0327,-0.1092,0.9266,-0.7775,-0.0,-0.0809,0.0,1.7921,0.116,-1.0596,-1.4426,-1.693,6.2668,-1.9684,6.9629,3.6644,2.2069,1.1548,1.4426,-0.1973,-0.6096,1.3584
DR 19,-0.0,0.0,-0.0,0.0,0.8953,-0.0809,1.5816,-0.9706,0.0,-1.0596,-6.9629,-16.6224,-4.596,1.0963,-0.0543,-0.773,-2.2069,-0.0809,0.6162,-1.3536,-0.6096,-1.7751
DR 48,-0.0,-0.0,0.474,0.0,0.3905,0.4652,-0.3674,-0.403,-0.116,-5.1029,0.1613,0.2249,-6.2668,-0.4652,-7.7934,-3.0284,-8.3027,0.0809,0.116,0.6444,-0.9467,-3.4072
DR 64,-0.0,-0.5271,-1.5261,0.0,0.8953,-2.5417,-0.0,0.9706,0.0,0.0,-0.5271,-0.2249,2.5417,-0.7352,-1.0963,-3.6644,1.2735,0.5042,1.4426,1.7932,-0.0,-1.3584
DR 62,-0.0,-0.0,0.9266,0.0,-0.0,-0.4652,-0.6715,0.403,-0.116,0.0,-1.0963,0.0809,6.2668,-1.0963,3.4154,-4.3418,-1.7037,0.5042,-2.6995,-1.7932,0.0216,0.2425
DR 30,0.0,0.0,-0.9266,-0.1782,-0.8953,-0.4652,-1.5816,0.403,0.116,3.1091,0.1613,-0.2249,-2.5417,5.4122,6.17,7.5927,5.6215,-1.1548,-2.6995,-0.9672,0.1477,13.3171
DR 55,-11.1179,-1.187,0.9266,0.0,-0.0,1.0963,0.134,0.9706,-1.4426,-0.6077,0.773,-0.0,3.1571,0.2418,-1.4426,0.773,0.0543,1.1548,1.4426,0.6444,-0.0,0.0044
DR 44,-0.0,-0.0,0.9266,0.0,-16.1956,-8.1443,-4.596,-0.403,-0.6162,-0.0604,-0.0,-0.2249,2.5417,-0.4652,0.5271,0.5057,-0.3674,0.5042,1.4426,-2.3177,-1.3584,-0.0044
DR 37,-24.8418,-11.1179,-5.6392,-0.1782,-0.2065,1.489,2.9007,1.7921,0.116,0.0604,0.3207,0.2249,2.5417,0.4652,-0.0,0.773,0.3674,0.5042,-0.6162,1.7932,0.0216,-0.0
DR 9,0.1297,2.18,1.5261,0.0,-3.1571,0.0809,2.2012,4.4249,0.6162,0.6077,0.5271,0.9476,3.1571,-1.489,-0.5271,1.4879,-2.7859,2.1405,0.6162,0.6444,-0.1477,-6.2686
DR 7,-0.0,-0.8148,-0.9266,0.7775,0.8953,-1.0963,-7.8172,-0.403,-0.6162,-1.0596,-0.0,0.0809,-0.7352,0.0809,0.3207,-0.0233,-0.1809,-0.5042,0.0,-0.1973,0.1477,0.0906
DR 31,0.0327,-0.0,0.9266,0.0,1.6165,2.5417,0.6715,0.403,-0.116,-5.1029,-3.4154,-1.693,1.9684,-0.7352,-15.0253,-7.5927,-1.7037,3.5409,2.6995,0.6444,0.1477,-5.4916
DR 51,-0.0,0.0,-0.0,0.0,1.6165,-0.2418,0.134,-0.0543,0.0,-1.5875,-0.0,-0.0,-3.8551,0.4652,-0.5271,-1.0963,-14.0697,-0.0809,0.6162,-0.3989,-0.3453,-6.2686
DR 57,-0.0,-0.0,0.9266,0.0,-0.0,1.489,-0.0,-0.0543,0.0,-0.0604,1.0963,0.0809,3.1571,0.4652,-2.3177,3.0284,0.6101,0.5042,2.6995,3.5409,-0.0,-0.0906
DR 33,0.0,0.0,-0.9266,0.0,-0.0,-1.0963,-0.134,-1.7921,0.6162,-0.2718,-0.3207,-0.0,-3.1571,-1.0963,-0.1613,-1.0963,-0.9113,-1.1548,-2.6995,-1.3536,-0.0216,-0.6818
DR 16,-0.1297,-0.5271,-0.474,-0.1782,-0.0,0.4652,1.0963,1.7921,0.116,6.2686,2.3177,0.4095,-1.9684,1.9684,6.9629,7.5927,0.3674,-3.5409,-1.4426,2.8937,-0.6096,4.0401
DR 17,-0.0327,-0.0,-1.5261,0.0,-5.914,2.5417,-2.2012,0.9706,-0.6162,0.2718,1.0963,0.4095,1.489,-0.7352,-0.0,0.773,-1.7037,0.5042,0.6162,0.9672,-0.1477,-2.2563
DR 8,-0.0,-0.1092,-0.474,0.1782,37.9616,1.9684,5.5856,0.9706,0.6162,4.0439,0.3207,0.4095,1.0963,1.489,-0.5271,0.773,0.3674,-2.1405,-1.4426,2.8937,8.3058,0.447
DR 35,-0.0,-0.0,0.1486,0.0,-0.2065,0.7352,0.3674,0.403,-0.116,-0.6077,-0.3207,-3.9165,-2.5417,-1.489,-21.572,-3.0284,-2.7859,0.5042,0.6162,0.9672,-3.7759,-3.4072
DR 27,0.2718,1.6459,0.474,0.0,2.0684,-1.489,-0.6715,-0.403,0.6162,1.0596,-1.8476,-0.6444,-3.8551,-0.2418,-0.1613,0.773,0.9113,-1.1548,0.6162,-2.8937,-0.0216,4.0401
DR 43,-0.0327,-0.0,-0.9266,0.0,-0.0809,-1.9684,-0.0,-0.403,0.0,0.2718,-0.5271,-0.6444,-1.489,-0.4652,-0.1613,-0.773,0.6101,-0.5042,-1.4426,-5.0068,-0.0216,0.447
DR 49,-0.0,-0.1092,0.0,0.7775,-1.2227,-4.596,-2.2012,0.0543,-0.6162,4.0439,3.4154,0.6444,-1.0963,0.7352,0.5271,2.4566,-1.7037,0.0809,-0.6162,0.6444,-0.3453,0.6818
DR 45,-0.0,-0.0,0.9266,0.0,-0.0809,0.2418,-0.3674,0.9706,0.0,-0.6077,0.3207,0.9476,4.596,0.0809,-4.0383,-3.0284,1.2735,2.1405,-2.6995,-0.9672,-0.1477,0.6818
DR 59,-0.0,-1.6459,-0.9266,0.0,0.3905,-0.7352,-0.0,-0.403,0.0,-0.2718,-0.773,-0.0,-1.489,-1.0963,-1.0963,0.773,1.2735,1.1548,0.6162,-0.9672,-0.0,-0.6818
DR 25,-21.9567,-4.1789,-5.6392,0.0,1.6165,0.2418,1.0963,-2.9007,0.6162,-0.0604,0.3207,-0.0,-0.7352,-0.0809,0.3207,0.2902,0.6101,-1.1548,-1.4426,-0.6444,0.0216,0.447
DR 36,-0.0,0.0,0.1486,0.1782,0.2065,1.0963,2.9007,0.403,0.6162,0.2718,0.5271,-0.6444,-1.9684,-0.7352,-1.8476,0.773,-15.3645,0.5042,0.116,4.2508,-0.1477,-5.4916
DR 6,-0.6868,-1.6459,-4.3537,0.7775,-0.0,0.2418,0.3674,-0.403,0.0,0.0604,0.3207,-0.2249,-3.1571,-0.2418,-1.0963,-0.773,-0.1809,-0.5042,-2.6995,-0.0,0.0,-0.0
DR 3,45.3528,12.3675,3.2435,0.1782,-2.5948,-1.0963,-0.6715,2.9007,-0.6162,-0.6077,-0.773,-0.0,-0.7352,-0.2418,-1.0963,-0.773,-0.1809,0.5042,0.116,0.1973,-0.0216,-0.2425
DR 5,26.3869,28.1394,8.9839,0.1782,-5.914,-1.9684,-3.7189,-0.403,-1.4426,-0.6077,-0.1613,-0.0809,-5.4122,-0.4652,-1.0963,-0.5057,-2.7859,0.5042,0.116,-0.6444,-0.9467,-0.2425
DR 40,-0.0,0.0,0.474,0.0,-0.8953,0.4652,0.3674,0.403,0.6162,2.3008,-0.0543,-2.6995,-11.5393,0.4652,7.7934,3.0284,-12.7975,0.5042,1.4426,-2.3177,-1.3584,1.3584
DR 41,-0.0,-0.0,0.474,0.0,-0.0,0.2418,-0.0,0.0543,-0.116,-0.2718,-0.0543,-2.1652,-5.4122,0.0809,-0.3207,-1.4879,-21.3541,-0.0809,0.0,0.6444,-1.8442,-2.2563
DR 60,-0.0,-0.2897,-1.5261,0.0,-1.2227,0.7352,-0.134,-0.403,0.0,-0.0,1.0963,-0.0,-3.8551,1.489,5.4122,5.8597,1.7037,-2.1405,2.6995,1.7932,-0.0,0.2425
DR 23,0.0327,-0.0,0.9266,0.0,-2.5948,4.596,-0.134,0.0543,-0.116,-0.2718,0.1613,-1.2888,3.8551,-1.9684,-27.6483,-3.0284,0.6101,0.5042,1.4426,2.8937,-1.8442,-2.2563
DR 28,-0.0,-0.1092,-0.474,0.0,5.914,0.7352,2.9007,0.403,0.6162,0.2718,-0.5271,2.6995,8.1443,0.2418,-4.0383,-2.4566,9.3327,0.5042,-1.4426,1.3536,7.2913,0.9928
DR 1,-0.0327,-0.1092,-1.5261,0.0,-0.0809,-1.9684,-3.7189,-0.0543,-0.6162,-0.0,31.0178,0.6444,-2.5417,3.8551,-0.1613,1.4879,-2.7859,-0.0809,-1.4426,0.3989,-0.0216,-0.447
DR 63,-0.0,-0.0,1.5261,0.0,8.4378,0.2418,1.0963,0.0543,0.0,0.6077,-0.773,-0.0,-3.1571,0.7352,-1.0963,-1.0963,-0.3674,1.1548,2.6995,-0.9672,0.3453,-0.0
DR 53,-0.0,0.0,0.9266,0.0,-14.9528,0.4652,-2.2012,0.403,0.0,-0.2718,0.0543,-0.2249,1.489,-1.489,0.5271,0.1297,0.6101,0.0809,0.6162,-0.1973,-7.2913,0.2425
DR 56,-0.0,0.0,-0.9266,0.0,0.8953,-0.4652,-0.134,-0.9706,0.0,-0.0604,-0.1613,0.4095,-4.596,-0.4652,0.3207,-1.4879,-0.9113,-1.1548,-1.4426,-0.6444,-0.0,-0.447
DR 46,-0.0,-0.1092,0.9266,0.1782,0.6162,1.0963,0.6715,-0.9706,-1.4426,-3.1091,0.773,5.3292,4.596,-0.4652,0.5271,-0.773,-0.6101,0.5042,0.0,0.9672,0.9467,-4.7285
DR 12,0.2718,1.187,1.5261,-0.1782,-3.1571,1.0963,0.6715,1.7921,0.0,-0.6077,0.1613,-0.0,2.5417,-0.4652,1.0963,0.773,0.1809,-0.5042,-0.6162,0.3989,-0.0216,-0.6818
DR 15,0.0,0.0,-0.474,0.0,-0.0,-0.2418,-0.0,-0.403,0.0,0.0,-0.1613,0.0,-3.1571,-0.0,0.0,-1.0963,-1.7037,-1.1548,-0.6162,-0.1973,-0.0,-0.6818
DR 52,-0.2718,0.2897,-1.5261,0.1782,-1.6165,1.9684,2.2012,0.9706,0.116,0.2718,0.0543,-0.0,0.4652,0.4652,0.773,1.4879,0.3674,0.5042,0.6162,0.9672,-0.3453,0.0906
DR 20,-0.0327,-0.1092,-0.474,0.0,-0.2065,1.9684,1.0963,0.403,-0.6162,-5.1029,0.773,10.7485,21.8427,-0.7352,-0.773,3.0284,14.0697,0.5042,0.116,4.2508,1.3584,0.6818
DR 42,-0.0,-0.0,0.474,-0.1782,-3.7789,-0.7352,-1.5816,0.403,-0.6162,-0.2718,-2.8468,-3.9165,3.1571,-1.489,1.4426,-0.1297,1.2735,0.5042,0.6162,-2.3177,-4.5541,0.9928
DR 50,-0.0,0.1092,-0.474,0.0,6.709,0.7352,15.6997,1.7921,1.4426,0.6077,-0.5271,-0.2249,-3.1571,0.0809,-0.0,-1.4879,-1.2735,0.5042,-2.6995,0.6444,5.4122,-0.9928
DR 54,0.1297,0.0,0.1486,0.1782,0.8953,-1.0963,1.5816,-0.403,0.116,1.0596,-0.5271,-0.0809,1.0963,0.7352,-0.0,0.773,-0.6101,-2.1405,0.6162,-0.6444,-0.3453,-0.0906
DR 13,0.1297,0.2897,0.9266,0.1782,-4.4462,-30.2118,-6.6556,0.403,-1.4426,-0.2718,-0.5271,-6.9234,-4.596,-0.7352,2.3177,-0.773,-1.2735,1.1548,0.6162,-11.9526,-6.2758,-0.6818
DR 61,-0.0,-0.0,-0.9266,0.0,-0.0,-0.4652,0.6715,-0.9706,0.0,-0.6077,0.773,0.2249,-4.596,0.7352,-4.0383,-5.8597,-1.2735,-0.5042,-1.4426,0.9672,0.0216,-0.6818
DR 47,-0.0,-0.0,0.474,0.0,-0.2065,1.489,-1.0963,-0.9706,-0.6162,-4.0439,-0.5271,-0.4095,1.9684,-1.0963,0.773,-3.6644,1.2735,1.1548,0.6162,-1.3536,-0.0216,-0.2425
DR 2,-0.0,0.1092,1.5261,0.0,-0.0,0.7352,-0.0,0.403,0.0,-0.2718,0.3207,-0.0809,0.4652,0.4652,-1.0963,-3.6644,0.0543,0.5042,1.4426,0.9672,-0.1477,0.2425
DR 58,-0.0,1.187,1.5261,-0.1782,-0.6162,1.9684,0.134,-0.9706,0.0,0.6077,-1.0963,0.0809,3.1571,0.7352,-0.0,-1.4879,0.9113,-0.5042,-1.4426,0.3989,-0.0,1.3584
DR 10,-0.0,0.0,0.1486,0.0,4.4462,1.0963,2.2012,0.0543,-0.6162,-3.1091,-3.4154,1.693,1.9684,-1.489,1.0963,-2.4566,0.9113,-0.0809,-0.116,-4.2508,3.0504,-1.3584
DR 26,-0.0,-0.0,0.1486,-0.1782,-0.0,-0.2418,0.6715,0.403,0.6162,1.0596,-4.6943,-8.676,-6.2668,-1.0963,0.5271,-1.9311,2.2069,1.1548,0.116,-2.8937,-0.9467,5.4916
DR 18,0.0,0.0,0.1486,0.0,-0.3905,1.9684,1.5816,-0.403,-2.6995,-4.0439,0.3207,-0.4095,1.489,-1.489,-24.4882,-5.0683,-3.4112,0.0809,1.4426,0.1973,-0.0216,-7.1268
