# factor_first_significant | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP12_EMT_1,39/45,1.3539997808317324e-34,1.4893997589149057e-33,67.52345796618242,5265.805400577676,+,DR 1,9.598816907804035e-32,True
DR 1+,lab,gs_ind_0,MP15_EMT_4,13/32,4.271922425527623e-06,2.3495573340401923e-05,6.577846153846154,81.32484976666557,+,DR 1,0.00013961006054490275,True
DR 1+,lab,gs_ind_0,MP18_INTERFERON_MHC_II_2,10/38,0.003076349835210654,0.011279949395772398,3.42795966293687,19.82735812307964,+,DR 1,0.03251334871708875,True
DR 1+,hallmark,gs_ind_0,Adipogenesis,9/31,0.0023774452607899232,0.009509781043159693,3.9212648680011606,23.6912188370526,+,DR 1,0.027477216658440728,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.0010096645607941524,7.529622758194186,65.91759385206703,+,DR 1,0.0030416672961162752,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846939,0.003343731832985034,4.0636730223527655,29.96814274201321,+,DR 1,0.009843217389093932,True
DR 1+,hallmark,gs_ind_0,Coagulation,20/52,2.8283717706458002e-08,4.5253948330332804e-07,6.18014063498828,107.41689795536553,+,DR 1,1.7036780547889997e-06,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,52/115,1.721783287570616e-24,5.509706520225971e-23,9.673506720750815,529.3215350114478,+,DR 1,5.289318259416931e-22,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,17/81,0.0019572560959152077,0.00894745643846952,2.567539023720508,16.011716996601287,+,DR 1,0.02382836483481447,True
DR 1+,hallmark,gs_ind_0,Myogenesis,17/51,3.510474257271818e-06,3.744505874423273e-05,4.883110216009162,61.33068950307946,+,DR 1,0.00012026963105954304,True
