# gene_list_hits | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,resolution,gene_list,n_genes_in_list,n_de_genes,n_signatures_hit,n_cells
harmony_leiden,0.2,0,200,885.0,12,16690.0
harmony_leiden,0.2,1,119,119.0,2,12070.0
harmony_leiden,0.2,2,200,507.0,3,9690.0
harmony_leiden,0.2,3,200,378.0,1,1724.0
harmony_leiden,0.2,4,117,117.0,4,1652.0
harmony_leiden,0.2,5,200,563.0,8,270.0
harmony_leiden,0.4,0,200,823.0,13,14684.0
harmony_leiden,0.4,1,200,537.0,3,10021.0
harmony_leiden,0.4,10,9,9.0,2,52.0
harmony_leiden,0.4,2,200,357.0,4,107.0
harmony_leiden,0.4,3,85,85.0,1,10557.0
harmony_leiden,0.4,4,192,192.0,7,37.0
harmony_leiden,0.4,5,141,141.0,5,1579.0
harmony_leiden,0.4,6,200,430.0,3,1979.0
harmony_leiden,0.4,7,110,110.0,2,1944.0
harmony_leiden,0.4,8,200,324.0,5,820.0
harmony_leiden,0.4,9,200,597.0,7,316.0
harmony_leiden,0.6,0,200,567.0,8,4981.0
harmony_leiden,0.6,1,200,546.0,12,6629.0
harmony_leiden,0.6,10,179,179.0,7,431.0
harmony_leiden,0.6,11,98,98.0,0,629.0
harmony_leiden,0.6,12,87,87.0,4,855.0
harmony_leiden,0.6,13,143,143.0,9,303.0
harmony_leiden,0.6,2,64,64.0,1,9226.0
harmony_leiden,0.6,3,200,489.0,6,4813.0
harmony_leiden,0.6,4,200,345.0,4,107.0
harmony_leiden,0.6,5,114,114.0,2,1859.0
harmony_leiden,0.6,6,200,498.0,3,9644.0
harmony_leiden,0.6,7,200,548.0,7,366.0
harmony_leiden,0.6,8,200,404.0,2,1403.0
harmony_leiden,0.6,9,132,132.0,5,850.0
harmony_leiden,0.8,0,200,515.0,10,4306.0
harmony_leiden,0.8,1,200,267.0,2,432.0
harmony_leiden,0.8,10,200,618.0,7,3960.0
harmony_leiden,0.8,11,106,106.0,3,3940.0
harmony_leiden,0.8,12,200,288.0,5,675.0
harmony_leiden,0.8,13,151,151.0,6,454.0
harmony_leiden,0.8,14,90,90.0,4,853.0
harmony_leiden,0.8,15,85,85.0,4,16.0
harmony_leiden,0.8,16,169,169.0,7,480.0
harmony_leiden,0.8,17,200,297.0,4,244.0
harmony_leiden,0.8,18,132,132.0,7,902.0
harmony_leiden,0.8,19,109,109.0,0,253.0
harmony_leiden,0.8,2,200,524.0,12,5884.0
harmony_leiden,0.8,20,9,9.0,2,55.0
harmony_leiden,0.8,21,150,150.0,6,21.0
harmony_leiden,0.8,3,45,45.0,2,7480.0
harmony_leiden,0.8,4,200,541.0,7,568.0
harmony_leiden,0.8,5,200,475.0,6,5143.0
harmony_leiden,0.8,6,200,291.0,2,1395.0
harmony_leiden,0.8,7,114,114.0,2,1836.0
harmony_leiden,0.8,8,200,695.0,4,2843.0
harmony_leiden,0.8,9,200,520.0,7,356.0
harmony_leiden,1.0,0,200,454.0,6,4418.0
harmony_leiden,1.0,1,200,397.0,5,742.0
harmony_leiden,1.0,10,130,130.0,5,904.0
harmony_leiden,1.0,11,172,172.0,6,493.0
harmony_leiden,1.0,12,161,161.0,7,485.0
harmony_leiden,1.0,13,200,264.0,2,420.0
harmony_leiden,1.0,14,200,327.0,5,1008.0
harmony_leiden,1.0,15,42,42.0,1,5364.0
harmony_leiden,1.0,16,84,84.0,0,384.0
harmony_leiden,1.0,17,113,113.0,2,1902.0
harmony_leiden,1.0,18,95,95.0,4,890.0
harmony_leiden,1.0,19,200,218.0,4,388.0
harmony_leiden,1.0,2,200,290.0,3,821.0
harmony_leiden,1.0,20,77,77.0,0,419.0
harmony_leiden,1.0,21,200,591.0,8,476.0
harmony_leiden,1.0,22,9,9.0,2,52.0
harmony_leiden,1.0,3,200,521.0,9,3917.0
harmony_leiden,1.0,4,200,524.0,12,5618.0
harmony_leiden,1.0,5,200,702.0,5,2814.0
harmony_leiden,1.0,6,112,112.0,3,3884.0
harmony_leiden,1.0,7,107,107.0,3,2780.0
harmony_leiden,1.0,8,200,675.0,7,3366.0
harmony_leiden,1.0,9,200,547.0,7,551.0
harmony_leiden,1.5,0,200,461.0,10,2109.0
harmony_leiden,1.5,1,31,31.0,3,4415.0
harmony_leiden,1.5,10,200,279.0,3,334.0
harmony_leiden,1.5,11,116,116.0,3,1931.0
harmony_leiden,1.5,12,200,577.0,11,1764.0
harmony_leiden,1.5,13,92,92.0,1,370.0
harmony_leiden,1.5,14,200,525.0,3,2166.0
harmony_leiden,1.5,15,200,537.0,8,400.0
harmony_leiden,1.5,16,104,104.0,3,3174.0
harmony_leiden,1.5,17,111,111.0,4,2550.0
harmony_leiden,1.5,18,200,269.0,2,441.0
harmony_leiden,1.5,19,200,430.0,6,3699.0
harmony_leiden,1.5,2,200,409.0,9,1795.0
harmony_leiden,1.5,20,200,246.0,5,161.0
harmony_leiden,1.5,21,200,215.0,3,456.0
harmony_leiden,1.5,22,42,42.0,1,493.0
harmony_leiden,1.5,23,200,481.0,12,4358.0
harmony_leiden,1.5,24,166,166.0,6,512.0
harmony_leiden,1.5,25,200,348.0,3,394.0
harmony_leiden,1.5,26,200,326.0,5,1038.0
harmony_leiden,1.5,27,75,75.0,0,489.0
harmony_leiden,1.5,28,46,46.0,1,5.0
harmony_leiden,1.5,29,105,105.0,8,182.0
harmony_leiden,1.5,3,200,454.0,10,1635.0
harmony_leiden,1.5,30,98,98.0,4,923.0
harmony_leiden,1.5,31,7,7.0,1,110.0
harmony_leiden,1.5,32,16,16.0,1,88.0
harmony_leiden,1.5,4,200,306.0,7,495.0
harmony_leiden,1.5,5,200,297.0,4,745.0
harmony_leiden,1.5,6,200,605.0,8,537.0
harmony_leiden,1.5,7,135,135.0,7,950.0
harmony_leiden,1.5,8,168,168.0,7,535.0
harmony_leiden,1.5,9,200,668.0,5,2842.0
harmony_leiden,2.0,0,200,467.0,8,1658.0
harmony_leiden,2.0,1,200,418.0,6,2642.0
