# programme_cluster_eta2 | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,resolution,signature,n_clusters,eta2_cluster
harmony_leiden,0.2,MP10_PROTEIN_MATURATION,6,0.15496471097083425
harmony_leiden,0.2,MP12_EMT_1,6,0.04287479526402989
harmony_leiden,0.2,MP13_EMT_2,6,0.02646192919318811
harmony_leiden,0.2,MP14_EMT_3,6,0.09756685809497277
harmony_leiden,0.2,MP15_EMT_4,6,0.11041029932375168
harmony_leiden,0.2,MP17_INTERFERON_MHC_II_1,6,0.08462132919780145
harmony_leiden,0.2,MP18_INTERFERON_MHC_II_2,6,0.08419236198749398
harmony_leiden,0.2,MP19_EPITHELIAL_SENESCENCE,6,0.12887681330426617
harmony_leiden,0.2,MP1_CELL_CYCLE_G2_M,6,0.520696632775109
harmony_leiden,0.2,MP22_SECRETED_1,6,0.11285628005749465
harmony_leiden,0.2,MP23_SECRETED_2,6,0.15053191885802508
harmony_leiden,0.2,MP2_CELL_CYCLE_G1_S,6,0.39075293574255104
harmony_leiden,0.2,MP39_METAL_RESPONSE,6,0.07308911546342767
harmony_leiden,0.2,MP3_CELL_CYCLE_HMG_RICH,6,0.33848104359639064
harmony_leiden,0.2,MP5_STRESS,6,0.21201531664267811
harmony_leiden,0.2,MP6_HYPOXIA,6,0.08099526442729539
harmony_leiden,0.2,MP7_STRESS_IN_VITRO,6,0.11425981234709608
harmony_leiden,0.4,MP10_PROTEIN_MATURATION,11,0.1584065116368352
harmony_leiden,0.4,MP12_EMT_1,11,0.12479162307781926
harmony_leiden,0.4,MP13_EMT_2,11,0.03724943948037145
harmony_leiden,0.4,MP14_EMT_3,11,0.09402825950664385
harmony_leiden,0.4,MP15_EMT_4,11,0.13744251370777583
harmony_leiden,0.4,MP17_INTERFERON_MHC_II_1,11,0.09428114302366947
harmony_leiden,0.4,MP18_INTERFERON_MHC_II_2,11,0.09252764997847049
harmony_leiden,0.4,MP19_EPITHELIAL_SENESCENCE,11,0.14010277904033144
harmony_leiden,0.4,MP1_CELL_CYCLE_G2_M,11,0.4791339490601633
harmony_leiden,0.4,MP22_SECRETED_1,11,0.12569118190065895
harmony_leiden,0.4,MP23_SECRETED_2,11,0.1570428008683327
harmony_leiden,0.4,MP2_CELL_CYCLE_G1_S,11,0.3613988735998803
harmony_leiden,0.4,MP39_METAL_RESPONSE,11,0.08462803097639304
harmony_leiden,0.4,MP3_CELL_CYCLE_HMG_RICH,11,0.3195176286378456
harmony_leiden,0.4,MP5_STRESS,11,0.24530477875282888
harmony_leiden,0.4,MP6_HYPOXIA,11,0.0778209889101105
harmony_leiden,0.4,MP7_STRESS_IN_VITRO,11,0.11863860207233838
harmony_leiden,0.6,MP10_PROTEIN_MATURATION,14,0.16970383954753757
