# programme_recovery | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,n_genes_in_collection,n_genes_in_background,recovered__harmony_leiden,best_fdr__harmony_leiden,neglog_fdr__harmony_leiden,best_list__harmony_leiden,n_lists_hitting__harmony_leiden,n_lists_naming__harmony_leiden,named__harmony_leiden,recovered__drvi_leiden,best_fdr__drvi_leiden,neglog_fdr__drvi_leiden,best_list__drvi_leiden,n_lists_hitting__drvi_leiden,n_lists_naming__drvi_leiden,named__drvi_leiden,recovered__pca_leiden,best_fdr__pca_leiden,neglog_fdr__pca_leiden,best_list__pca_leiden,n_lists_hitting__pca_leiden,n_lists_naming__pca_leiden,named__pca_leiden,recovered__drvi_axes,best_fdr__drvi_axes,neglog_fdr__drvi_axes,best_list__drvi_axes,n_lists_hitting__drvi_axes,n_lists_naming__drvi_axes,named__drvi_axes,recovered__drvi_axes_matched,best_fdr__drvi_axes_matched,neglog_fdr__drvi_axes_matched,best_list__drvi_axes_matched,n_lists_hitting__drvi_axes_matched,n_lists_naming__drvi_axes_matched,named__drvi_axes_matched,recovered__null_partition,best_fdr__null_partition,neglog_fdr__null_partition,best_list__null_partition,n_lists_hitting__null_partition,n_lists_naming__null_partition,named__null_partition,eta2_cluster__harmony_leiden,eta2_cluster__drvi_leiden,eta2_cluster__pca_leiden,eta2_cluster__null_partition
MP10_PROTEIN_MATURATION,49,15,True,1.8394281127546615e-06,5.73531718029495,4,8,1,True,True,1.759452977417502e-06,5.754622335490337,9,13,0,False,True,2.9051406793505575e-05,4.536832832366122,22,8,0,False,True,2.1447939420756328e-07,6.66861442567887,DR 11-,17,4,True,True,1.7253208683937327e-07,6.763130124698532,DR 11-,10,2,True,False,,,,0,0,False,0.22564604102325622,0.1798831884794212,0.10920183065244032,0.0006349551399372536
MP12_EMT_1,48,45,True,1.148020899840514e-38,37.94005020548963,10,7,3,True,True,1.816381951483821e-24,23.740792822125577,14,11,3,True,True,2.2941988861916235e-17,16.639368935418418,14,12,3,True,True,9.821011743632832e-32,31.007843769642456,DR 1+,20,2,True,True,5.754499068534863e-32,31.239992475898624,DR 1+,13,2,True,False,,,,0,0,False,0.2091870775618922,0.21541149661499806,0.1423303674498553,0.0003969542284509072
MP13_EMT_2,50,41,True,6.348343235046533e-06,5.197339600339229,4,3,0,False,True,2.8790849991016176e-09,8.540745513275485,20,6,0,False,True,2.706300272370134e-07,6.567624018751463,22,7,0,False,True,1.3518458524059785e-17,16.869072827082363,DR 19-,20,4,True,True,8.486755490829943e-18,17.071258309961088,DR 19-,15,2,True,False,,,,0,0,False,0.104877270628617,0.11734513465950853,0.07141533649040427,0.0003201029753363401
MP14_EMT_3,50,32,True,2.8900379450648925e-14,13.53909645508978,4,13,2,True,True,5.206270931229238e-13,12.283473235213298,20,19,3,True,True,6.408345008622153e-14,13.193254115009436,22,21,4,True,True,7.631083092755199e-23,22.11741381750719,DR 20+,80,27,True,True,4.4713377496612495e-23,22.34956252376336,DR 20+,41,10,True,False,,,,0,0,False,0.1507303849520403,0.12280739026141323,0.09861017991891889,0.0003916320040262876
MP15_EMT_4,49,32,True,2.8934066061444547e-09,8.538590531303099,10,8,0,False,True,0.000203546247239148,3.6913369002526686,26,10,0,False,True,0.00022714462962179812,3.643697526748057,14,7,0,False,True,1.5835748036273428e-06,5.800361416955615,DR 30+,25,1,True,True,1.2837734522128769e-06,5.891511609549596,DR 30+,19,1,True,False,,,,0,0,False,0.18416224407760923,0.14576122498009406,0.08405299818218699,0.0003244534926170558
MP17_INTERFERON_MHC_II_1,48,45,True,1.979945514240517e-40,39.70334676084467,4,6,2,True,True,3.37721530316466e-38,37.471441251477195,20,10,7,True,True,9.56877669229987e-38,37.01914358048256,22,10,5,True,True,1.5921595320991254e-28,27.798013418734563,DR 23-,35,10,True,True,9.329059758393314e-29,28.03016212499073,DR 23-,23,8,True,False,,,,0,0,False,0.21950324686448797,0.179499001383021,0.1341590529619468,0.00041977878752912795
MP18_INTERFERON_MHC_II_2,50,38,True,4.634836473677763e-12,11.333965584029132,4,8,0,False,True,4.1609973506342804e-13,12.38080256072839,9,13,0,False,True,1.1142298566934839e-10,9.953025208447478,22,17,0,False,True,1.1151361731056775e-08,7.952672096187673,DR 16+,45,9,True,True,9.14760142000751e-09,8.038692766765603,DR 16+,24,4,True,False,,,,0,0,False,0.2083178584656829,0.14609302150254536,0.11638683404432328,0.0003970812026615347
MP19_EPITHELIAL_SENESCENCE,50,35,True,8.346430367387553e-10,9.078499225499844,4,6,1,True,True,4.986279675300986e-13,12.302223366018055,20,12,0,False,True,1.4515531073717482e-09,8.838167070189474,22,14,0,False,True,2.1639102560174755e-22,21.66476075471362,DR 41-,38,8,True,True,1.5541303709871663e-16,15.808512552442794,DR 36-,22,3,True,False,,,,0,0,False,0.19339588797377252,0.22956847447058612,0.1503099839426783,0.00047704295820006135
MP1_CELL_CYCLE_G2_M,50,47,True,1.036254729380065e-44,43.98453347435339,8,4,3,True,True,2.2709828140834994e-48,47.643786152339906,5,8,4,True,True,1.1752611058202326e-21,20.92986563618425,21,7,3,True,True,1.047874268627047e-46,45.97969082395273,DR 3+,6,4,True,True,6.139888292736603e-47,46.2118395302089,DR 3+,4,3,True,False,,,,0,0,False,0.561289308204007,0.33152992168365186,0.137450696871993,0.0006417552147981459
MP22_SECRETED_1,49,28,True,0.0012414079721087654,2.906085469977101,3,3,0,False,True,0.00026537241552469223,3.576144222421161,2,9,0,False,True,8.35121410125498e-06,5.078250382103728,15,8,0,False,True,7.69975909181392e-16,15.113522862714866,DR 29-,18,3,True,True,5.573125261767888e-16,15.25390119561539,DR 29-,11,2,True,False,,,,0,0,False,0.12795930629786592,0.17650371081694657,0.08751844141642419,0.0005164760011133746
