# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,IMMUNOGENIC_CONSENSUS,0.0561,IMMUNOGENIC_CONSENSUS,0.0561,0.3768978944817369,-0.3664558,BENPORATH_ES1,-0.0,1.0,False,False,False,False,immune,stemness,neither,below,False,none
DR 1-,DR 1,-,BENPORATH_ES1,0.2118,CytoTRACE2,0.2898,0.6231021055182631,0.3664558,HALLMARK_IFNG,9.4372,3.6542646775065183e-10,True,True,False,False,stemness,immune,both_different_family,below,False,"depth,cell_cycle"
DR 2+,DR 2,+,LIM_STEM,0.2896,LIM_STEM,0.2896,0.3846708595135708,-0.3559541,LIM_STEM,11.968,1.076465213629835e-12,True,True,True,True,stemness,stemness,convergent,above,False,none
DR 2-,DR 2,-,ESC_ASSOU,0.2774,ESC_ASSOU,0.2774,0.6153291404864292,0.3559541,ESC_ASSOU,3.1656,0.000682967440807964,True,True,True,True,stemness,stemness,convergent,above,False,"depth,cell_cycle"
DR 3+,DR 3,+,BENPORATH_ES1,0.1446,BENPORATH_ES1,0.1446,0.6242599003775205,0.3772181,ESC_ASSOU,2.7817,0.0016531033272370146,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 3-,DR 3,-,IMMUNOGENIC_CONSENSUS,0.1487,IMMUNOGENIC_CONSENSUS,0.1487,0.37574009962247945,-0.3772181,FMASC,0.0,1.0,False,False,False,False,immune,stemness,neither,below,False,none
DR 4+,DR 4,+,IMMUNOGENIC_CONSENSUS,0.1685,IMMUNOGENIC_CONSENSUS,0.1685,0.3187012671071438,-0.49614885,IMMUNOGENIC_CONSENSUS,6.2517,5.601444019285345e-07,False,True,False,False,immune,immune,factor_only,below,False,none
DR 4-,DR 4,-,ESC_ASSOU,0.3555,ESC_ASSOU,0.3555,0.6812987328928561,0.49614885,ESC_ASSOU,0.8334,0.14675739694005804,True,False,False,False,stemness,stemness,cell_only,above,False,"depth,cell_cycle"
DR 5+,DR 5,+,BENPORATH_ES1,0.1745,BENPORATH_ES1,0.1745,0.5720358795964564,0.0020948164,ESC_WONG,0.2791,0.5258961603824608,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 5-,DR 5,-,LIM_STEM,0.3614,LIM_STEM,0.3614,0.4279641204035436,-0.0020948164,LIM_STEM,58.0254,9.43191764387942e-59,True,True,True,True,stemness,stemness,convergent,above,False,none
