# cytotrace2_by_optscib_tum_leiden | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
optscib_tum_leiden,mean,median,size
0,0.15892969316855712,0.13655140127762633,2624
1,0.18004212387128807,0.18924995710593467,7640
10,0.1800658848781414,0.1538092813743111,2169
11,0.06372610356755379,0.06133144815685361,3927
12,0.16627364006783804,0.14429899849670408,27
13,0.1761692031014344,0.16079275926694964,43
14,0.11530990955811096,0.1145897393309673,20
15,0.09807451903612094,0.090783238570183,2362
16,0.1928638778395954,0.19153368420692146,1868
17,0.1257552504267564,0.11978966494102566,1992
18,0.07383171596184046,0.06837824039460556,988
19,0.08946688921111631,0.08826595903851668,1561
2,0.07919896621428353,0.049972195779543364,649
20,0.12669304374288473,0.10911794551471918,4982
21,0.3155634728171231,0.28612920299979916,1774
22,0.15736900454609093,0.1389469888682908,2986
23,0.06371593271667023,0.058681249954985124,304
24,0.28739509676616415,0.26877633396861234,388
25,0.36264893019582356,0.37245435599099613,727
26,0.13403186019449082,0.09177571596035228,369
27,0.12513071456562516,0.1058651332232379,932
28,0.222423703250181,0.21297300535481206,2580
29,0.3341593517245759,0.3165992005498182,41
3,0.12284316770105837,0.10353210506776411,1085
30,0.1217276002858449,0.10621835310148875,2057
31,0.11703341153122526,0.11789540541280402,26
32,0.09150099210091071,0.07762324763342195,1028
33,0.10171683411951875,0.10139374348627148,10
34,0.2596139600950127,0.2572066055152878,1627
35,0.06243621030137229,0.05695921076115882,1665
36,0.099228142144785,0.09832968436146562,15
37,0.08537785129736294,0.08231932288248982,17
38,0.08758075281426136,0.08723984672004353,24
39,0.12670592365467695,0.1128490129926174,25
4,0.17944874500930838,0.14029635082810016,2989
40,0.22049069283940786,0.21227794188953453,19
41,0.1160386736657906,0.09668266935232085,2724
42,0.10014350936015463,0.09965060589970196,24
43,0.07015071230233076,0.06453225870576759,260
5,0.17874787906671005,0.17791405934763477,22
6,0.2929381723972289,0.3195748781181774,1525
7,0.10104514867013814,0.09665921758781185,25
8,0.10010776128852364,0.10075078184675307,290
9,0.050842689379823704,0.04500058169159556,3823
