# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 22,0.574,0.9278,0.1838,1.5292,0.504,1.3458,1.0037,0.46,2.6608,0.3998
DR 30,-1.2416,-0.9278,0.4608,-0.2177,-0.2133,0.1193,1.7907,1.2136,-0.0243,-0.0
DR 64,1.6474,0.9278,2.7791,0.4556,0.9278,-0.0334,-0.8334,-0.0,-0.0,-0.0
DR 41,0.1838,-0.0,0.4608,-0.0,-0.0,-7.2121,-13.1281,-19.242,-1.0236,-3.0383
DR 37,2.119,1.2118,0.4608,-0.4556,0.0243,0.3888,1.0037,0.1314,-0.0,-0.0
DR 2,-0.0,-0.0,-0.0,-0.0,0.0,-0.2287,-3.1656,-0.0,11.968,9.5736
DR 7,-0.574,-1.2118,-0.8715,-0.0737,-0.0243,21.3492,29.4115,29.6969,-0.0,20.7031
DR 26,-14.59,-16.4977,-7.1135,-9.9429,-9.155,1.3458,1.7907,0.6438,-0.0,0.3043
DR 11,-0.8846,-2.2284,-0.4608,-1.0816,-0.9278,-0.0,-0.0,0.0406,-0.0243,-0.0
DR 39,-0.0584,0.7086,-0.1838,-0.0,0.0243,-0.0334,-1.7907,0.0406,-0.0,0.0243
DR 54,12.2107,11.9093,4.651,1.5292,1.4776,-0.0334,-0.4644,-0.1314,-0.0,-0.168
DR 56,-0.1838,-0.0,-0.4608,0.0737,-0.0,-0.0334,-1.7907,-0.1314,-0.0,-0.0243
DR 63,3.9239,2.2284,3.6497,0.0737,0.504,0.2287,1.7907,0.0406,-0.0,-0.0
DR 40,0.8846,0.504,0.8715,0.2177,-0.0,0.2287,0.4644,0.6438,-0.0,-0.0
DR 38,0.574,0.2133,0.1838,0.0737,0.2133,-0.3888,-1.7907,-0.2791,-0.2966,-0.168
DR 58,-0.574,-0.2133,-0.4608,0.2177,0.9278,-0.2287,-0.8334,-0.2791,0.0243,-0.0
DR 10,0.1838,0.1137,0.0243,-0.0,-0.0,-14.0032,-22.4004,-25.5244,-0.0,-20.0
DR 51,3.2823,2.2284,1.3705,-0.0,0.2133,-0.2287,-1.0037,0.0406,-0.0,-0.0
DR 3,1.2416,1.8691,0.8715,0.0737,0.0243,1.0236,2.7817,0.1314,0.2005,-0.0
DR 12,0.0584,-0.2133,0.1838,-0.2177,-0.0243,0.2287,1.2433,-0.0,-0.0,-0.0
DR 60,-0.364,0.3452,0.4608,3.3257,3.9258,-0.7931,-1.4937,-0.2791,0.2005,0.0147
DR 9,0.574,0.7086,0.1838,-0.0,-0.0243,-0.1193,0.6235,0.2791,0.514,0.2233
DR 62,-4.6316,-1.8691,-3.6497,-1.0816,-1.4776,0.7931,1.2433,-0.0406,-0.0,-0.0
DR 61,-0.364,-0.0,-0.4608,-0.4556,-0.2133,0.0334,-0.6235,0.0406,0.2005,-0.0
DR 57,-1.2416,-0.504,-1.3705,-0.2177,-0.504,0.5478,-1.0037,0.0406,-0.0,-0.0
DR 19,-0.0,-0.1137,0.0243,-0.0,-0.0,13.0438,25.3456,21.6091,-0.0,12.8816
DR 23,-0.0,-0.0,0.0243,-0.0,0.0243,0.3888,1.0037,1.2136,-8.1716,0.0243
DR 27,1.6474,0.7086,0.8715,0.0,0.0,2.4839,4.4625,1.5542,-0.0,-0.0
DR 15,0.1838,-0.504,0.1838,-0.2177,0.0,0.1193,1.2433,0.9112,-0.0,0.168
DR 34,-33.853,-28.7115,-14.0032,-1.0816,-0.2133,0.5478,0.8334,0.0406,-0.0,-0.0
DR 5,-0.0,-0.0,0.0243,-0.0,-0.0,-0.0,-0.3497,0.2791,-58.0254,-0.0
DR 50,0.0584,-0.0,0.0243,-0.0,0.0,-0.5478,-1.0037,-0.2791,2.0128,1.1747
DR 29,-0.364,-0.1137,0.4608,0.0,0.0,-0.0,-0.6235,-0.0,-5.0456,-0.7255
DR 36,0.574,0.2133,0.8715,0.2177,0.2133,0.1193,0.6235,0.1314,-0.0,-0.0
DR 46,-0.8846,-0.2133,-0.4608,0.4556,-0.0,0.2287,0.8334,0.1314,0.064,-0.0
DR 28,-0.1838,-0.0,0.1838,-0.0,0.0,0.2287,-2.7817,-0.1314,-0.0,-0.0
DR 48,-0.574,-4.6528,-0.4608,-1.5292,-0.9278,0.2287,1.2433,-0.0,-0.0,0.3043
DR 52,-2.119,-7.944,-0.8715,-0.7309,-0.504,0.7931,1.7907,0.1314,-0.064,-0.0
DR 18,1.2416,1.5069,1.3705,0.7309,0.504,-7.2121,-11.6979,-7.4466,0.2005,-1.3681
DR 43,2.119,1.8691,0.4608,0.7309,0.504,0.1193,0.6235,0.1314,-0.514,-0.0
DR 33,1.2416,0.9278,0.8715,-0.0,-0.0,-0.0334,-0.076,-0.0,-0.4178,-0.0
DR 55,0.364,-0.0,0.8715,-0.0,-0.0,-1.6746,-6.5514,-8.2267,-0.0,-6.7404
