# quadrant_per_cell_type_01_4 | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
cell_type_01_4,n_cells,n_target,pct
CD4-Th,1,0,0.0
CD4-Treg,29,0,0.0
CD4-activated,8,0,0.0
CD4-naive,2,0,0.0
CD8-Tem,103,0,0.0
Fibro-matrix,59,0,0.0
GD,1,0,0.0
LummHR-SCGB,5459,210,3.846858398974171
LummHR-active,905,7,0.7734806629834254
LummHR-major,7647,89,1.163855106577743
Lumsec-HLA,2,0,0.0
Lumsec-KIT,1255,86,6.852589641434263
Lumsec-basal,16429,600,3.6520786414267454
Lumsec-major,940,10,1.0638297872340425
Lumsec-myo,1034,6,0.5802707930367504
Lumsec-prol,23623,2701,11.433772171189096
Lymph-major,2,0,0.0
Macro-lipo,42,0,0.0
Macro-m2,5,0,0.0
NK,5,0,0.0
NK-ILCs,10,0,0.0
Vas-arterial,3,0,0.0
Vas-capillary,3,0,0.0
Vas-venous,14,0,0.0
basal,2425,369,15.216494845360824
mDC,1,0,0.0
mye-prol,1,0,0.0
pericytes,216,3,1.3888888888888888
vsmc,9,0,0.0
