# cytotrace2_by_optscib_tum_leiden | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
optscib_tum_leiden,mean,median,size
0,0.11525708842575678,0.08119115487369175,551
1,0.1565518490611221,0.1324121874957288,1688
10,0.08294632034761483,0.06273425160592011,580
11,0.10642591378442055,0.09252085362903548,1735
12,0.09140784426074954,0.09726185902356234,282
13,0.10388205909524648,0.09666823680481351,2334
14,0.1821852307382994,0.18528360039400527,1863
15,0.14715520212227964,0.13347636880369468,1030
16,0.18416435245504129,0.19350450708958197,6603
17,0.12113427552155935,0.10287351314159693,998
18,0.1722761903592898,0.13561619373615724,223
19,0.2596365367817467,0.2503841825577575,1562
2,0.29725028279707066,0.30552101090888384,42
20,0.0835078930936797,0.07754481888356117,835
21,0.09247684634969464,0.09012766606902928,650
22,0.2586816197480575,0.255139395515423,1700
23,0.1417789361075725,0.13696013435623314,617
24,0.07157421731818442,0.058351413640072916,598
25,0.16137310195505059,0.15820832502520946,14
26,0.09420916684736579,0.08922884503788674,15
27,0.07130818945038613,0.07081802111614399,24
28,0.09998116667448896,0.10064750351807256,17
29,0.21340386695981722,0.20777855739916837,19
3,0.15376781024613725,0.12749135493034464,990
30,0.16785417574054223,0.1578777583390397,2188
31,0.06573016862007552,0.06088445340253759,979
32,0.27292195966835575,0.2584198645611347,360
33,0.1208854991670923,0.08553576105902254,2037
34,0.07218784202513444,0.06674380065352076,260
4,0.11655930414041996,0.09517152041322387,3757
5,0.1413797374385214,0.13108134230423252,1227
6,0.11731856411115128,0.105099623732187,1436
7,0.30651032987343324,0.2802134151270737,1362
8,0.17127628852442597,0.12791227272104874,2253
9,0.1475008083100544,0.1393170968566671,1267
