# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 38,0.1538,-0.0,0.042,-0.0,0.0,-1.3962,-2.5588,-2.3491,4.3716,1.9627
DR 29,-0.1538,-4.2173,0.2381,-0.2505,-0.1784,0.5717,0.9108,0.6652,-0.3891,-0.0
DR 22,-2.3098,-2.4293,-0.9992,1.5868,0.4575,-1.3962,-4.1797,-2.8132,0.1141,-0.0
DR 4,-1.8438,-4.2173,-2.2151,-2.0904,-0.1784,0.385,0.7212,0.1639,0.0472,-0.0
DR 24,-0.0,-0.0,-0.0,0.0,0.0,1.0789,2.5588,0.281,0.857,0.2381
DR 14,-0.7418,-0.2505,-0.2381,-0.0,0.0,-0.0,-0.1921,-0.0549,-2.4054,-1.1659
DR 21,-1.0623,-0.5276,-0.9992,-0.0,0.0,0.2381,0.2843,0.1639,2.0904,-0.0
DR 34,-35.7387,-31.2347,-10.8767,-1.119,-0.4575,0.7951,0.548,0.1639,-0.0,-0.0
DR 39,-0.0,-0.2505,0.0,-0.0829,-0.0177,4.7439,5.6155,8.0368,-3.5305,4.343
DR 11,-0.497,-0.5276,-0.2381,-0.4806,-0.4575,0.036,-0.1921,0.281,0.1141,-0.0
DR 32,5.4944,2.8222,3.0098,-0.0,0.0,0.036,-0.2843,-0.4631,-5.8034,-1.5557
DR 19,0.042,-0.0549,-0.2381,0.0,0.0,0.385,0.2843,0.4631,-4.8247,0.5968
DR 48,-2.3098,-1.7502,-1.5343,-2.6903,-0.7951,0.2381,1.6256,0.4631,0.0057,0.2981
DR 64,-0.1538,-0.0166,-0.5447,0.0,0.0,-1.0789,-2.9193,-0.4631,0.1882,-0.0
DR 62,2.3098,0.9262,3.0098,-0.0829,-0.1784,-0.5717,1.6256,-0.281,0.2773,-0.0
DR 30,2.8311,3.2786,0.9992,1.5868,1.3012,-0.1235,-0.9108,-0.1639,-0.0,-0.0
DR 55,-0.042,-0.0,-0.2381,-3.3509,-3.4357,-1.3962,-4.1797,-9.7065,0.0472,-1.033
DR 44,0.497,0.1567,0.2381,-0.2505,0.0,0.385,0.1921,-0.0549,-0.1882,-0.0
DR 37,-0.0,-0.0,-0.0,-0.0,0.0,-5.3924,-12.639,-8.845,-0.0,-14.1621
DR 9,-0.1538,-0.2505,-0.042,-0.0,0.0,4.7439,8.4918,8.0368,1.0623,0.2381
DR 7,-0.497,-0.2505,0.2381,-0.0,-0.0,-0.385,-1.6256,-1.9098,-0.0,-0.0
DR 31,-8.0057,-9.0735,-3.0098,-7.7124,-2.6017,0.385,1.6256,1.2048,-0.0,-0.0
DR 51,0.2893,0.2505,0.2381,-0.0829,0.0177,0.1235,0.0057,0.0549,0.1882,-0.0
DR 57,-1.4296,-0.2505,-1.5343,-0.0,0.1784,0.7951,1.6256,0.0549,0.6875,-0.0
DR 33,-0.042,-0.0,-0.042,0.0,-0.1784,-0.385,-2.2204,-0.1639,-0.0472,-0.0
DR 16,1.4296,0.9262,0.5447,5.7436,1.8782,-0.7951,-2.5588,-0.6652,0.1141,-0.0
DR 17,-0.0,-0.0,0.0,-0.4806,-0.4575,0.1235,0.4176,-0.4631,1.2881,0.4898
DR 8,-0.1538,0.7212,0.042,1.5868,0.1784,-0.7951,-1.6256,-1.2048,0.2773,-0.0
DR 35,-26.8026,-33.6677,-9.0998,-1.119,-0.7951,0.1235,0.2843,0.1639,-0.0,0.0549
DR 27,-0.042,-0.1567,-0.042,-0.0,0.0,-0.5717,-0.7212,-0.0549,-3.5305,1.7741
DR 43,-0.2893,-0.3664,-0.2381,-0.0,-0.0,0.5717,-1.6256,0.6652,-1.5343,0.2381
DR 49,-0.0,0.0166,0.0,0.0829,0.1784,0.2381,-0.2843,-0.919,2.4054,0.1141
DR 45,-0.2893,-0.2505,0.2381,-2.0904,-1.8782,2.586,4.6266,1.2048,-0.1882,-0.0
DR 59,-0.0,-0.0,0.042,-0.7544,-1.3012,1.0789,4.1797,1.2048,0.6875,0.1655
DR 25,0.042,0.3664,-0.0,-0.0,0.0,-8.3086,-16.6192,-11.5201,-0.0,-4.343
DR 36,-0.7418,-0.3664,0.2381,0.2505,0.1784,0.1235,1.1067,1.5536,0.2773,-0.0
DR 6,-1.8438,-0.7212,-0.5447,-0.0,-0.0,-1.7592,-2.9193,-1.5536,0.1141,-0.0
DR 3,-0.497,-0.5276,-0.2381,-0.0,0.0,10.8749,20.9805,23.7985,-0.0,18.8345
DR 5,-0.2893,-0.0549,-0.5447,-0.4806,0.0,19.0562,26.8026,27.8119,-0.0,17.4575
DR 40,5.4944,4.7245,0.9992,1.5868,0.7951,-0.0,0.7212,0.919,-1.8049,0.0549
DR 41,0.042,0.0166,-0.042,-0.4806,-0.1784,-0.1235,0.548,0.6652,-0.0472,0.2981
DR 60,0.497,0.5276,2.2151,1.119,1.8782,-1.7592,2.2204,-0.6652,0.0472,0.0549
DR 23,-30.1672,-39.8732,-12.969,-3.3509,-2.6017,0.5717,2.9193,0.1639,-0.0,-0.0
DR 28,-4.0841,-5.8138,-1.5343,-0.0,0.0,0.1235,-0.7212,-0.6652,-0.1882,-0.0
DR 1,-0.042,-0.0166,-0.042,0.0,0.0,-0.5717,-1.6256,-1.2048,20.8817,6.72
DR 63,-0.497,-0.0,-0.9992,-0.0,0.0177,-0.1235,-0.7212,0.1639,-0.1882,-0.1655
DR 53,0.497,0.2505,0.5447,-0.0,0.0,0.5717,2.5588,0.281,-0.0057,-0.0
DR 56,0.2893,1.1533,-0.0,0.7544,1.8782,-0.5717,-1.889,-0.0,-0.2773,-0.0312
DR 46,0.042,0.2505,0.042,-0.0829,0.0177,0.2381,1.1067,0.281,1.5343,-0.0
DR 12,1.8438,0.7212,0.5447,-0.0,0.0,0.036,1.1067,1.9098,-0.0,0.0312
DR 15,-0.0,0.0549,0.0,-0.0,0.0177,-0.1235,-0.1921,-0.0,-0.1141,-0.0
DR 52,1.0623,0.5276,0.9992,-0.0,-0.0,1.7592,5.6155,1.2048,-0.0,0.386
DR 20,0.1538,-0.1567,0.2381,-1.5868,-0.7951,-0.385,-1.3658,-1.9098,1.0623,-1.033
DR 42,0.7418,0.7212,1.5343,-0.0829,-0.1784,0.036,0.1921,-0.0,-2.7554,-0.386
DR 50,0.7418,0.7212,1.5343,-0.0,0.0,-0.7951,-2.2204,0.281,-0.5254,-0.0312
DR 54,-0.0,-0.0,0.0,-0.0,0.0,-0.5717,-1.889,-0.4631,0.857,0.7212
DR 13,2.3098,1.4473,0.9992,-0.0,-0.0,2.1369,1.1067,0.6652,-0.2773,-0.0
DR 61,-1.8438,-0.2505,-1.5343,-0.2505,-0.4575,1.0789,1.889,-0.1639,0.2773,-0.0549
DR 47,0.497,0.7212,0.2381,-0.2505,-0.0177,-0.385,0.548,0.0549,-1.0623,-0.1141
DR 2,-0.0,-1.4473,-0.0,-5.7436,-4.3716,0.2381,1.889,0.281,-0.0,0.2381
DR 58,-0.0,-0.0,-0.0,-0.0,-0.0,0.7951,1.3658,0.4631,-0.6875,0.1141
DR 10,3.4357,4.2173,3.9622,-0.4806,-0.1784,-0.2381,-1.889,-0.1639,-1.5343,-1.1659
DR 26,0.497,0.0549,0.2381,0.2505,0.0177,-0.2381,0.1921,0.281,-13.4727,0.0549
DR 18,-9.896,-13.7907,-3.0098,-13.7434,-10.979,0.5717,1.1067,0.919,0.0472,-0.0
