# programme_cluster_eta2 | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,resolution,signature,n_clusters,eta2_cluster
harmony_leiden,0.2,BENPORATH_ES1,6,0.2901542473408653
harmony_leiden,0.2,ESC_ASSOU,6,0.3448792360909113
harmony_leiden,0.2,ESC_WONG,6,0.3203114927809324
harmony_leiden,0.2,FMASC,6,0.23180002963953522
harmony_leiden,0.2,HALLMARK_IFNA,6,0.06570322774257532
harmony_leiden,0.2,HALLMARK_IFNG,6,0.10388721724094997
harmony_leiden,0.2,IMMUNOGENIC_CONSENSUS,6,0.11068074028268207
harmony_leiden,0.2,ISDS,6,0.07255176694387835
harmony_leiden,0.2,KEGG_APM,6,0.14786433134200358
harmony_leiden,0.2,LIM_STEM,6,0.05145118179778172
harmony_leiden,0.4,BENPORATH_ES1,11,0.28788687061721274
harmony_leiden,0.4,ESC_ASSOU,11,0.3375414610361749
harmony_leiden,0.4,ESC_WONG,11,0.30585414622779156
harmony_leiden,0.4,FMASC,11,0.23993885840530063
harmony_leiden,0.4,HALLMARK_IFNA,11,0.07346412370426003
harmony_leiden,0.4,HALLMARK_IFNG,11,0.11318855456344853
harmony_leiden,0.4,IMMUNOGENIC_CONSENSUS,11,0.11652577819102612
harmony_leiden,0.4,ISDS,11,0.07991349367078296
harmony_leiden,0.4,KEGG_APM,11,0.15803796275764403
harmony_leiden,0.4,LIM_STEM,11,0.08295981487650751
harmony_leiden,0.6,BENPORATH_ES1,14,0.3023183570912874
harmony_leiden,0.6,ESC_ASSOU,14,0.3681188655463239
harmony_leiden,0.6,ESC_WONG,14,0.33545454312391537
harmony_leiden,0.6,FMASC,14,0.26727937523576384
harmony_leiden,0.6,HALLMARK_IFNA,14,0.16792031341551322
harmony_leiden,0.6,HALLMARK_IFNG,14,0.20969875197351387
harmony_leiden,0.6,IMMUNOGENIC_CONSENSUS,14,0.19552530841706614
harmony_leiden,0.6,ISDS,14,0.1641324492996652
harmony_leiden,0.6,KEGG_APM,14,0.21014336071644976
harmony_leiden,0.6,LIM_STEM,14,0.1291210749340143
harmony_leiden,0.8,BENPORATH_ES1,22,0.3504731353710835
harmony_leiden,0.8,ESC_ASSOU,22,0.43828361547838474
harmony_leiden,0.8,ESC_WONG,22,0.38572002386020504
harmony_leiden,0.8,FMASC,22,0.2870198676119284
harmony_leiden,0.8,HALLMARK_IFNA,22,0.17556982923106582
harmony_leiden,0.8,HALLMARK_IFNG,22,0.21820500810304647
harmony_leiden,0.8,IMMUNOGENIC_CONSENSUS,22,0.19789500276809383
harmony_leiden,0.8,ISDS,22,0.16794476331591618
harmony_leiden,0.8,KEGG_APM,22,0.22417286449316512
harmony_leiden,0.8,LIM_STEM,22,0.1529295122811394
harmony_leiden,1.0,BENPORATH_ES1,23,0.3334545635285776
harmony_leiden,1.0,ESC_ASSOU,23,0.4198976604543546
harmony_leiden,1.0,ESC_WONG,23,0.3703272255046341
harmony_leiden,1.0,FMASC,23,0.3018908288954874
harmony_leiden,1.0,HALLMARK_IFNA,23,0.1860226653453543
harmony_leiden,1.0,HALLMARK_IFNG,23,0.2327733858230737
harmony_leiden,1.0,IMMUNOGENIC_CONSENSUS,23,0.21463198929244917
harmony_leiden,1.0,ISDS,23,0.17298671867697712
harmony_leiden,1.0,KEGG_APM,23,0.24279860835938863
harmony_leiden,1.0,LIM_STEM,23,0.158893054522738
harmony_leiden,1.5,BENPORATH_ES1,33,0.3523394785115544
harmony_leiden,1.5,ESC_ASSOU,33,0.4367100591483134
harmony_leiden,1.5,ESC_WONG,33,0.38638619265779156
harmony_leiden,1.5,FMASC,33,0.33426309141721383
harmony_leiden,1.5,HALLMARK_IFNA,33,0.20300568960870446
harmony_leiden,1.5,HALLMARK_IFNG,33,0.24482057837610743
harmony_leiden,1.5,IMMUNOGENIC_CONSENSUS,33,0.23018447219042065
harmony_leiden,1.5,ISDS,33,0.186013237095706
harmony_leiden,1.5,KEGG_APM,33,0.2559347216604878
harmony_leiden,1.5,LIM_STEM,33,0.17519849939707677
harmony_leiden,2.0,BENPORATH_ES1,45,0.33252214318135337
harmony_leiden,2.0,ESC_ASSOU,45,0.4127162147784799
harmony_leiden,2.0,ESC_WONG,45,0.3795360612484609
harmony_leiden,2.0,FMASC,45,0.3369582748279334
harmony_leiden,2.0,HALLMARK_IFNA,45,0.23230586347853943
harmony_leiden,2.0,HALLMARK_IFNG,45,0.2745727266724955
harmony_leiden,2.0,IMMUNOGENIC_CONSENSUS,45,0.24846450912682988
harmony_leiden,2.0,ISDS,45,0.2140104420768703
harmony_leiden,2.0,KEGG_APM,45,0.2546796953189547
harmony_leiden,2.0,LIM_STEM,45,0.19534676812356133
harmony_leiden,3.0,BENPORATH_ES1,58,0.36025627324274107
harmony_leiden,3.0,ESC_ASSOU,58,0.4494803705233519
harmony_leiden,3.0,ESC_WONG,58,0.4080961883229816
harmony_leiden,3.0,FMASC,58,0.35394774693946035
harmony_leiden,3.0,HALLMARK_IFNA,58,0.24744532183765192
harmony_leiden,3.0,HALLMARK_IFNG,58,0.29261208191944504
harmony_leiden,3.0,IMMUNOGENIC_CONSENSUS,58,0.27943014659356424
harmony_leiden,3.0,ISDS,58,0.23254897456154988
harmony_leiden,3.0,KEGG_APM,58,0.28952451720809624
harmony_leiden,3.0,LIM_STEM,58,0.23325936858498325
drvi_leiden,0.2,BENPORATH_ES1,18,0.045951499499207946
drvi_leiden,0.2,ESC_ASSOU,18,0.12429627213049829
drvi_leiden,0.2,ESC_WONG,18,0.1714364170038873
drvi_leiden,0.2,FMASC,18,0.1394236446113601
drvi_leiden,0.2,HALLMARK_IFNA,18,0.018704357294385392
drvi_leiden,0.2,HALLMARK_IFNG,18,0.024279978505905853
drvi_leiden,0.2,IMMUNOGENIC_CONSENSUS,18,0.044148934220771624
drvi_leiden,0.2,ISDS,18,0.04151246025024136
drvi_leiden,0.2,KEGG_APM,18,0.03540650762641126
drvi_leiden,0.2,LIM_STEM,18,0.12509127542005197
drvi_leiden,0.4,BENPORATH_ES1,18,0.07843806295383408
drvi_leiden,0.4,ESC_ASSOU,18,0.161554957077042
drvi_leiden,0.4,ESC_WONG,18,0.19372420006614643
drvi_leiden,0.4,FMASC,18,0.18276272985930186
drvi_leiden,0.4,HALLMARK_IFNA,18,0.033467007548115005
drvi_leiden,0.4,HALLMARK_IFNG,18,0.049087363477058873
drvi_leiden,0.4,IMMUNOGENIC_CONSENSUS,18,0.06314004306428102
drvi_leiden,0.4,ISDS,18,0.05226514682861622
drvi_leiden,0.4,KEGG_APM,18,0.07612229547882049
drvi_leiden,0.4,LIM_STEM,18,0.16812172057518882
drvi_leiden,0.6,BENPORATH_ES1,26,0.13003875034482545
drvi_leiden,0.6,ESC_ASSOU,26,0.20504035108137808
drvi_leiden,0.6,ESC_WONG,26,0.23951857728204734
drvi_leiden,0.6,FMASC,26,0.21268719825963453
drvi_leiden,0.6,HALLMARK_IFNA,26,0.07874409641013162
drvi_leiden,0.6,HALLMARK_IFNG,26,0.09467611749880185
drvi_leiden,0.6,IMMUNOGENIC_CONSENSUS,26,0.1086765333861482
drvi_leiden,0.6,ISDS,26,0.10382841508656562
drvi_leiden,0.6,KEGG_APM,26,0.11504798264301935
drvi_leiden,0.6,LIM_STEM,26,0.18059555121286375
drvi_leiden,0.8,BENPORATH_ES1,28,0.13926862892765463
drvi_leiden,0.8,ESC_ASSOU,28,0.21793240316774634
drvi_leiden,0.8,ESC_WONG,28,0.2519030392660292
drvi_leiden,0.8,FMASC,28,0.22985601764649674
drvi_leiden,0.8,HALLMARK_IFNA,28,0.11886657748596062
drvi_leiden,0.8,HALLMARK_IFNG,28,0.1410275688133657
