# quadrant_per_cell_type_01_4 | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
cell_type_01_4,n_cells,n_target,pct
LummHR-SCGB,4564,191,4.184925503943909
LummHR-active,39,6,15.384615384615385
LummHR-major,416,16,3.8461538461538463
Lumsec-HLA,2,0,0.0
Lumsec-KIT,1196,43,3.5953177257525084
Lumsec-basal,13272,515,3.8803496081977094
Lumsec-major,105,1,0.9523809523809523
Lumsec-myo,4,0,0.0
Lumsec-prol,22395,1871,8.354543424871624
basal,103,1,0.970873786407767
