# shared_genes | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
HALLMARK_IFNA,96,72,27,7,7,1,5,0,1,4
HALLMARK_IFNG,72,197,25,14,13,5,10,1,8,15
ISDS,27,25,27,2,2,1,2,0,0,0
KEGG_APM,7,14,2,62,25,3,5,1,0,1
IMMUNOGENIC_CONSENSUS,7,13,2,25,25,0,1,0,0,0
BENPORATH_ES1,1,5,1,3,0,368,297,61,11,94
ESC_ASSOU,5,10,2,5,1,297,800,130,33,183
ESC_WONG,0,1,0,1,0,61,130,296,9,69
LIM_STEM,1,8,0,0,0,11,33,9,465,72
FMASC,4,15,0,1,0,94,183,69,72,1689
