# dr_naming | collection consensus (all three collections, read together) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,drvi_order,latent_column,latent_variance_share,call,programme,direction,A_rho,B_fdr,same_signature,named_by,n_convergent_rows,other_programmes,confounder_flags,rho_log_umi,rho_S_score,rho_G2M_score,rho_pct_mt
DR 1,0,44,0.1346589379336932,depth_axis,MP12_EMT_1,DR 1+,0.4099,8.323385316531494e-32,True,"gavish_tnbc, scie",2,DR 1+ LIM_STEM (rho 0.35),mesenchymal_may_be_ambient_or_doublet,-0.4174755717669364,0.018650516646670032,0.11208547757038562,-0.07564543244792386
DR 2,1,59,0.05588841196376538,depth_axis,ESC_ASSOU,DR 2+,0.4237,0.0116171607805856,True,scie,1,,"depth,cell_cycle",0.5318249456756893,0.03670861561548008,-0.09619502206567905,0.12413363579662252
DR 3,2,37,0.05213230466073079,named,MP1_CELL_CYCLE_G2_M,DR 3+,0.8449,3.848575404157399e-46,True,"gavish_tnbc, scie",2,DR 3+ ESC_WONG (rho 0.37),cell_cycle,-0.18798189309651464,0.39676282167874866,0.8194964651028772,-0.06500184912848467
DR 4,3,3,0.0442706820348543,named,MP21_RESPIRATION,DR 4+,0.4693,0.0018518252436381,True,gavish_tnbc,1,,none,-0.01254154855847008,0.05815885386254666,0.061705382204132464,0.003307781281039341
DR 5,4,38,0.04096389230150849,named,MP2_CELL_CYCLE_G1_S,DR 5+,0.7749,6.290714855478366e-29,True,"gavish_tnbc, scie",2,DR 5+ ESC_WONG (rho 0.36),cell_cycle,-0.13157952370403653,0.6742143139510794,0.5385658553347684,-0.10880519255631013
DR 6,5,36,0.03921925324523211,unnamed,,,,,False,,0,,,0.2528056543421947,-0.16097868121761336,-0.14747975615700257,0.44029531782952636
DR 7,6,20,0.03529184112717729,unnamed,,,,,False,,0,,,-0.06895769663536422,-0.01580470263225058,0.039328992571830514,0.20261006428649048
DR 8,7,27,0.03132662704059796,named,MP5_STRESS,DR 8+,0.8113,9.473271845042527e-39,True,gavish_tnbc,1,,none,0.2750744179911004,-0.12768296575523988,-0.1533601708131357,0.3372894513271458
DR 9,8,19,0.02886674503872605,named,MP8_PROTEASOMAL_DEGRADATION,DR 9+,0.4466,3.347341331292356e-05,True,gavish_tnbc,2,DR 9- MP23_SECRETED_2 (rho 0.36),none,-0.10443294766253154,0.19739611365480733,0.19574728696816768,-0.2217162685718578
DR 10,9,61,0.022740939386791975,unnamed,,,,,False,,0,,,-0.18462092518361453,-0.1153812163924104,-0.040789346913732025,-0.2141581156991617
