# factor_first_hallmark_significant | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,hallmark,gs_ind_0,Adipogenesis,9/31,0.0023774452607899232,0.009509781043159693,3.9212648680011606,23.691218837052602,+,DR 1,0.03628136234884895,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.0010096645607941524,7.529622758194186,65.91759385206704,+,DR 1,0.004739315659863034,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846939,0.003343731832985034,4.0636730223527655,29.968142742013214,+,DR 1,0.014013289104662322,True
DR 1+,hallmark,gs_ind_0,Coagulation,20/52,2.8283717706458002e-08,4.5253948330332804e-07,6.18014063498828,107.41689795536553,+,DR 1,2.8496933424552842e-06,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,52/115,1.721783287570616e-24,5.509706520225971e-23,9.673506720750815,529.3215350114478,+,DR 1,7.047474218937478e-22,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,17/81,0.0019572560959152077,0.00894745643846952,2.567539023720508,16.011716996601287,+,DR 1,0.0317278964657146,True
DR 1+,hallmark,gs_ind_0,Myogenesis,17/51,3.510474257271818e-06,3.744505874423273e-05,4.883110216009162,61.33068950307946,+,DR 1,0.0001884434091055175,True
DR 1+,hallmark,gs_ind_0,UV Response Dn,11/30,7.545357491947078e-05,0.0006036285993557662,5.544212164264935,52.6256230125117,+,DR 1,0.0024831430258674078,True
DR 1-,hallmark,gs_ind_0,E2F Targets,14/63,0.0027966148416209034,0.023491564669615588,2.7510222872153167,16.174210720277465,-,DR 1,0.0406098239418521,True
DR 1-,hallmark,gs_ind_0,Glycolysis,12/43,0.0006729006219890293,0.007065456530884809,3.725106311313208,27.207852053847105,-,DR 1,0.014738549074936966,True
DR 1-,hallmark,gs_ind_0,Oxidative Phosphorylation,6/9,6.044897603128107e-05,0.0013521157438390985,17.163055453543887,166.71695918221195,-,DR 1,0.0021513620034990903,True
DR 1-,hallmark,gs_ind_0,mTORC1 Signaling,14/45,6.438646399233802e-05,0.0013521157438390985,4.3674624452104345,42.14866422860711,-,DR 1,0.0021513620034990903,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,13/45,0.00027443218930083994,0.0038420506502117595,3.917907692307692,32.13000232506372,-,DR 1,0.007093649566797644,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Late,17/62,6.417974743098272e-05,0.0028239088869632394,3.6795221127646194,35.52145467729995,+,DR 2,0.0021513620034990903,True
DR 2+,hallmark,gs_ind_0,Myogenesis,13/51,0.0010374054581716596,0.022822920079776512,3.296103896103896,22.647636778156684,+,DR 2,0.019201704169799418,True
DR 2+,hallmark,gs_ind_0,mTORC1 Signaling,11/45,0.003620292729714398,0.05309762670247784,3.1072999120492524,17.466755483212417,+,DR 2,0.048151092379286366,True
DR 2-,hallmark,gs_ind_0,Allograft Rejection,28/90,1.0342617805563464e-08,3.9301947661141163e-07,4.595686956521739,84.50086310573151,-,DR 2,1.1480305764175445e-06,True
DR 2-,hallmark,gs_ind_0,Coagulation,16/52,2.2060127640752916e-05,0.00016765697006972216,4.323309945428221,46.3533998051054,-,DR 2,0.0008863299136152812,True
DR 2-,hallmark,gs_ind_0,Complement,21/67,7.438806695194335e-07,9.422488480579491e-06,4.519333872465331,63.774061146207,-,DR 2,5.0746609423778855e-05,True
DR 2-,hallmark,gs_ind_0,IL-6/JAK/STAT3 Signaling,10/34,0.001221006000863245,0.007733038005467219,3.996625421822272,26.80968373566166,-,DR 2,0.021848000818725115,True
DR 2-,hallmark,gs_ind_0,Inflammatory Response,23/71,1.0553395930435402e-07,2.0051452267827267e-06,4.78394075794976,76.85033921723833,-,DR 2,9.093972361634401e-06,True
DR 2-,hallmark,gs_ind_0,Interferon Gamma Response,19/99,0.003222655385665913,0.017494414950757813,2.296237359478466,13.17477575562551,-,DR 2,0.04578128008834287,True
DR 2-,hallmark,gs_ind_0,KRAS Signaling Up,22/81,5.953021777015606e-06,5.655370688164826e-05,3.689358096179648,44.38892368736263,-,DR 2,0.0002976056459364519,True
DR 3+,hallmark,gs_ind_0,E2F Targets,51/63,1.8270511235081756e-42,3.74545480319176e-41,49.288428093645486,4736.9072947386785,+,DR 3,2.991339451963761e-39,True
DR 3+,hallmark,gs_ind_0,G2-M Checkpoint,52/59,2.6500070097516095e-47,1.08650287399816e-45,84.54208754208754,9066.879943706159,+,DR 3,8.677447953431646e-44,True
DR 3+,hallmark,gs_ind_0,Mitotic Spindle,28/41,9.318790342872094e-20,1.273568013525853e-18,21.876006441223833,958.5993619776112,+,DR 3,2.9061313312128255e-17,True
DR 3+,hallmark,gs_ind_0,Spermatogenesis,9/16,5.16300461734021e-06,5.292079732773715e-05,11.863011314186249,144.42020314734387,+,DR 3,0.00026416029092938306,True
DR 3+,hallmark,gs_ind_0,mTORC1 Signaling,11/45,0.003620292729714398,0.029686400383658065,3.1072999120492524,17.466755483212417,+,DR 3,0.048151092379286366,True
DR 3-,hallmark,gs_ind_0,Apoptosis,16/59,0.00012304687187122835,0.005414062362334047,3.61321371834408,32.529565113187715,-,DR 3,0.003783258046406922,True
