# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 38,-0.0,-0.0,-1.5556,0.0,-0.0,-0.4704,-1.1129,-0.9868,0.0,0.0,10.7089,-0.0,-2.5715,1.5162,-0.0,0.7863,-0.9236,-1.1754,-0.6261,1.3788,-0.0,-0.2458
DR 29,0.031,0.8285,0.4793,0.0,-7.6481,-0.7461,-1.1129,0.4079,0.0,0.6171,-0.0,-4.645,0.7461,-0.7461,-1.468,0.2931,-1.2976,0.5102,1.468,-0.655,-14.8496,-3.4477
DR 22,0.0,0.0,-0.1489,0.0,-0.2092,0.7461,0.3705,0.9868,1.468,6.3271,1.8806,0.2276,2.5715,1.5162,2.8829,7.6503,2.8226,-1.1754,0.1162,0.9825,0.0199,8.0509
DR 4,0.2748,-0.0,0.1489,0.1802,-3.1939,-3.1939,-2.2332,-0.4079,-1.468,-1.6194,-0.1622,-3.9623,-2.5715,-2.0004,-4.7455,-1.1129,-11.6558,1.1754,2.7324,-1.3788,-3.088,-2.8396
DR 24,-0.0,-0.0,1.5556,0.0,-0.9078,0.7461,0.1337,1.8235,0.0,-1.0768,0.7863,0.9625,6.3222,-0.7461,-0.0,1.1129,0.1828,1.1754,2.7324,1.8242,-0.3484,-1.384
DR 14,-0.0,-0.0,-0.4793,0.0,0.6261,1.1129,2.936,0.0533,0.0,-0.6171,-3.4555,0.9625,7.239,-1.5162,-1.468,-5.1183,6.5078,-1.1754,-0.6261,-4.298,1.384,0.6917
DR 21,-0.0,0.0,0.1489,0.1802,4.4965,2.0004,2.2332,0.4079,0.6261,0.2748,0.324,11.8829,8.2009,-2.0004,-1.1129,-3.7071,4.8654,0.5102,-0.6261,1.8242,13.4066,0.6917
DR 34,-0.0,-0.0,0.4793,0.0,-1.6483,0.7461,-1.1129,0.4079,-0.1162,-0.6171,-0.0,0.2276,-1.1129,-0.4704,-23.0686,-1.5151,-0.0,0.5102,0.6261,0.655,0.3484,-1.384
DR 39,6.6341,11.1798,5.6899,0.0,0.3948,-0.7461,-0.0,0.0533,0.0,-1.6194,-7.8506,-8.7378,-3.8981,-0.7461,-0.1622,-0.7863,2.2382,0.5102,-0.6261,-2.348,2.4398,0.4521
DR 11,-0.0,-0.0,0.1489,0.0,-0.0,-0.0801,0.1337,-1.8235,-0.6261,-6.3271,-1.8806,-6.1581,-6.3222,-0.7461,-2.348,-4.3886,-4.8654,0.5102,1.468,-1.3788,-0.0199,-6.3271
