# dim_signature_spearman | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC,CytoTRACE2
DR 38,-0.0389,-0.0412,-0.019,-0.0309,0.009,-0.0786,-0.0854,-0.0728,0.0584,0.0573,-0.0686
DR 29,-0.0981,-0.1838,-0.0749,-0.068,-0.053,0.0507,0.1024,0.172,-0.1358,-0.0755,0.0088
DR 22,0.0994,0.0804,0.0919,0.258,0.2244,-0.0208,0.0319,0.0245,0.0495,-0.0736,0.0056
DR 4,-0.1038,-0.1485,-0.0716,-0.2517,-0.1752,-0.0529,0.0762,0.1988,-0.2253,-0.0982,0.048
DR 24,-0.0016,0.0261,-0.0343,0.0385,0.0042,0.1153,0.1194,0.0938,-0.0036,-0.0021,0.1081
DR 14,-0.0778,-0.0437,-0.0444,-0.0789,-0.0954,-0.0672,-0.1298,-0.1307,-0.0921,-0.2119,-0.1989
DR 21,-0.0721,-0.0174,-0.064,-0.1061,-0.1308,-0.0063,-0.0463,-0.097,0.2248,-0.0102,0.0281
DR 34,-0.5344,-0.4515,-0.5609,-0.1245,-0.164,0.0276,0.0534,0.0642,-0.0172,0.0236,0.0641
DR 39,-0.0274,-0.0173,0.0219,-0.0571,-0.0383,0.0216,-0.0118,0.0048,-0.2445,-0.0159,-0.0831
DR 11,-0.1279,-0.1291,-0.1244,-0.1717,-0.1931,-0.011,-0.0247,-0.0039,0.0178,-0.0352,-0.0258
DR 32,0.2874,0.2494,0.2676,0.0585,0.1383,-0.0427,0.0217,0.1472,-0.289,-0.3343,-0.0711
DR 19,-0.0993,-0.1372,-0.0677,-0.0277,-0.0112,-0.0076,-0.0256,-0.0175,-0.3169,0.1382,-0.0643
DR 48,-0.1297,-0.1304,-0.1727,-0.0715,-0.1194,0.1462,0.1531,0.1216,0.0401,0.1667,0.155
DR 30,0.2343,0.2387,0.2061,0.2575,0.2707,-0.0695,-0.1011,-0.1392,0.004,0.0113,-0.0891
DR 55,-0.0466,-0.0468,-0.0754,-0.1052,-0.12,0.0265,0.0655,0.0721,-0.0193,-0.0129,0.0821
DR 44,0.0401,0.0094,0.0397,-0.1798,0.0156,-0.0412,-0.0041,0.0504,-0.0608,-0.0704,-0.0411
DR 37,0.1258,0.1242,0.1081,0.1343,0.1096,-0.1539,-0.1637,-0.1586,0.0656,-0.2579,-0.1561
DR 9,-0.0574,-0.079,-0.1144,-0.0368,-0.1027,0.2072,0.1711,0.2255,0.0751,-0.0995,0.1202
DR 7,0.014,0.0112,0.0243,-0.0275,-0.0183,-0.0777,-0.1497,-0.236,0.1983,0.3038,-0.0187
DR 31,-0.3513,-0.3452,-0.2754,-0.5068,-0.5234,-0.0319,0.0013,0.0661,-0.0671,-0.0427,0.0139
DR 51,-0.0875,-0.0886,-0.0809,-0.1447,-0.0875,-0.0377,-0.0618,-0.0224,0.0195,0.087,-0.0538
DR 33,-0.0719,-0.0892,-0.0165,-0.1673,-0.0992,-0.0929,-0.1583,-0.105,0.0864,0.0099,-0.1656
DR 16,0.2219,0.2217,0.2469,0.2855,0.2712,-0.1798,-0.2016,-0.2378,0.1091,0.0462,-0.1058
DR 17,-0.0592,-0.0655,-0.0961,-0.0322,-0.0744,0.1444,0.1812,0.1604,0.1932,0.0614,0.1827
DR 8,0.0337,0.0934,0.0075,0.1702,0.0744,0.0542,0.0581,-0.0547,0.0484,0.1685,0.1323
DR 35,-0.4194,-0.4108,-0.3497,-0.1373,-0.1937,0.0445,0.1139,0.107,-0.1094,0.0697,0.131
DR 27,-0.0087,-0.0135,0.0381,0.0485,0.0687,-0.0852,-0.106,-0.1029,-0.2081,0.0181,-0.1643
DR 43,0.0461,-0.0098,0.028,0.075,0.0551,-0.0138,-0.1197,-0.1378,0.0472,0.066,-0.1106
DR 49,0.0756,0.0741,0.0245,0.0761,0.0573,0.0421,0.0556,0.0197,0.2211,0.0409,0.0808
DR 45,-0.0903,-0.1,-0.0723,-0.1192,-0.1085,0.0218,0.0043,-0.0052,-0.0587,0.0161,-0.0162
DR 25,0.1215,0.1515,0.1328,0.114,0.1187,-0.2482,-0.2712,-0.2696,0.0662,-0.1568,-0.2289
DR 36,-0.1171,-0.1197,-0.1163,-0.0279,-0.0667,0.0528,0.0543,0.0037,0.0311,0.1699,0.0586
DR 6,-0.051,-0.0074,-0.0718,0.1027,0.0092,0.0373,0.0187,-0.1176,0.0933,0.2712,0.1076
DR 3,-0.1807,-0.199,-0.1758,-0.1907,-0.1757,0.3286,0.2881,0.2739,-0.0687,0.3707,0.1806
DR 5,-0.1261,-0.155,-0.151,-0.1587,-0.1274,0.3624,0.3104,0.3225,-0.1036,0.2771,0.2148
DR 40,0.0804,0.0536,0.0521,0.0715,0.0555,0.0567,0.0807,0.0927,-0.1995,0.0989,0.055
DR 41,-0.016,-0.0136,-0.0527,-0.0244,-0.0569,0.1189,0.1528,0.1413,-0.0364,0.1739,0.1765
DR 23,-0.4716,-0.4669,-0.3822,-0.2189,-0.2519,-0.0237,0.0425,0.0611,0.0151,0.0184,0.0706
DR 28,-0.1182,-0.0994,-0.0988,0.0082,-0.0448,0.0681,0.0191,-0.0678,0.0044,0.0321,-0.0069
DR 1,0.0457,0.0237,0.0932,-0.0282,0.0397,-0.1772,-0.2462,-0.2659,0.3477,0.1582,-0.198
DR 53,0.055,0.031,0.0415,0.0631,0.0477,0.0338,0.0353,0.0849,-0.0798,-0.1126,0.0131
DR 56,0.0923,0.1119,0.0802,0.128,0.1277,0.0433,0.0638,0.0286,0.0225,0.0755,0.0653
DR 46,-0.0231,0.0019,-0.0228,-0.1123,-0.0857,-0.0449,-0.0669,-0.0925,0.0815,0.0082,0.0016
DR 12,0.0415,-0.0033,0.0459,-0.0607,-0.0492,0.0317,0.0267,0.1172,-0.0995,-0.1203,0.0253
DR 15,0.0139,0.0347,0.0498,-0.007,0.0442,-0.1152,-0.1913,-0.2193,0.1783,0.1446,-0.1699
DR 52,0.0478,0.0517,0.0196,0.0728,0.0485,0.0768,0.0714,0.0476,0.0459,0.019,0.0415
DR 20,0.0525,0.0564,0.1033,-0.1159,-0.0705,-0.145,-0.0842,-0.0286,0.0709,-0.291,-0.0824
DR 42,0.0219,0.0104,0.0326,-0.0737,-0.0443,-0.0478,-0.0349,0.0597,-0.174,-0.1726,-0.0619
DR 50,-0.0826,-0.0423,-0.061,-0.0124,-0.0696,-0.0326,-0.06,-0.0832,0.0119,-0.0031,-0.0393
DR 54,-0.0108,-0.0305,-0.0001,-0.0421,-0.0141,-0.0625,-0.0582,-0.0282,0.1106,0.0108,-0.0155
DR 13,0.0596,0.0195,0.0329,-0.017,0.0224,0.1277,0.1348,0.1797,-0.1771,0.0511,0.0823
DR 47,0.0988,0.105,0.0677,-0.018,0.0029,0.0027,-0.0275,-0.0182,-0.0412,-0.052,-0.0464
DR 2,-0.0802,-0.0708,-0.1842,-0.0239,-0.1612,0.3158,0.4237,0.3807,-0.1075,0.0431,0.4117
DR 10,0.0311,0.0816,0.0939,-0.2209,-0.1427,-0.2364,-0.2684,-0.1651,-0.0323,-0.2476,-0.2271
DR 26,0.0503,0.0519,0.0596,0.0896,0.0724,-0.0135,-0.0201,-0.0182,-0.2748,0.0578,-0.0016
DR 18,-0.4144,-0.4291,-0.4121,-0.6097,-0.729,-0.0114,0.0099,0.0508,0.0437,-0.0083,0.045
