# dim_target_effect_size | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 18,0.7868065377671069,0.86822104,0.28680653776710685
DR 31,0.7472052539611129,0.795645,0.24720525396111293
DR 3,0.7268555524988868,0.9072107,0.22685555249888678
DR 2,0.7190151827387709,0.5969514,0.21901518273877085
DR 5,0.7121300517927681,0.8946159,0.21213005179276812
DR 16,0.3171177497448785,-0.666115,0.1828822502551215
DR 30,0.33148302029023036,-0.5011002,0.16851697970976964
DR 35,0.6556867137652711,0.41460952,0.1556867137652711
DR 48,0.6488980970076739,0.46161193,0.14889809700767387
DR 9,0.6399386084440036,0.5216369,0.13993860844400363
DR 25,0.3697502417000962,-0.49739903,0.13024975829990382
DR 1,0.37815819733372935,-0.39100626,0.12184180266627065
DR 41,0.6198378642163143,0.27674767,0.11983786421631426
DR 22,0.38077840775661354,-0.39979604,0.11922159224338646
DR 34,0.6170871547231873,0.3519002,0.11708715472318731
DR 23,0.6163442806770456,0.37051195,0.11634428067704561
DR 37,0.38871206577770523,-0.5770681,0.11128793422229477
DR 17,0.6106310960921048,0.35174757,0.11063109609210475
DR 27,0.4017279927134879,-0.25532117,0.09827200728651209
DR 32,0.40324260638523873,-0.38371682,0.09675739361476127
DR 11,0.5913055091516254,0.30021203,0.09130550915162539
DR 15,0.4297220588860122,-0.2055011,0.07027794111398777
DR 55,0.5699889449911595,0.14262725,0.06998894499115949
DR 24,0.5670218155523409,0.16484907,0.06702181555234088
DR 7,0.44527976738196806,-0.17887396,0.05472023261803194
DR 13,0.5530794338948894,0.09339902,0.05307943389488945
DR 4,0.5513472882192543,0.16275892,0.05134728821925427
DR 20,0.45030494744719757,-0.1713785,0.04969505255280243
DR 43,0.4507001738875545,-0.20706628,0.04929982611244549
DR 12,0.5466341219641003,0.164275,0.04663412196410033
DR 36,0.544859281881903,0.17127159,0.044859281881903024
DR 29,0.5439757660278647,0.18066353,0.04397576602786468
DR 45,0.5430099003473149,0.27126515,0.04300990034731489
DR 51,0.5411643199426699,0.0973855,0.04116431994266989
DR 54,0.46014198893218333,-0.025812434,0.03985801106781667
DR 52,0.5392402915018968,0.053128432,0.039240291501896785
DR 26,0.4617842496283808,-0.17865887,0.03821575037161917
DR 8,0.4649838423696626,-0.11094111,0.035016157630337386
DR 21,0.532054737076465,0.16166945,0.032054737076465
DR 53,0.5253167141732814,0.046167523,0.025316714173281407
DR 46,0.5249359732495552,0.11606236,0.02493597324955521
DR 42,0.5216840274928395,0.04697748,0.021684027492839486
DR 6,0.5204201589767714,0.060866203,0.020420158976771408
DR 10,0.4797967882378909,-0.08185787,0.020203211762109097
DR 38,0.4807751837465256,-0.14177516,0.019224816253474386
DR 28,0.48633885402479937,-0.026085017,0.013661145975200628
DR 49,0.5131741603538831,-0.004094475,0.01317416035388308
DR 56,0.4876616088981835,-0.062370118,0.012338391101816504
DR 39,0.5090462866229523,-0.057646018,0.00904628662295226
DR 19,0.5081995118294615,0.016570972,0.008199511829461548
DR 44,0.49282235940248265,-0.032584365,0.007177640597517354
DR 50,0.5046793395540079,0.06320286,0.0046793395540079
DR 40,0.5040846089152096,0.010820975,0.004084608915209564
DR 14,0.49700737470977197,-0.030590434,0.002992625290228035
DR 47,0.49778911806576115,-0.094033435,0.002210881934238851
DR 33,0.4999047320837071,-0.07729105,9.526791629288489e-05
