# factor_first_significant | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,FMASC,59/284,2.2080015083649685e-09,8.832006033459874e-09,2.937868733007921,58.55518473282395,+,DR 1,1.6522797804169313e-07,True
DR 1+,lab,gs_ind_0,LIM_STEM,57/140,4.616049780790368e-24,3.692839824632294e-23,8.241878612113752,442.85676657775446,+,DR 1,1.1386256125949574e-21,True
DR 1+,hallmark,gs_ind_0,Adipogenesis,9/31,0.0023774452607899232,0.009509781043159693,3.9212648680011606,23.691218837052602,+,DR 1,0.028280586984510196,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.0010096645607941524,7.529622758194186,65.91759385206704,+,DR 1,0.0034675979655987292,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846939,0.003343731832985034,4.0636730223527655,29.968142742013214,+,DR 1,0.010789367251783104,True
DR 1+,hallmark,gs_ind_0,Coagulation,20/52,2.8283717706458002e-08,4.5253948330332804e-07,6.18014063498828,107.41689795536553,+,DR 1,1.777071320047267e-06,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,52/115,1.721783287570616e-24,5.509706520225971e-23,9.673506720750815,529.3215350114478,+,DR 1,4.58683067808812e-22,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,17/81,0.0019572560959152077,0.00894745643846952,2.567539023720508,16.011716996601287,+,DR 1,0.02482919161675292,True
DR 1+,hallmark,gs_ind_0,Myogenesis,17/51,3.510474257271818e-06,3.744505874423273e-05,4.883110216009162,61.33068950307946,+,DR 1,0.00012706390518168645,True
DR 1+,hallmark,gs_ind_0,UV Response Dn,11/30,7.545357491947078e-05,0.0006036285993557662,5.544212164264935,52.6256230125117,+,DR 1,0.001814154544995218,True
DR 1-,lab,gs_ind_0,ESC_ASSOU,24/130,0.0016435907673882182,0.016435907673882182,2.2085810424397185,14.158930228397173,-,DR 1,0.02163303263005046,True
DR 1-,hallmark,gs_ind_0,E2F Targets,14/63,0.0027966148416209034,0.023491564669615588,2.7510222872153167,16.174210720277465,-,DR 1,0.032168315794810394,True
DR 1-,hallmark,gs_ind_0,Glycolysis,12/43,0.0006729006219890293,0.007065456530884809,3.725106311313208,27.207852053847105,-,DR 1,0.011316965006179128,True
