# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 38,0.0,0.0,0.0,0.0556,0.0556,0.4124,2.3122,3.4013,1.957
DR 29,-0.079,0.0,-0.1434,-0.4441,-0.4441,-0.8302,-0.0556,0.0,-0.1934
DR 22,1.3174,1.0053,0.7007,0.0556,0.0556,0.1151,0.2615,0.4679,0.8609
DR 4,-0.5375,-0.2213,-0.1434,-0.0556,-0.0556,-0.1151,0.0,0.0,0.0
DR 24,0.079,0.0,0.1434,-0.0556,-0.0556,0.0,0.0556,-0.0,0.0268
DR 14,1.3174,1.0053,0.7007,0.0556,0.0556,-0.1151,-0.5899,-0.4679,-0.4686
DR 21,0.5375,0.2213,0.1434,0.4441,0.4441,1.4071,-0.0,-0.0,0.0268
DR 34,0.079,0.0,0.1434,0.0556,0.0556,-0.0,-0.0,0.0,0.0268
DR 39,0.079,0.2213,0.1434,-1.0445,-1.0445,-0.8302,-1.0314,-0.4679,-1.3481
DR 11,-0.5375,-1.0053,0.1434,-1.9762,-1.9762,-1.4071,-0.5899,-0.4679,-0.8609
