# factor_first_significant | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,EMT_C_HYBRID,5/11,0.0026594995775354,0.0159569974652129,7.766869958685816,46.054566494324,+,DR 1,0.039161857295495796,True
DR 1+,hallmark,gs_ind_0,Adipogenesis,9/31,0.0023774452607899,0.0095097810431596,3.9212648680011606,23.6912188370526,+,DR 1,0.03628136234884792,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,8/18,0.000157760087624,0.0010096645607941,7.529622758194186,65.91759385206704,+,DR 1,0.004739315659860441,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846,0.003343731832985,4.0636730223527655,29.96814274201321,+,DR 1,0.014013289104660223,True
DR 1+,hallmark,gs_ind_0,Coagulation,20/52,2.8283717706458e-08,4.5253948330332804e-07,6.18014063498828,107.41689795536551,+,DR 1,2.849693342455284e-06,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,52/115,1.7217832875706162e-24,5.509706520225971e-23,9.673506720750815,529.3215350114478,+,DR 1,7.047474218937479e-22,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,17/81,0.0019572560959152,0.0089474564384695,2.567539023720508,16.011716996601287,+,DR 1,0.031727896465714465,True
DR 1+,hallmark,gs_ind_0,Myogenesis,17/51,3.510474257271818e-06,3.744505874423273e-05,4.883110216009162,61.33068950307946,+,DR 1,0.0001884434091055175,True
DR 1+,hallmark,gs_ind_0,UV Response Dn,11/30,7.545357491947078e-05,0.0006036285993557,5.544212164264935,52.6256230125117,+,DR 1,0.0024831430258674078,True
DR 1-,hallmark,gs_ind_0,E2F Targets,14/63,0.0027966148416209,0.0234915646696155,2.7510222872153167,16.174210720277465,-,DR 1,0.04060982394185205,True
DR 1-,hallmark,gs_ind_0,Glycolysis,12/43,0.000672900621989,0.0070654565308848,3.725106311313208,27.207852053847105,-,DR 1,0.014738549074936323,True
DR 1-,hallmark,gs_ind_0,Oxidative Phosphorylation,6/9,6.044897603128107e-05,0.001352115743839,17.163055453543887,166.71695918221195,-,DR 1,0.0021513620034990903,True
DR 1-,hallmark,gs_ind_0,mTORC1 Signaling,14/45,6.438646399233802e-05,0.001352115743839,4.3674624452104345,42.14866422860711,-,DR 1,0.0021513620034990903,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,13/45,0.0002744321893008,0.0038420506502117,3.917907692307692,32.13000232506372,-,DR 1,0.007093649566797014,True
DR 2+,hallmark,gs_ind_0,Estrogen Response Late,17/62,6.417974743098272e-05,0.0028239088869632,3.6795221127646194,35.52145467729995,+,DR 2,0.0021513620034990903,True
DR 2+,hallmark,gs_ind_0,Myogenesis,13/51,0.0010374054581716,0.0228229200797765,3.296103896103896,22.647636778156684,+,DR 2,0.01920170416979864,True
DR 2+,hallmark,gs_ind_0,mTORC1 Signaling,11/45,0.0036202927297143,0.0530976267024778,3.1072999120492524,17.466755483212417,+,DR 2,0.04815109237928588,True
DR 2-,hallmark,gs_ind_0,Allograft Rejection,28/90,1.0342617805563464e-08,3.9301947661141163e-07,4.595686956521739,84.50086310573151,-,DR 2,1.1480305764175445e-06,True
DR 2-,hallmark,gs_ind_0,Coagulation,16/52,2.206012764075292e-05,0.0001676569700697,4.323309945428221,46.3533998051054,-,DR 2,0.0008863299136152813,True
DR 2-,hallmark,gs_ind_0,Complement,21/67,7.438806695194335e-07,9.422488480579491e-06,4.519333872465331,63.774061146207,-,DR 2,5.0746609423778855e-05,True
DR 2-,hallmark,gs_ind_0,IL-6/JAK/STAT3 Signaling,10/34,0.0012210060008632,0.0077330380054672,3.996625421822272,26.80968373566166,-,DR 2,0.02184800081872431,True
DR 2-,hallmark,gs_ind_0,Inflammatory Response,23/71,1.0553395930435403e-07,2.0051452267827267e-06,4.78394075794976,76.85033921723833,-,DR 2,9.093972361634401e-06,True
DR 2-,hallmark,gs_ind_0,Interferon Gamma Response,19/99,0.0032226553856659,0.0174944149507578,2.296237359478466,13.17477575562551,-,DR 2,0.04578128008834268,True
DR 2-,hallmark,gs_ind_0,KRAS Signaling Up,22/81,5.953021777015606e-06,5.655370688164826e-05,3.689358096179648,44.38892368736263,-,DR 2,0.0002976056459364519,True
DR 3+,hallmark,gs_ind_0,E2F Targets,51/63,1.8270511235081763e-42,3.74545480319176e-41,49.288428093645486,4736.907294738679,+,DR 3,2.991339451963762e-39,True
DR 3+,hallmark,gs_ind_0,G2-M Checkpoint,52/59,2.650007009751609e-47,1.0865028739981601e-45,84.54208754208754,9066.87994370616,+,DR 3,8.677447953431644e-44,True
