# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP12_EMT_1,0.4099,MP12_EMT_1,0.4099,MP12_EMT_1,31.0797,8.323385316531494e-32,True,True,True,True,emt,emt,convergent,above,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,MP21_RESPIRATION,0.1885,MP21_RESPIRATION,0.1885,MP7_STRESS_IN_VITRO,3.7626,0.00017274281796735342,False,True,False,False,metabolic,stress,factor_only,below,False,none
DR 2+,DR 2,+,MP21_RESPIRATION,0.2763,MP21_RESPIRATION,0.2763,MP3_CELL_CYCLE_HMG_RICH,1.5556,0.027822746576751222,False,True,False,False,metabolic,cell_cycle,factor_only,above,False,"depth,cell_cycle"
DR 2-,DR 2,-,MP17_INTERFERON_MHC_II_1,0.227,MP17_INTERFERON_MHC_II_1,0.227,MP18_INTERFERON_MHC_II_2,3.7071,0.00019629082484691707,False,True,False,False,immune,immune,factor_only,below,False,none
DR 3+,DR 3,+,MP1_CELL_CYCLE_G2_M,0.8449,MP1_CELL_CYCLE_G2_M,0.8449,MP1_CELL_CYCLE_G2_M,45.4147,3.848575404157399e-46,True,True,True,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 3-,DR 3,-,MP23_SECRETED_2,0.3076,MP23_SECRETED_2,0.3076,MP5_STRESS,2.6282,0.0023539649933074333,True,True,False,False,secreted,stress,both_different_family,above,False,none
DR 4+,DR 4,+,MP21_RESPIRATION,0.4693,MP21_RESPIRATION,0.4693,MP21_RESPIRATION,2.7324,0.0018518252436381783,True,True,True,True,metabolic,metabolic,convergent,above,False,none
DR 4-,DR 4,-,MP22_SECRETED_1,0.3055,MP22_SECRETED_1,0.3055,MP19_EPITHELIAL_SENESCENCE,11.6558,2.209021790943873e-12,True,True,False,False,secreted,senescence,both_different_family,above,False,none
DR 5+,DR 5,+,MP2_CELL_CYCLE_G1_S,0.7749,MP2_CELL_CYCLE_G1_S,0.7749,MP2_CELL_CYCLE_G1_S,28.2013,6.290714855478366e-29,True,True,True,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 5-,DR 5,-,MP15_EMT_4,0.2926,MP15_EMT_4,0.2926,MP5_STRESS,5.97,1.071519305237607e-06,False,True,False,False,emt,stress,factor_only,above,False,none
