# dim_signature_spearman | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 38,0.0693,0.0582,-0.036,0.0079,0.0159,-0.0427,-0.0713,-0.0939,-0.0283,-0.0282,0.0979,-0.0055,-0.0559,0.015,-0.0,-0.005,-0.0277,-0.0771,-0.006,0.0143,-0.0088,-0.0112
DR 29,0.085,0.0934,0.2267,-0.1174,-0.297,-0.0509,-0.1533,0.0704,-0.0124,-0.0463,-0.0419,-0.1531,-0.052,-0.1369,-0.1242,-0.0343,-0.0975,0.1206,0.2729,-0.0627,-0.3834,-0.1037
DR 22,-0.1563,-0.1406,-0.0091,-0.0345,0.0126,0.1499,0.0519,0.0368,0.3019,0.4136,0.3531,0.0687,0.0831,0.2417,0.1342,0.3211,0.1517,-0.0907,0.1326,0.1586,-0.0324,0.2903
DR 4,0.062,0.044,0.2375,0.0046,-0.2289,-0.1515,-0.1759,-0.1322,-0.2265,-0.231,-0.107,-0.1824,-0.1564,-0.1024,-0.1706,-0.0589,-0.2083,0.0615,0.4693,0.0395,-0.3055,-0.1482
DR 24,-0.0141,-0.0018,0.0847,-0.0226,-0.0736,0.0882,-0.0189,0.1061,-0.0144,-0.0431,-0.0702,0.0563,0.0947,-0.0514,-0.0216,-0.0037,0.063,0.1215,0.0189,-0.0144,0.012,-0.0347
DR 14,-0.1343,-0.1094,-0.1518,-0.088,0.0538,-0.0063,0.1825,-0.0082,-0.0075,-0.0932,-0.1995,0.0321,0.2367,-0.1519,-0.0884,-0.207,0.2482,-0.0597,-0.1082,-0.1829,0.1672,0.1022
DR 21,0.0012,-0.0181,-0.1325,0.0531,0.1377,0.1379,0.0526,-0.0102,-0.0447,-0.1178,0.0374,0.3234,0.2889,-0.0893,-0.0726,-0.0657,0.1957,0.0274,-0.1729,0.1219,0.4613,-0.0262
DR 34,0.0251,0.0292,0.0294,0.0081,-0.0206,0.0107,0.0446,-0.0069,-0.0035,-0.0328,-0.0466,-0.0532,-0.0524,-0.1468,-0.4465,-0.2433,-0.0222,0.0642,0.0247,-0.0396,0.0311,-0.0672
DR 39,0.0488,0.0659,0.0405,-0.0505,0.0405,-0.1259,0.0138,0.0302,-0.073,-0.1349,-0.2541,-0.2151,0.0025,-0.1509,-0.0093,-0.1056,0.1002,-0.0051,-0.0348,-0.1001,0.05,0.0952
DR 11,0.0438,-0.0119,-0.0104,-0.0386,-0.0331,-0.0613,0.0876,-0.0706,-0.1337,-0.1708,-0.1228,-0.103,-0.1679,-0.0708,-0.1802,-0.2386,-0.1852,-0.0047,0.0049,-0.1569,-0.0735,-0.2536
DR 32,-0.0795,-0.0442,0.1908,-0.2526,-0.1427,0.0242,-0.0652,0.1751,-0.0829,-0.1054,-0.0882,-0.0656,0.1854,0.003,0.2,0.1903,0.1163,0.1085,0.2746,-0.0296,-0.1273,0.1382
DR 19,0.0074,0.0172,-0.0044,0.0313,0.0281,-0.2272,-0.0099,-0.0257,-0.0758,0.006,-0.2291,-0.3944,-0.1781,-0.0467,-0.0694,-0.0992,-0.0711,-0.0904,-0.0675,-0.1909,-0.1881,0.0819
DR 48,0.121,0.0874,0.0905,0.0405,-0.0052,0.0024,-0.0388,0.0467,-0.0305,-0.073,0.0112,-0.0176,-0.1418,-0.0591,-0.1562,-0.1284,-0.2793,0.1219,-0.0245,-0.0009,-0.051,-0.2672
DR 30,-0.0943,-0.0661,-0.1348,-0.0052,0.123,0.0265,0.0079,0.0166,0.1649,0.2876,0.0761,-0.0328,-0.0321,0.3109,0.2961,0.2933,0.2358,-0.1414,-0.144,0.0469,0.047,0.4836
DR 55,-0.0832,-0.0021,0.0528,0.0445,-0.0211,0.0698,0.0649,-0.0387,-0.0107,-0.0108,-0.0257,0.0141,0.016,-0.0074,-0.1161,-0.0684,-0.0375,0.0379,0.1031,0.0119,-0.0001,-0.0677
DR 44,0.023,0.0348,0.1047,-0.0715,-0.3654,-0.1128,-0.1679,-0.0432,-0.0941,-0.1076,-0.0258,-0.0369,-0.0334,-0.0245,0.0308,0.013,-0.0141,0.0308,0.1481,-0.0951,-0.1333,-0.0108
