# factor_first_significant | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,lab,gs_ind_0,MP12_EMT_1,39/45,1.3539997808317324e-34,1.4893997589149057e-33,67.52345796618242,5265.805400577676,+,DR 1,8.323974037236312e-32,True
DR 1+,lab,gs_ind_0,MP15_EMT_4,13/32,4.271922425527623e-06,2.3495573340401923e-05,6.577846153846154,81.32484976666557,+,DR 1,0.00012644890379561762,True
DR 1+,lab,gs_ind_0,MP18_INTERFERON_MHC_II_2,10/38,0.003076349835210654,0.011279949395772398,3.42795966293687,19.82735812307964,+,DR 1,0.03054184830186776,True
DR 1+,hallmark,gs_ind_0,Adipogenesis,9/31,0.0023774452607899232,0.009509781043159693,3.9212648680011606,23.691218837052602,+,DR 1,0.025555021688553375,True
DR 1+,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.0010096645607941524,7.529622758194186,65.91759385206704,+,DR 1,0.002839681577233554,True
DR 1+,hallmark,gs_ind_0,Apical Junction,11/37,0.0006269497186846939,0.003343731832985034,4.0636730223527655,29.968142742013214,+,DR 1,0.009143398087095026,True
DR 1+,hallmark,gs_ind_0,Coagulation,20/52,2.8283717706458002e-08,4.5253948330332804e-07,6.18014063498828,107.41689795536553,+,DR 1,1.5170702812752507e-06,True
DR 1+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,52/115,1.721783287570616e-24,5.509706520225971e-23,9.673506720750815,529.3215350114478,+,DR 1,4.58683067808812e-22,True
DR 1+,hallmark,gs_ind_0,KRAS Signaling Up,17/81,0.0019572560959152077,0.00894745643846952,2.567539023720508,16.011716996601287,+,DR 1,0.02215636079115346,True
DR 1+,hallmark,gs_ind_0,Myogenesis,17/51,3.510474257271818e-06,3.744505874423273e-05,4.883110216009162,61.33068950307946,+,DR 1,0.00010832320565295896,True
DR 1+,hallmark,gs_ind_0,UV Response Dn,11/30,7.545357491947078e-05,0.0006036285993557662,5.544212164264935,52.6256230125117,+,DR 1,0.0015045209968885963,True
DR 1-,lab,gs_ind_0,MP14_EMT_3,11/32,0.0001486887837228332,0.0010408214860598325,5.022826287046696,44.26945870327691,-,DR 1,0.002682439637726598,True
DR 1-,lab,gs_ind_0,MP19_EPITHELIAL_SENESCENCE,12/35,7.567785795160356e-05,0.0007946175084918375,5.0158022461764205,47.59507259625568,-,DR 1,0.0015045209968885963,True
DR 1-,lab,gs_ind_0,MP21_RESPIRATION,3/4,0.0036541598583761372,0.012789559504316482,21.259915611814346,119.30828811722127,-,DR 1,0.03403734917032877,True
DR 1-,lab,gs_ind_0,MP3_CELL_CYCLE_HMG_RICH,5/11,0.002659499577535494,0.011169898225649075,7.766869958685816,46.054566494324,-,DR 1,0.027820314952439355,True
DR 1-,lab,gs_ind_0,MP6_HYPOXIA,10/32,0.00071884446712456,0.0037739334524039404,4.356780402449694,31.53379074881248,-,DR 1,0.009991313010886058,True
DR 1-,lab,gs_ind_0,MP7_STRESS_IN_VITRO,10/20,6.073508038562672e-06,0.00012754366880981613,9.398950131233596,112.89618680246704,-,DR 1,0.0001727383496234622,True
DR 1-,hallmark,gs_ind_0,E2F Targets,14/63,0.0027966148416209034,0.023491564669615588,2.7510222872153167,16.174210720277465,-,DR 1,0.028989034778513955,True
DR 1-,hallmark,gs_ind_0,Glycolysis,12/43,0.0006729006219890293,0.007065456530884809,3.725106311313208,27.207852053847105,-,DR 1,0.009707259514325491,True
DR 1-,hallmark,gs_ind_0,Oxidative Phosphorylation,6/9,6.044897603128107e-05,0.0013521157438390985,17.163055453543887,166.71695918221195,-,DR 1,0.0012746918639630562,True
DR 1-,hallmark,gs_ind_0,Unfolded Protein Response,6/17,0.004470933080813283,0.03129653156569298,5.200290600201185,28.13439456903835,-,DR 1,0.04028376232453186,True
DR 1-,hallmark,gs_ind_0,mTORC1 Signaling,14/45,6.438646399233802e-05,0.0013521157438390985,4.3674624452104345,42.14866422860711,-,DR 1,0.0013093552677525837,True
DR 1-,hallmark,gs_ind_0,p53 Pathway,13/45,0.00027443218930083994,0.0038420506502117595,3.917907692307692,32.13000232506372,-,DR 1,0.00448732837348998,True
DR 2+,lab,gs_ind_0,MP21_RESPIRATION,3/4,0.0036541598583761372,0.03654159858376137,21.259915611814346,119.30828811722127,+,DR 2,0.03403734917032877,True
