# dim_geneset_signed_significance | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC
DR 38,0.1576,-0.0,0.0398,-0.0,0.0,-1.433,-2.609,-2.4002,4.4335,2.0097
DR 29,-0.1576,-4.2792,0.2464,-0.2578,-0.1848,0.5921,0.9357,0.6862,-0.4012,-0.0
DR 22,-2.3585,-2.4798,-1.0248,1.6267,0.4705,-1.433,-4.2389,-2.8647,0.115,-0.0
DR 4,-1.8874,-4.2792,-2.2612,-2.1372,-0.1848,0.3969,0.7447,0.168,0.0454,-0.0
DR 24,-0.0,-0.0,-0.0,0.0,0.0,1.1057,2.609,0.2892,0.8808,0.2464
DR 14,-0.7657,-0.2578,-0.2464,-0.0,0.0,-0.0,-0.1991,-0.0538,-2.4561,-1.2005
DR 21,-1.0896,-0.5452,-1.0248,-0.0,0.0,0.2464,0.2927,0.168,2.1372,-0.0
DR 34,-35.8006,-31.2965,-10.9386,-1.1524,-0.4705,0.8177,0.5674,0.168,-0.0,-0.0
DR 39,-0.0,-0.2578,0.0,-0.0834,-0.0151,4.8057,5.6773,8.0987,-3.5881,4.4049
DR 11,-0.5124,-0.5452,-0.2464,-0.4955,-0.4705,0.0341,-0.1991,0.2892,0.115,-0.0
DR 32,5.5562,2.8737,3.0643,-0.0,0.0,0.0341,-0.2927,-0.4776,-5.8653,-1.5958
DR 19,0.0398,-0.0538,-0.2464,0.0,0.0,0.3969,0.2927,0.4776,-4.8866,0.6167
DR 48,-2.3585,-1.7931,-1.5732,-2.7413,-0.8177,0.2464,1.6649,0.4776,0.002,0.3068
DR 30,2.8826,3.3347,1.0248,1.6267,1.3364,-0.1254,-0.9357,-0.168,-0.0,-0.0
DR 55,-0.0398,0.0,-0.2464,-3.4066,-3.4913,-1.433,-4.2389,-9.7684,0.0,-1.0587
DR 44,0.5124,0.1608,0.2464,-0.2578,0.0,0.3969,0.1991,-0.0538,-0.1945,-0.0
DR 37,-0.0,-0.0,-0.0,-0.0,0.0,-5.4543,-12.7009,-8.9069,-0.0,-14.224
DR 9,-0.1576,-0.2578,-0.0398,-0.0,0.0,4.8057,8.5536,8.0987,1.0896,0.2464
DR 7,-0.5124,-0.2578,0.2464,-0.0,-0.0,-0.3969,-1.6649,-1.9574,-0.0,-0.0
DR 31,-8.0676,-9.1354,-3.0643,-7.7743,-2.6516,0.3969,1.6649,1.2396,-0.0,-0.0
DR 51,0.2975,0.2578,0.2464,-0.0834,0.0151,0.1254,0.002,0.0538,0.1945,-0.0
DR 33,-0.0398,-0.0,-0.0398,0.0,-0.1848,-0.3969,-2.2675,-0.168,-0.0454,-0.0
DR 16,1.4661,0.9512,0.5633,5.8055,1.9234,-0.8177,-2.609,-0.6862,0.115,-0.0
DR 17,-0.0,-0.0,0.0,-0.4955,-0.4705,0.1254,0.4298,-0.4776,1.3233,0.5056
DR 8,-0.1576,0.7447,0.0398,1.6267,0.1848,-0.8177,-1.6649,-1.2396,0.2854,-0.0
DR 35,-26.8645,-33.7296,-9.1617,-1.1524,-0.8177,0.1254,0.2927,0.168,-0.0,0.0538
DR 27,-0.0398,-0.1608,-0.0398,-0.0,0.0,-0.5921,-0.7447,-0.0538,-3.5881,1.8178
DR 43,-0.2975,-0.3787,-0.2464,-0.0,-0.0,0.5921,-1.6649,0.6862,-1.5732,0.2464
DR 49,-0.0,0.0139,0.0,0.0834,0.1848,0.2464,-0.2927,-0.944,2.4561,0.115
DR 45,-0.2975,-0.2578,0.2464,-2.1372,-1.9234,2.6359,4.6885,1.2396,-0.1945,-0.0
DR 25,0.0398,0.3787,-0.0,-0.0,0.0,-8.3704,-16.6811,-11.582,-0.0,-4.4049
DR 36,-0.7657,-0.3787,0.2464,0.2578,0.1848,0.1254,1.1366,1.5938,0.2854,-0.0
DR 6,-1.8874,-0.7447,-0.5633,-0.0,-0.0,-1.8021,-2.9707,-1.5938,0.115,-0.0
DR 3,-0.5124,-0.5452,-0.2464,-0.0,0.0,10.9368,21.0423,23.8604,-0.0,18.8964
DR 5,-0.2975,-0.0538,-0.5633,-0.4955,0.0,19.1181,26.8645,27.8738,-0.0,17.5194
DR 40,5.5562,4.7864,1.0248,1.6267,0.8177,-0.0,0.7447,0.944,-1.8487,0.0538
DR 41,0.0398,0.0139,-0.0398,-0.4955,-0.1848,-0.1254,0.5674,0.6862,-0.0454,0.3068
DR 23,-30.2291,-39.9351,-13.0308,-3.4066,-2.6516,0.5921,2.9707,0.168,-0.0,-0.0
DR 28,-4.1434,-5.8757,-1.5732,-0.0,0.0,0.1254,-0.7447,-0.6862,-0.1945,-0.0
DR 1,-0.0398,-0.0139,-0.0398,0.0,0.0,-0.5921,-1.6649,-1.2396,20.9436,6.7819
DR 53,0.5124,0.2578,0.5633,-0.0,0.0,0.5921,2.609,0.2892,-0.002,-0.0
DR 56,0.2975,1.187,-0.0,0.7773,1.9234,-0.5921,-1.9349,-0.0,-0.2854,-0.0295
DR 46,0.0398,0.2578,0.0398,-0.0834,0.0151,0.2464,1.1366,0.2892,1.5732,-0.0
DR 12,1.8874,0.7447,0.5633,-0.0,0.0,0.0341,1.1366,1.9574,-0.0,0.0295
DR 15,-0.0,0.0538,0.0,-0.0,0.0151,-0.1254,-0.1991,-0.0,-0.115,-0.0
DR 52,1.0896,0.5452,1.0248,-0.0,-0.0,1.8021,5.6773,1.2396,-0.0,0.3981
DR 20,0.1576,-0.1608,0.2464,-1.6267,-0.8177,-0.3969,-1.401,-1.9574,1.0896,-1.0587
DR 42,0.7657,0.7447,1.5732,-0.0834,-0.1848,0.0341,0.1991,-0.0,-2.8058,-0.3981
DR 50,0.7657,0.7447,1.5732,-0.0,0.0,-0.8177,-2.2675,0.2892,-0.5431,-0.0295
DR 54,-0.0,-0.0,0.0,-0.0,0.0,-0.5921,-1.9349,-0.4776,0.8808,0.7447
DR 13,2.3585,1.4852,1.0248,-0.0,-0.0,2.1831,1.1366,0.6862,-0.2854,-0.0
DR 47,0.5124,0.7447,0.2464,-0.2578,-0.0151,-0.3969,0.5674,0.0538,-1.0896,-0.115
DR 2,-0.0,-1.4852,-0.0,-5.8055,-4.4335,0.2464,1.9349,0.2892,-0.0,0.2464
DR 10,3.4913,4.2792,4.0216,-0.4955,-0.1848,-0.2464,-1.9349,-0.168,-1.5732,-1.2005
DR 26,0.5124,0.0538,0.2464,0.2578,0.0151,-0.2464,0.1991,0.2892,-13.5346,0.0538
DR 18,-9.9578,-13.8526,-3.0643,-13.8053,-11.0408,0.5921,1.1366,0.944,0.0454,-0.0
