lineage,gene,kind,pct_before,pct_after,mean_before,mean_after,pct_change
epithelial,PTPRC,cross-lineage,2.2305571754227853,1.7043948470550814,0.043590628,0.03669883,-0.5261623283677039
epithelial,CD3D,cross-lineage,1.373058368234109,1.170280443195674,0.029780522,0.026944282,-0.20277792503843517
epithelial,CD2,cross-lineage,1.159677675873403,1.0417218894131368,0.023193553,0.02137783,-0.11795578646026628
epithelial,TRBC2,cross-lineage,1.3001643428934953,1.039071197582569,0.026931029,0.023617664,-0.2610931453109262
epithelial,LYZ,cross-lineage,5.501510894343423,3.6062662354874626,0.2557255,0.22373164,-1.8952446588559604
epithelial,EPCAM,own lineage,48.54609553093358,48.090176536075916,1.6335418,1.6173859,-0.45591899485766163
epithelial,KRT18,own lineage,68.36531834808885,67.84578274929757,5.124039,5.075571,-0.5195355987912791
epithelial,KRT8,own lineage,65.31569739702063,64.65567513120925,3.7185097,3.6811218,-0.6600222658113779
epithelial,KRT19,own lineage,75.7885808195939,75.01192811323756,10.938278,10.84011,-0.7766527063563444
epithelial,SCGB2A2,own lineage,6.707575677251763,6.349732280125113,3.5076473,3.4914649,-0.3578433971266506
immune,PTPRC,own lineage,66.14088105388832,65.67234581331263,2.2473238,2.2254567,-0.4685352405756902
immune,CD3D,own lineage,38.718253690617786,38.42056680125394,1.2030139,1.1933272,-0.29768688936384535
immune,CD2,own lineage,35.133597994055286,34.8889485717123,0.9175392,0.9109219,-0.24464942234298803
immune,TRBC2,own lineage,34.311630100906605,34.01123491535446,0.89445543,0.88721526,-0.30039518555214784
immune,LYZ,own lineage,38.857053870268096,35.353872750703594,7.253002,7.14718,-3.503181119564502
immune,EPCAM,cross-lineage,1.1155923382300834,0.8822274833383362,0.017263131,0.014737645,-0.2333648548917472
immune,KRT18,cross-lineage,4.254281929119375,3.5474166239733864,0.057887573,0.049834907,-0.7068653051459886
immune,KRT8,cross-lineage,2.2354728120916394,1.6692132173881644,0.027994756,0.02188529,-0.566259594703475
immune,KRT19,cross-lineage,3.628891200971376,2.293926871489089,0.048783187,0.033305272,-1.334964329482287
immune,SCGB2A2,cross-lineage,0.7242435390209058,0.4558965250302991,0.011645674,0.008264817,-0.2683470139906067
